YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
1999 01 01 00 313  9.7 12.0  2.16 14.29  6.55 999 1020.4  10.8  10.4   8.2 99.0
1999 01 01 01 315 10.1 12.4  2.20 12.50  6.35 999 1020.4  10.6  10.3   8.2 99.0
1999 01 01 02 312  7.5 10.2  2.56 14.29  6.91 999 1020.9  10.6  10.3   8.5 99.0
1999 01 01 03 319  7.5  9.2  2.54  6.25  6.50 999 1020.5  10.6  10.3   8.5 99.0
1999 01 01 04 313  6.7  8.7  2.39  7.69  6.93 999 1021.1  10.5  10.3   8.6 99.0
1999 01 01 05 313  7.9  9.5  2.37 14.29  6.79 999 1021.1  10.5  10.3   8.4 99.0
1999 01 01 06 320  6.9  8.6  2.38 12.50  7.22 999 1021.7  10.5  10.3   8.2 99.0
1999 01 01 07 318  7.0  9.1  2.30  8.33  7.06 999 1021.8  10.3  10.2   8.1 99.0
1999 01 01 08 324  5.7  7.1  2.23  8.33  7.20 999 1021.9  10.2  10.2   7.9 99.0
1999 01 01 09 326  4.0  5.0  2.23  8.33  7.26 999 1021.8  10.2  10.2   8.4 99.0
1999 01 01 10 301  4.5  5.3  2.10 14.29  7.22 999 1021.9  10.2  10.2   8.1 99.0
1999 01 01 11 298  7.1  8.6  2.17 14.29  7.56 999 1022.0  10.2  10.2   8.2 99.0
1999 01 01 12 307  5.8  7.4  2.09 12.50  7.37 999 1022.2   9.9  10.2   8.2 99.0
1999 01 01 13 303  6.0  7.2  2.04 12.50  7.29 999 1022.0   9.8  10.2   8.0 99.0
1999 01 01 14 309  6.7  7.8  1.99 12.50  7.07 999 1022.2   9.8  10.2   7.5 99.0
1999 01 01 15 329  4.4  5.4  1.98 12.50  6.96 999 1022.5   9.7  10.2   7.6 99.0
1999 01 01 16 313  3.8  4.6  1.95 12.50  7.15 999 1022.6   9.7  10.2   7.1 99.0
1999 01 01 17 343  1.9  2.8  1.87 12.50  7.08 999 1023.4   9.7  10.2   7.5 99.0
1999 01 01 18  56   .7  2.0  1.91 12.50  7.05 999 1023.5  10.3  10.2   7.4 99.0
1999 01 01 19 151   .5  1.5  2.10 14.29  7.48 999 1023.6  10.6  10.2   7.8 99.0
1999 01 01 20 329   .3  1.1  2.16 12.50  7.80 999 1023.3  10.9  10.3   8.4 99.0
1999 01 01 21 321  2.2  2.9  2.19 12.50  7.60 999 1022.3  10.2  10.5   7.9 99.0
1999 01 01 22 293  2.9  3.9  2.04 12.50  7.49 999 1021.4  10.3  10.5   8.2 99.0
1999 01 01 23 296  4.1  5.1  1.86  8.33  7.32 999 1021.7  10.2  10.6   7.5 99.0
1999 01 02 00 298  4.7  5.8  1.90 12.50  7.57 999 1022.0  10.3  10.5   8.2 99.0
1999 01 02 01 310  4.4  5.5  2.00 12.50  7.84 999 1022.0  10.2  10.5   8.2 99.0
1999 01 02 02 307  1.6  2.5  1.76 10.00  7.53 999 1021.9   9.8  10.3   8.1 99.0
1999 01 02 03 318  4.3  5.1  1.71  9.09  7.65 999 1022.5  10.2  10.3   8.6 99.0
1999 01 02 04 328  2.4  3.0  1.74  8.33  7.85 999 1022.6  10.1  10.5   7.7 99.0
1999 01 02 05 306  3.9  5.1  1.65 12.50  7.73 999 1022.6  10.2  10.3   7.9 99.0
1999 01 02 06 344  1.6  2.3  1.70 12.50  7.85 999 1022.6   9.8  10.5   8.0 99.0
1999 01 02 07 292  1.2  2.0  1.79  9.09  7.68 999 1022.6   9.8  10.4   8.2 99.0
1999 01 02 08 299   .4  1.6  1.88  9.09  7.85 999 1022.4   9.5  10.5   8.0 99.0
1999 01 02 09 282  1.7  2.9  1.77  9.09  7.51 999 1022.3   9.7  10.3   8.7 99.0
1999 01 02 10 309   .1   .6  1.87  9.09  7.56 999 1022.4   9.6  10.3   8.4 99.0
1999 01 02 11 110   .4  1.3  1.84 11.11  7.60 999 1022.1   9.1  10.2   7.9 99.0
