YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
98 01 01 00 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
98 01 01 01 239  2.3  3.0  1.28 12.50  9.28 999 1018.2  13.4 999.0 999.0 99.0
98 01 01 02 253  1.5  2.0  1.21 11.11  9.08 999 1018.3  13.4 999.0 999.0 99.0
98 01 01 03 253  3.8  4.5  1.18 11.11  8.81 999 1018.7  13.3 999.0 999.0 99.0
98 01 01 04 260  2.7  3.5  1.14 11.11  8.73 999 1018.6  12.9 999.0 999.0 99.0
98 01 01 05 262  2.0  2.6  1.20 12.50  8.37 999 1018.2  12.6 999.0 999.0 99.0
98 01 01 06 264  1.2  1.6  1.14 11.11  8.10 999 1018.2  12.5 999.0 999.0 99.0
98 01 01 07 263   .8  1.3  1.19 12.50  8.67 999 1018.2  12.6 999.0 999.0 99.0
98 01 01 08 224  1.6  3.1  1.27 11.11  8.86 999 1017.4  12.6 999.0 999.0 99.0
98 01 01 09 198  2.2  3.1  1.19 11.11  8.35 999 1016.7  12.5 999.0 999.0 99.0
98 01 01 10 231  1.3  1.8  1.07 11.11  7.92 999 1016.4  12.2 999.0 999.0 99.0
98 01 01 11 137  1.4  2.1  1.17 12.50  8.18 999 1015.9  12.2 999.0 999.0 99.0
98 01 01 12 184  1.1  1.9  1.04 11.11  7.59 999 1015.2  12.5 999.0 999.0 99.0
98 01 01 13 130  1.5  2.2  1.09 12.50  8.13 999 1014.5  12.1 999.0 999.0 99.0
98 01 01 14 163   .7  1.3   .98 12.50  7.84 999 1014.5  12.1 999.0 999.0 99.0
98 01 01 15 152   .9  1.5  1.07 12.50  8.59 999 1014.5  12.1 999.0 999.0 99.0
98 01 01 16 151  1.9  2.4  1.10 11.11  8.58 999 1014.5  12.1 999.0 999.0 99.0
98 01 01 17 148  2.7  3.5   .99 12.50  8.28 999 1015.2  12.5 999.0 999.0 99.0
98 01 01 18 158  4.0  4.7  1.06 12.50  8.72 999 1015.3  12.8 999.0 999.0 99.0
98 01 01 19 177  4.0  4.8   .99 12.50  8.48 999 1015.3  13.1 999.0 999.0 99.0
98 01 01 20 167  5.2  6.5  1.07 11.11  7.97 999 1013.6  13.4 999.0 999.0 99.0
98 01 01 21 182  5.6  7.1  1.05 12.50  6.39 999 1012.8  13.3 999.0 999.0 99.0
98 01 01 22 173  6.4  8.0  1.15 12.50  5.66 999 1012.0  13.4 999.0 999.0 99.0
98 01 01 23 180  7.1  8.6  1.22 12.50  5.36 999 1011.4  13.4 999.0 999.0 99.0
98 01 02 00 176  7.5  9.3  1.26 12.50  5.03 999 1010.9  13.5 999.0 999.0 99.0
98 01 02 01 166  8.4 10.0  1.27 11.11  5.16 999 1010.2  13.4 999.0 999.0 99.0
98 01 02 02 170  8.6 10.7  1.27 12.50  4.85 999 1009.8  13.4 999.0 999.0 99.0
98 01 02 03 173  9.1 11.1  1.45 12.50  5.04 999 1009.2  13.4 999.0 999.0 99.0
98 01 02 04 172  9.3 11.2  1.45 14.29  5.05 999 1008.9  13.5 999.0 999.0 99.0
98 01 02 05 180  9.9 12.2  1.59  4.76  5.01 999 1008.7  13.4 999.0 999.0 99.0
98 01 02 06 174  9.6 11.1  1.73  5.00  4.96 999 1008.3  12.9 999.0 999.0 99.0
98 01 02 07 173  9.6 11.5  1.71 11.11  5.04 999 1008.2  12.8 999.0 999.0 99.0
98 01 02 08 182 10.1 12.9  1.86  5.26  5.07 999 1007.2  12.9 999.0 999.0 99.0
98 01 02 09 180  9.8 12.2  1.89 11.11  5.20 999 1006.6  12.9 999.0 999.0 99.0
98 01 02 10 177 10.6 12.5  1.97  6.25  5.26 999 1006.3  13.4 999.0 999.0 99.0
98 01 02 11 184  9.6 11.4  2.19  5.88  5.37 999 1006.3  13.4 999.0 999.0 99.0
98 01 02 12 191  9.3 11.7  2.23  5.88  5.52 999 1006.0  13.7 999.0 999.0 99.0
98 01 02 13 208  6.0  7.6  2.18  6.25  5.68 999 1005.9  14.1 999.0 999.0 99.0
98 01 02 14 202  6.6  7.9  2.02  7.69  5.64 999 1005.6  14.1 999.0 999.0 99.0
98 01 02 15 197  7.2  8.6  2.08  7.69  5.90 999 1005.3  14.1 999.0 999.0 99.0
98 01 02 16 187  7.0  9.1  2.02  7.14  5.68 999 1005.3  14.1 999.0 999.0 99.0
98 01 02 17 196  8.1 10.4  1.92  6.25  5.69 999 1005.7  13.8 999.0 999.0 99.0
