YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2006 01 01 00 00 256  4.3  5.6  4.18 12.90  8.05 999 1009.0  13.4  12.9 999.0 99.0 99.00
2006 01 01 01 00 240  5.3  6.7  4.26 12.12  8.09 999 1009.7  13.2  12.9 999.0 99.0 99.00
2006 01 01 02 00 237  6.4  8.2  4.14 12.90  8.25 999 1009.8  13.2  12.9 999.0 99.0 99.00
2006 01 01 03 00 227  5.2  6.7  3.87 12.12  8.21 999 1010.7  13.2  12.9 999.0 99.0 99.00
2006 01 01 04 00 208  3.9  4.8  3.72 12.12  8.30 999 1011.2  13.1  12.9 999.0 99.0 99.00
2006 01 01 05 00 181  3.8  4.9  4.11 12.12  8.61 999 1011.7  12.9  12.9 999.0 99.0 99.00
2006 01 01 06 00 158  7.0  8.8  3.95 12.90  8.43 999 1011.7  12.8  12.8 999.0 99.0 99.00
2006 01 01 07 00 161  7.9 10.0  3.69 10.81  8.09 999 1011.9  13.0  12.8 999.0 99.0 99.00
2006 01 01 08 00 155  8.8 10.8  3.68 12.90  7.86 999 1011.7  12.9  12.8 999.0 99.0 99.00
2006 01 01 09 00 155  9.3 11.6  3.86 12.12  7.88 999 1011.1  12.8  12.8 999.0 99.0 99.00
2006 01 01 10 00 141  8.9 10.7  3.72 12.12  7.93 999 1010.7  12.5  12.8 999.0 99.0 99.00
2006 01 01 11 00 144  8.8 11.1  3.47 11.43  7.87 999 1010.1  12.5  12.8 999.0 99.0 99.00
2006 01 01 12 00 145  8.3 10.8  3.35 12.90  7.63 999 1008.9  12.4  12.8 999.0 99.0 99.00
2006 01 01 13 00 145  9.7 13.1  3.40 12.90  7.65 999 1007.1  12.8  12.8 999.0 99.0 99.00
2006 01 01 14 00 158 11.5 14.2  3.53 12.90  7.27 999 1006.5  12.9  12.8 999.0 99.0 99.00
2006 01 01 15 00 157 12.7 16.1  3.51 12.12  7.14 999 1005.9  12.8  12.8 999.0 99.0 99.00
2006 01 01 16 00 153 15.2 18.4  3.47 12.90  6.54 999 1004.0  12.9  12.8 999.0 99.0 99.00
2006 01 01 17 00 153 16.7 20.5  3.77 12.12  6.64 999 1001.9  13.3  12.8 999.0 99.0 99.00
2006 01 01 18 00 164 17.6 21.9  4.40  7.69  6.48 999 1002.0  13.4  12.8 999.0 99.0 99.00
2006 01 01 19 00 165 16.8 21.2  4.37  7.69  6.85 999 1001.5  13.4  12.8 999.0 99.0 99.00
2006 01 01 20 00 162 17.8 22.3  5.03  9.09  7.17 999 1000.2  13.5  12.8 999.0 99.0 99.00
2006 01 01 21 00 162 18.3 23.3  5.33  8.33  7.42 999  998.9  13.2  12.8 999.0 99.0 99.00
2006 01 01 22 00 167 18.3 24.1  5.80 10.00  7.50 999  998.4  13.5  12.8 999.0 99.0 99.00
2006 01 01 23 00 169 18.0 23.6  6.14  9.09  7.84 999  999.0  12.9  12.8 999.0 99.0 99.00
2006 01 02 00 00 202 12.3 15.2  5.44  9.09  7.64 999 1001.0  12.7  12.9 999.0 99.0 99.00
2006 01 02 01 00 260  6.2  8.9  4.84  9.09  7.70 999 1002.0  12.3  12.9 999.0 99.0 99.00
2006 01 02 02 00 162  4.4  5.9  4.75  8.33  7.74 999 1001.1  12.0  12.9 999.0 99.0 99.00
2006 01 02 03 00 166  6.7  9.3  4.63  9.09  7.94 999 1001.4  12.2  12.9 999.0 99.0 99.00
2006 01 02 04 00 159  4.3  5.8  4.77 10.00  8.32 999 1001.1  12.3  12.9 999.0 99.0 99.00
2006 01 02 05 00 190  4.2  5.6  4.33 13.79  8.42 999 1002.0  12.8  12.9 999.0 99.0 99.00
2006 01 02 06 00 199  4.9  6.1  4.23 13.79  8.60 999 1002.3  12.8  12.9 999.0 99.0 99.00
2006 01 02 07 00 187  5.4  7.1  4.38 14.81  9.44 999 1002.2  12.8  12.9 999.0 99.0 99.00
2006 01 02 08 00 184  6.5  7.9  4.07 12.90  9.20 999 1002.7  13.0  12.9 999.0 99.0 99.00
2006 01 02 09 00 168  5.4  7.1  4.60 14.81  9.82 999 1002.1  12.9  12.9 999.0 99.0 99.00
2006 01 02 10 00 159  5.3  7.3  4.16 14.81  9.58 999 1001.6  12.9  12.9 999.0 99.0 99.00
2006 01 02 11 00 160  5.4  6.9  4.06 13.79  9.52 999 1001.7  12.9  12.9 999.0 99.0 99.00
2006 01 02 12 00 142  5.0  7.0  4.48 13.79  9.82 999 1000.9  13.0  12.9 999.0 99.0 99.00
2006 01 02 13 00  85  5.0  7.9  3.84 12.90  9.21 999  999.8  12.5  12.9 999.0 99.0 99.00
2006 01 02 14 00 126  4.4  6.1  4.33 13.79  9.39 999 1000.1  12.3  12.9 999.0 99.0 99.00
2006 01 02 15 00  62  5.3  8.0  4.43 12.12  9.46 999  999.5  11.9  12.9 999.0 99.0 99.00
2006 01 02 16 00  89  6.2  8.6  3.95 12.90  9.07 999  999.2  12.2  12.9 999.0 99.0 99.00
2006 01 02 17 00  78  5.2  7.2  4.24 13.79  9.20 999  999.4  12.1  12.8 999.0 99.0 99.00
2006 01 02 18 00  43  4.4  6.2  3.82 14.81  9.28 999 1000.2  12.3  12.8 999.0 99.0 99.00
2006 01 02 19 00 352  7.5  9.5  4.04 16.00  8.96 999 1000.8  11.8  12.8 999.0 99.0 99.00
2006 01 02 20 00 328  9.0 10.9  3.72 16.00  8.82 999 1000.9  11.9  12.8 999.0 99.0 99.00
2006 01 02 21 00 335  8.7 10.4  3.61 16.00  8.85 999 1001.3  12.0  12.8 999.0 99.0 99.00
2006 01 02 22 00   5  5.6  7.0  3.44 13.79  8.77 999 1001.7  12.2  12.8 999.0 99.0 99.00
2006 01 02 23 00 311  5.3  6.7  3.79 16.00 10.31 999 1004.1  12.8  12.8 999.0 99.0 99.00
2006 01 03 00 00 310  8.8 11.1  3.69 12.90  9.61 999 1005.7  13.0  12.8 999.0 99.0 99.00
2006 01 03 01 00 305 10.3 12.5  3.90 16.00  9.14 999 1007.6  13.0  12.8 999.0 99.0 99.00
2006 01 03 02 00 308  9.5 11.7  3.69 16.00  9.07 999 1009.3  12.8  12.8 999.0 99.0 99.00
2006 01 03 03 00 296 10.1 12.3  3.31 12.90  8.06 999 1010.9  12.6  12.8 999.0 99.0 99.00
