YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
96 03 26 00 318  8.8 10.1  1.27 16.67  4.95 999 1017.5  11.0  12.0 999.0 99.0
96 03 26 01 321  8.5 10.1  1.29 16.67  5.27 999 1017.6  11.3  12.1 999.0 99.0
96 03 26 02 322  8.2 10.0  1.31 16.67  5.30 999 1017.5  11.2  12.1 999.0 99.0
96 03 26 03 323  8.3  9.8  1.21 16.67  5.03 999 1017.7  11.0  12.1 999.0 99.0
96 03 26 04 318  8.3 10.3  1.33 14.29  5.03 999 1017.9  10.9  11.8 999.0 99.0
96 03 26 05 318  9.1 10.5  1.29 16.67  4.97 999 1017.9  10.6  11.7 999.0 99.0
96 03 26 06 322  7.9  9.4  1.20  5.26  4.98 999 1018.0  10.8  11.7 999.0 99.0
96 03 26 07 325  7.4  8.8  1.23 14.29  5.01 999 1017.9  10.6  11.4 999.0 99.0
96 03 26 08 321  7.9  9.2  1.22 14.29  4.87 999 1017.9  10.6  11.4 999.0 99.0
96 03 26 09 313  8.4  9.8  1.22 14.29  5.08 999 1017.7  10.7  11.4 999.0 99.0
96 03 26 10 313  7.2  9.3  1.25 14.29  5.48 999 1017.8  10.6  11.3 999.0 99.0
96 03 26 11 322  7.7  9.0  1.30 14.29  5.39 999 1017.3  10.6  11.3 999.0 99.0
96 03 26 12 320  6.4  7.7  1.27 16.67  5.65 999 1017.4  10.5  11.1 999.0 99.0
96 03 26 13 323  5.0  6.0  1.33 14.29  6.14 999 1017.4  10.2  11.0 999.0 99.0
96 03 26 14 319  5.0  5.9  1.30 16.67  6.38 999 1018.0  10.2  11.0 999.0 99.0
96 03 26 15 320  3.5  4.3  1.20 14.29  6.48 999 1018.7  10.2  11.0 999.0 99.0
96 03 26 16 353  2.2  2.8  1.26 16.67  7.43 999 1019.0  10.6  11.0 999.0 99.0
96 03 26 17 314  1.2  1.9  1.37 14.29  7.95 999 1019.5  10.5  11.0 999.0 99.0
96 03 26 18 326   .7  1.2  1.37 14.29  8.13 999 1019.7  11.0  11.4 999.0 99.0
96 03 26 19 309  2.7  3.4  1.29 14.29  8.22 999 1019.6  11.0  11.4 999.0 99.0
96 03 26 20 330  2.3  3.1  1.39 11.11  8.63 999 1019.3  10.9  11.4 999.0 99.0
96 03 26 21 275  2.7  3.6  1.34 14.29  8.48 999 1019.1  11.3  12.0 999.0 99.0
96 03 26 22 269  2.9  3.8  1.36 14.29  8.96 999 1018.1  11.3  11.7 999.0 99.0
96 03 26 23 288  3.5  4.1  1.45 14.29  9.14 999 1017.9  11.4  12.1 999.0 99.0
96 03 27 00 293  4.7  5.5  1.56 14.29  9.65 999 1017.4  11.4  11.9 999.0 99.0
96 03 27 01 300  4.5  5.3  1.72 14.29  9.58 999 1017.4  11.4  11.7 999.0 99.0
96 03 27 02 298  4.7  5.9  1.51 14.29  9.16 999 1017.2  11.4  11.4 999.0 99.0
96 03 27 03 306  4.2  5.0  1.42 14.29  8.82 999 1017.1  11.0  11.3 999.0 99.0
96 03 27 04 296  3.9  5.1  1.35 14.29  9.05 999 1017.4  11.0  11.0 999.0 99.0
96 03 27 05 290  4.2  5.0  1.53 11.11  9.53 999 1017.4  11.0  11.1 999.0 99.0
96 03 27 06 300  3.9  4.6  1.34 14.29  9.43 999 1017.4  11.0  11.3 999.0 99.0
96 03 27 07 299  3.3  4.1  1.53 14.29  9.70 999 1017.3  11.0  11.3 999.0 99.0
