YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2001 01 03 06  85  6.0  7.9  2.13 14.29 10.48 999 1026.3  13.3  11.5 999.0 99.0 99.00
2001 01 03 07  86  6.6  7.8  2.08 14.29 10.31 999 1026.4  12.9  11.5 999.0 99.0 99.00
2001 01 03 08  87  7.0  8.4  1.68 14.29  8.82 999 1026.7  12.8  11.5 999.0 99.0 99.00
2001 01 03 09  87  7.8  9.1  1.63 12.50  8.08 999 1026.5  12.6  11.5 999.0 99.0 99.00
2001 01 03 10  88  7.6  9.5  2.02 14.29  8.29 999 1026.6  12.5  11.4 999.0 99.0 99.00
2001 01 03 11  92  7.7  9.1  1.85 14.29  8.00 999 1026.8  12.5  11.4 999.0 99.0 99.00
2001 01 03 12  94  7.4  9.1  1.65 14.29  7.48 999 1026.6  12.5  11.4 999.0 99.0 99.00
2001 01 03 13  92  8.0  9.6  1.63 14.29  7.15 999 1026.3  12.4  11.4 999.0 99.0 99.00
2001 01 03 14  90  9.2 10.9  1.69 12.50  6.92 999 1026.4  12.1  11.4 999.0 99.0 99.00
2001 01 03 15  86  8.0 10.1  1.79 11.11  6.87 999 1027.0  12.1  11.3 999.0 99.0 99.00
2001 01 03 16  88  8.5 10.4  1.58 14.29  6.81 999 1027.4  12.1  11.4 999.0 99.0 99.00
2001 01 03 17  86  5.9  8.0  1.67 12.50  7.67 999 1028.3  11.9  11.4 999.0 99.0 99.00
2001 01 03 18  74  7.6  9.2  1.79 12.50  8.20 999 1028.9  12.3  11.4 999.0 99.0 99.00
2001 01 03 19 102  4.5  5.6  1.76 12.50  8.62 999 1029.1  12.7  11.4 999.0 99.0 99.00
2001 01 03 20 292  1.6  2.1  1.68 12.50  8.01 999 1028.6  12.7  11.5 999.0 99.0 99.00
2001 01 03 21 292  3.1  3.8  1.66 12.50  9.13 999 1027.6  12.4  11.8 999.0 99.0 99.00
2001 01 03 22  15  0.1  1.0  1.73 14.29  9.66 999 1027.0  12.7  12.0 999.0 99.0 99.00
2001 01 03 23  90  5.8  7.1  1.75 12.50  9.74 999 1026.0  13.5  11.8 999.0 99.0 99.00
2001 01 04 00  88  5.9  7.6  1.62 14.29  9.91 999 1025.9  13.6  11.8 999.0 99.0 99.00
2001 01 04 01  88  5.8  7.0  1.74 14.29  9.19 999 1026.0  14.0  11.7 999.0 99.0 99.00
2001 01 04 02  72  2.2  2.9  1.65 12.50  9.78 999 1026.1  12.7  11.5 999.0 99.0 99.00
2001 01 04 03  46  2.0  3.5  2.14 12.50 11.01 999 1026.8  12.1  11.5 999.0 99.0 99.00
2001 01 04 04  64  1.4  3.0  2.02 12.50 10.68 999 1026.2  12.5  11.4 999.0 99.0 99.00
2001 01 04 05  94  4.9  6.2  2.10 12.50 10.57 999 1025.6  13.1  11.4 999.0 99.0 99.00
2001 01 04 06  34  3.0  4.9  2.17 14.29 10.52 999 1025.6  12.8  11.3 999.0 99.0 99.00
2001 01 04 07  19  3.3  4.3  2.27 12.50 10.28 999 1025.8  11.9  11.3 999.0 99.0 99.00
2001 01 04 08  75  5.7  7.3  2.53 12.50 10.43 999 1025.5  12.9  11.3 999.0 99.0 99.00
2001 01 04 09  81  4.5  6.5  2.49 12.50 10.18 999 1024.9  12.8  11.3 999.0 99.0 99.00
2001 01 04 10  73  3.8  5.2  2.40 12.50 10.00 999 1024.6  12.1  11.3 999.0 99.0 99.00
2001 01 04 11  70  3.3  4.8  2.33 11.11 10.01 999 1024.5  11.8  11.3 999.0 99.0 99.00
2001 01 04 12  78  2.8  4.1  2.51 12.50 10.10 999 1023.9  11.4  11.3 999.0 99.0 99.00
2001 01 04 13  88  8.0 10.9  2.62 12.50  9.98 999 1023.0  13.1  11.3 999.0 99.0 99.00
2001 01 04 14  93  8.7 11.1  2.48 12.50  8.52 999 1022.5  12.1  11.3 999.0 99.0 99.00
2001 01 04 15  86  7.5  9.5  2.17 12.50  7.62 999 1023.0  12.5  11.3 999.0 99.0 99.00
2001 01 04 16  84  7.3  9.5  2.03 14.29  7.69 999 1023.3  12.9  11.3 999.0 99.0 99.00
2001 01 04 17  65  5.9  7.9  2.39 12.50  8.39 999 1023.9  12.8  11.3 999.0 99.0 99.00
2001 01 04 18  79  5.8  7.9  2.38 12.50  8.06 999 1024.1  13.2  11.3 999.0 99.0 99.00
2001 01 04 19  92  5.9  8.0  2.30 12.50  8.44 999 1024.0  13.1  11.4 999.0 99.0 99.00
2001 01 04 20  79  9.6 12.6  2.47 12.50  8.29 999 1022.5  13.3  11.4 999.0 99.0 99.00
2001 01 04 21  89  8.4 10.1  2.36 14.29  8.47 999 1021.7  13.7  11.4 999.0 99.0 99.00
2001 01 04 22  69  4.1  5.6  2.41 12.50  9.01 999 1021.3  13.5  11.4 999.0 99.0 99.00
2001 01 04 23  71  4.4  5.8  2.23 12.50  9.24 999 1021.0  13.4  11.5 999.0 99.0 99.00
2001 01 05 00  31  3.4  4.9  2.64 12.50 10.14 999 1020.8  14.5  11.5 999.0 99.0 99.00
2001 01 05 01 324  2.3  4.2  2.49 12.50 10.14 999 1020.8  12.1  11.5 999.0 99.0 99.00
2001 01 05 02 308  0.9  2.0  2.16 12.50  9.75 999 1021.0  12.8  11.4 999.0 99.0 99.00
2001 01 05 03 307  2.0  2.7  2.15 12.50  9.76 999 1021.5  12.2  11.4 999.0 99.0 99.00
2001 01 05 04  11  2.0  2.5  2.38 12.50 10.18 999 1021.9  11.4  11.3 999.0 99.0 99.00
2001 01 05 05 338  0.8  1.7  2.42 12.50 10.02 999 1022.2  11.3  11.3 999.0 99.0 99.00
2001 01 05 06 360  0.9  1.6  2.37 12.50  9.65 999 1022.4  11.7  11.3 999.0 99.0 99.00
2001 01 05 07 352  3.4  4.7  2.24 12.50  9.80 999 1022.4  12.2  11.2 999.0 99.0 99.00
2001 01 05 08 359  2.4  3.0  2.16 12.50  9.08 999 1021.9  11.4  11.3 999.0 99.0 99.00
2001 01 05 09 345  2.3  2.7  2.09 12.50  9.29 999 1021.2  11.0  11.3 999.0 99.0 99.00
2001 01 05 10 347  0.3  0.9  2.23 12.50  9.11 999 1021.1  10.8  11.2 999.0 99.0 99.00
2001 01 05 11  98  6.6  8.0  1.88 12.50  8.68 999 1020.1  11.7  11.2 999.0 99.0 99.00
2001 01 05 12  85  6.6  8.3  1.85 12.50  7.15 999 1019.6  12.0  11.2 999.0 99.0 99.00
2001 01 05 13  66  4.9  6.7  2.11 12.50  8.01 999 1019.9  12.2  11.2 999.0 99.0 99.00
2001 01 05 14 329  0.3  1.4  1.70 12.50  7.40 999 1020.4  11.3  11.2 999.0 99.0 99.00
2001 01 05 15 283  4.9  7.8  1.68 11.11  7.83 999 1020.7  11.6  11.2 999.0 99.0 99.00
2001 01 05 16 342  5.8  7.6  1.78 12.50  8.36 999 1020.8  12.0  11.2 999.0 99.0 99.00
2001 01 05 17  13  2.8  4.4  1.83 11.11  7.98 999 1020.9  11.8  11.2 999.0 99.0 99.00
2001 01 05 18  64  2.1  3.3  1.72 11.11  8.05 999 1021.2  12.1  11.3 999.0 99.0 99.00
2001 01 05 19 113  3.0  4.7  1.64 12.50  7.70 999 1021.1  11.7  11.4 999.0 99.0 99.00
2001 01 05 20  91  6.3  7.6  1.50 11.11  7.07 999 1020.0  12.3  11.4 999.0 99.0 99.00
2001 01 05 21  98  4.0  5.3  1.62 12.50  7.70 999 1019.2  12.2  11.5 999.0 99.0 99.00
2001 01 05 22 313  2.4  3.4  1.71 11.11  7.68 999 1018.9  12.8  11.6 999.0 99.0 99.00
2001 01 05 23 315  3.1  3.9  1.63 11.11  8.30 999 1018.2  12.1  11.7 999.0 99.0 99.00
2001 01 06 00 311  3.1  4.2  1.70 11.11  8.50 999 1017.6  12.3  11.7 999.0 99.0 99.00
2001 01 06 01 319  5.6  7.0  1.72 11.11  8.77 999 1017.1  12.1  11.5 999.0 99.0 99.00
2001 01 06 02 327  3.9  5.1  1.66 11.11  8.74 999 1017.1  11.6  11.5 999.0 99.0 99.00
2001 01 06 03 320  3.7  4.4  1.65 11.11  8.64 999 1017.4  11.5  11.4 999.0 99.0 99.00
2001 01 06 04 316  3.6  5.1  1.77 11.11  9.11 999 1017.7  11.4  11.4 999.0 99.0 99.00
2001 01 06 05 352  2.0  2.6  1.89 11.11  9.41 999 1017.6  11.1  11.4 999.0 99.0 99.00
2001 01 06 06 346  1.7  2.3  2.05 20.00 10.22 999 1017.2  11.0  11.4 999.0 99.0 99.00
2001 01 06 07 319  0.9  1.8  2.03 16.67 10.13 999 1017.2  10.9  11.3 999.0 99.0 99.00
2001 01 06 08 314  2.2  2.8  2.00 16.67 10.11 999 1017.1  10.9  11.3 999.0 99.0 99.00
2001 01 06 09 335  1.6  2.4  2.23 16.67 10.54 999 1016.7  10.9  11.3 999.0 99.0 99.00
2001 01 06 10  90  1.8  3.0  2.35 16.67 10.85 999 1016.2  10.7  11.3 999.0 99.0 99.00
2001 01 06 11  78  3.0  4.7  2.84 16.67 11.63 999 1016.8  10.8  11.3 999.0 99.0 99.00
2001 01 06 12  97  4.4  6.1  2.66 16.67 11.22 999 1016.4  11.3  11.3 999.0 99.0 99.00
2001 01 06 13 105  4.4  6.3  3.23 16.67 11.92 999 1016.1  11.5  11.3 999.0 99.0 99.00
2001 01 06 14 102  4.1  6.0  2.74 16.67 11.23 999 1016.3  11.3  11.3 999.0 99.0 99.00
2001 01 06 15 109  4.5  6.1  2.74 16.67 11.56 999 1016.4  11.1  11.2 999.0 99.0 99.00
2001 01 06 16 106  5.2  6.8  2.69 14.29 11.13 999 1016.7  10.8  11.2 999.0 99.0 99.00
2001 01 06 17 107  5.0  6.7  2.69 14.29 10.74 999 1017.3  10.7  11.2 999.0 99.0 99.00
2001 01 06 18 118  4.4  7.1  2.83 14.29 10.67 999 1017.9  11.3  11.3 999.0 99.0 99.00
2001 01 06 19 106  5.7  7.4  2.69 14.29  9.79 999 1018.2  11.2  11.3 999.0 99.0 99.00
2001 01 06 20 110  3.6  5.3  2.81 16.67 10.33 999 1018.0  11.4  11.4 999.0 99.0 99.00
2001 01 06 21 133  3.1  4.6  3.17 16.67 11.38 999 1017.2  11.6  11.5 999.0 99.0 99.00
2001 01 06 22 158  1.6  2.2  2.60 14.29 10.73 999 1016.9  11.8  11.6 999.0 99.0 99.00
2001 01 06 23 201  2.8  3.5  2.42 14.29 10.76 999 1016.6  11.3  11.7 999.0 99.0 99.00
2001 01 07 00 198  3.7  4.7  2.72 14.29 11.31 999 1016.4  11.0  11.7 999.0 99.0 99.00
2001 01 07 01 208  2.5  3.3  2.57 14.29 10.72 999 1016.2  10.8  11.6 999.0 99.0 99.00
2001 01 07 02 192  0.9  1.7  2.66 14.29 11.22 999 1016.1  10.7  11.4 999.0 99.0 99.00
2001 01 07 03 225  1.7  2.4  2.49 14.29 10.92 999 1016.5  10.8  11.4 999.0 99.0 99.00
2001 01 07 04 203  2.3  3.5  2.45 14.29 10.74 999 1016.6  10.5  11.5 999.0 99.0 99.00
2001 01 07 05 199  2.9  3.8  2.54 14.29 10.98 999 1016.6  10.6  11.6 999.0 99.0 99.00
2001 01 07 06 176  3.7  5.1  2.77 14.29 11.24 999 1016.7  10.5  11.4 999.0 99.0 99.00
2001 01 07 07 157  3.9  5.5  2.38 14.29 10.93 999 1016.8  10.2  11.4 999.0 99.0 99.00
2001 01 07 08 153  4.9  6.9  2.54 14.29 10.84 999 1016.6  10.3  11.3 999.0 99.0 99.00
2001 01 07 09 161  5.5  7.1  2.47 14.29 10.77 999 1016.2  10.2  11.3 999.0 99.0 99.00
2001 01 07 10 160  6.0  7.3  2.65 14.29 10.55 999 1016.3  10.5  11.5 999.0 99.0 99.00
2001 01 07 11 164  6.1  7.6  2.08 12.50  8.89 999 1016.2  10.7  11.6 999.0 99.0 99.00
2001 01 07 12 158  5.4  6.7  2.36 14.29  9.69 999 1015.7  10.7  11.6 999.0 99.0 99.00
2001 01 07 13 147  5.2  6.6  2.30 14.29  9.57 999 1015.0  10.6  11.6 999.0 99.0 99.00
2001 01 07 14 150  6.4  7.9  1.95 16.67  8.82 999 1014.6  10.6  11.6 999.0 99.0 99.00
2001 01 07 15 141  6.9  8.3  2.16 12.50  8.98 999 1014.2  10.6  11.6 999.0 99.0 99.00
2001 01 07 16 139  6.7  8.5  2.00 14.29  8.76 999 1014.0  10.8  11.6 999.0 99.0 99.00
2001 01 07 17 136  8.0 10.4  1.90 12.50  8.04 999 1013.8  11.0  11.7 999.0 99.0 99.00
2001 01 07 18 141  8.5 10.0  1.95 12.50  7.17 999 1013.8  11.0  11.8 999.0 99.0 99.00
2001 01 07 19 147  9.5 11.3  1.98 12.50  6.86 999 1013.6  11.1  11.8 999.0 99.0 99.00
2001 01 07 20 149  9.7 12.0  1.86 12.50  6.08 999 1012.7  11.1  11.8 999.0 99.0 99.00
2001 01 07 21 145 10.9 13.1  2.03 12.50  5.99 999 1011.1  11.3  11.8 999.0 99.0 99.00
2001 01 07 22 149 10.9 13.5  2.10  5.26  5.75 999 1010.5  11.5  11.8 999.0 99.0 99.00
2001 01 07 23 159 10.6 13.0  2.08  5.88  5.59 999 1010.3  11.8  11.8 999.0 99.0 99.00
2001 01 08 00 149 11.2 13.5  2.21  5.88  5.49 999 1009.3  11.8  11.8 999.0 99.0 99.00
2001 01 08 01 150 12.1 14.2  2.31  6.25  5.49 999 1008.3  11.9  11.9 999.0 99.0 99.00
2001 01 08 02 153 11.7 14.2  2.51  6.67  5.57 999 1008.7  12.1  11.9 999.0 99.0 99.00
2001 01 08 03 158 11.1 13.9  2.70  6.67  5.79 999 1008.5  12.1  12.0 999.0 99.0 99.00
2001 01 08 04 165 12.5 15.3  2.90  7.14  6.15 999 1008.1  12.1  12.0 999.0 99.0 99.00
2001 01 08 05 160 13.7 17.9  3.39  7.69  6.20 999 1007.8  12.2  12.0 999.0 99.0 99.00
