YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
87 01 01 00 066 05.8 06.9 01.80 14.30 08.90 999 1018.6  10.0  12.5 999.0 99.0
87 01 01 01 064 04.9 06.1 01.80 14.30 09.00 999 1019.0  10.3  12.4 999.0 99.0
87 01 01 02 064 04.9 06.0 01.80 14.30 09.20 999 1019.3  10.3  12.3 999.0 99.0
87 01 01 03 039 04.7 05.6 02.00 14.30 09.80 999 1020.2  10.1  12.3 999.0 99.0
87 01 01 04 046 04.7 05.6 02.10 12.50 10.00 999 1020.6  10.5  12.3 999.0 99.0
87 01 01 05 050 05.2 06.1 02.50 14.30 10.70 999 1020.7  10.3  12.3 999.0 99.0
87 01 01 06 062 04.9 05.8 02.30 20.00 10.10 999 1021.1  10.1  12.2 999.0 99.0
87 01 01 07 067 05.4 06.5 02.40 20.00 10.70 999 1020.5  10.1  12.3 999.0 99.0
87 01 01 08 065 04.8 05.7 02.50 20.00 10.20 999 1020.6  10.3  12.8 999.0 99.0
87 01 01 09 074 05.5 07.1 03.00 20.00 10.90 999 1020.3  10.2  13.0 999.0 99.0
87 01 01 10 077 05.2 06.7 03.50 20.00 12.20 999 1019.9  10.5  13.1 999.0 99.0
87 01 01 11 073 05.0 06.5 03.50 20.00 11.30 999 1020.3  10.3  13.2 999.0 99.0
87 01 01 12 083 04.4 05.6 03.00 16.70 10.70 999 1019.8  10.4  13.2 999.0 99.0
87 01 01 13 082 04.1 05.1 02.80 16.70 10.70 999 1019.4  10.9  13.2 999.0 99.0
87 01 01 14 082 03.3 04.4 03.10 16.70 10.60 999 1019.8  11.3  13.2 999.0 99.0
87 01 01 15 149 03.5 04.4 02.60 16.70 10.40 999 1019.8  12.9  13.2 999.0 99.0
87 01 01 16 146 03.6 04.5 02.80 16.70 10.20 999 1020.5  13.1  13.3 999.0 99.0
87 01 01 17 149 06.9 08.0 02.80 14.30 10.20 999 1019.4  13.3  13.3 999.0 99.0
87 01 01 18 160 07.2 08.9 02.70 14.30 09.30 999 1020.0  13.1  13.3 999.0 99.0
87 01 01 19 182 07.6 09.7 99.00 99.00 99.00 999 1020.2  13.8 999.0 999.0 99.0
87 01 01 20 191 08.1 09.5 02.70 14.30 08.00 999 1019.7  14.1  13.2 999.0 99.0
87 01 01 21 196 09.8 12.9 02.60 16.70 07.70 999 1018.8  13.9  13.3 999.0 99.0
87 01 01 22 196 09.1 10.6 02.90 14.30 08.80 999 1018.5  13.9  13.2 999.0 99.0
