#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2009 01 01 00 50 338  6.2  7.5  1.41 12.90  5.67 287 1022.2  10.4  11.0 999.0 99.0 99.00
2009 01 01 01 50 341  5.9  7.2  1.39 12.90  5.62 282 1022.1  10.7  11.0 999.0 99.0 99.00
2009 01 01 02 50 330  4.2  5.0  1.44 12.90  6.19 289 1022.3  11.0  10.9 999.0 99.0 99.00
2009 01 01 03 50 329  4.4  5.4  1.34 12.90  6.13 289 1022.1  11.0  10.9 999.0 99.0 99.00
2009 01 01 04 50 335  7.4  9.2  1.46 12.12  5.71 288 1022.4  11.0  10.9 999.0 99.0 99.00
2009 01 01 05 50 354  7.3  9.1  1.50 12.90  5.75 273 1022.2  10.8  10.9 999.0 99.0 99.00
2009 01 01 06 50 352  6.2  7.8  1.61 12.12  5.66 285 1022.6  10.6  10.9 999.0 99.0 99.00
2009 01 01 07 50 359  2.6  3.6  1.64 12.90  5.98 275 1022.3  10.4  10.9 999.0 99.0 99.00
2009 01 01 08 50  57  0.9  2.8  1.68 12.12  6.08 287 1022.2  10.2  10.9 999.0 99.0 99.00
2009 01 01 09 50 102  1.7  2.5  1.73 11.43  6.46 296 1022.5  10.0  10.8 999.0 99.0 99.00
2009 01 01 10 50  45  0.7  1.6  1.71 12.12  6.82 289 1022.7   9.7  10.8 999.0 99.0 99.00
2009 01 01 11 50 336  5.6  6.9  1.65 12.90  6.89 288 1022.6   9.5  10.9 999.0 99.0 99.00
2009 01 01 12 50  22  4.6  5.4  1.68 12.90  6.66 281 1022.3   9.1  10.9 999.0 99.0 99.00
2009 01 01 13 50  25  3.8  5.0  1.65 10.81  6.86 289 1021.9   9.6  10.8 999.0 99.0 99.00
2009 01 01 14 50 343  5.0  6.6  1.67 11.43  6.97 280 1021.7  10.0  10.8 999.0 99.0 99.00
2009 01 01 15 50  80  2.8  3.8  1.87 11.43  6.63 290 1022.1   9.5  10.8 999.0 99.0 99.00
2009 01 01 16 50 107  2.5  4.0  1.88 11.43  6.41 285 1022.6   9.0  10.8 999.0 99.0 99.00
2009 01 01 17 50  83  2.0  3.2  1.65 10.00  5.98 289 1023.1   9.1  10.8 999.0 99.0 99.00
2009 01 01 18 50  17  3.0  3.9  1.80 11.43  6.34 291 1023.2   9.7  10.9 999.0 99.0 99.00
2009 01 01 19 50  96  2.9  3.8  1.77 10.81  6.60 281 1022.3   9.2  10.9 999.0 99.0 99.00
2009 01 01 20 50 101  4.4  5.5  1.74 10.00  6.78 293 1020.9   8.9  11.1 999.0 99.0 99.00
2009 01 01 21 50 107  2.6  3.7  1.86 11.43  7.01 292 1020.3   8.7  11.1 999.0 99.0 99.00
2009 01 01 22 50 162  0.4  1.4  1.70 10.81  6.49 297 1019.8   9.6  11.1 999.0 99.0 99.00
2009 01 01 23 50 324  1.0  1.6  1.66 11.43  6.43 300 1019.1   9.7  11.2 999.0 99.0 99.00
2009 01 02 00 50 311  1.9  2.8  1.68 11.43  6.72 294 1019.2  10.2  11.2 999.0 99.0 99.00
2009 01 02 01 50 327  2.1  4.1  1.57 11.43  7.04 303 1019.1  10.7  11.1 999.0 99.0 99.00
2009 01 02 02 50 323  2.7  3.5  1.52 11.43  7.05 303 1019.1  10.9  11.1 999.0 99.0 99.00
2009 01 02 03 50 329  2.6  3.5  1.53 10.81  6.93 300 1018.7  11.2  11.0 999.0 99.0 99.00
2009 01 02 04 50 341  4.4  5.2  1.59 10.81  7.56 294 1018.4  11.2  11.1 999.0 99.0 99.00
2009 01 02 05 50 329  3.4  4.8  1.48 10.81  6.84 306 1018.3  11.1  11.1 999.0 99.0 99.00
2009 01 02 06 50 113  2.7  3.6  1.50 10.81  6.62 289 1018.2   9.6  11.0 999.0 99.0 99.00
2009 01 02 07 50 141  3.4  4.2  1.51 10.00  7.04 290 1017.6   9.6  11.0 999.0 99.0 99.00
2009 01 02 08 50 136  1.2  1.7  1.41 17.39  6.92 273 1017.5   9.9  11.0 999.0 99.0 99.00
