#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2008 01 01 00 00  14  3.1  4.4  2.72 14.81  8.78 289 1023.2  10.7  10.5 999.0 99.0 99.00
2008 01 01 01 00  79  4.2  5.4  2.90 13.79  9.11 284 1022.8  11.4  10.5 999.0 99.0 99.00
2008 01 01 02 00  83  6.5  8.5  2.69 14.81  8.88 285 1022.8  11.3  10.5 999.0 99.0 99.00
2008 01 01 03 00  82  5.3  7.2  2.48 14.81  8.40 289 1023.1  10.9  10.5 999.0 99.0 99.00
2008 01 01 04 00  84  7.3  8.8  2.23 13.79  7.83 288 1023.0  11.1  10.4 999.0 99.0 99.00
2008 01 01 05 00  91  7.2  8.8  2.30 14.81  8.08 290 1023.2  11.3  10.4 999.0 99.0 99.00
2008 01 01 06 00 104  9.0 10.5  2.24 12.90  7.35 290 1022.8  11.1  10.4 999.0 99.0 99.00
2008 01 01 07 00  90  9.9 12.3  2.07 14.81  7.09 288 1022.7  11.6  10.4 999.0 99.0 99.00
2008 01 01 08 00  90 12.7 15.1  2.22 13.79  6.40 287 1022.3  11.7  10.4 999.0 99.0 99.00
2008 01 01 09 00  80 12.3 14.9  2.24 12.90  6.39 284 1021.7  11.4  10.4 999.0 99.0 99.00
2008 01 01 10 00  94 11.6 14.3  2.11 13.79  6.01 297 1022.3  10.6  10.3 999.0 99.0 99.00
2008 01 01 11 00  84 13.5 15.9  2.20 13.79  5.70 287 1022.1  10.4  10.3 999.0 99.0 99.00
2008 01 01 12 00  85 12.9 16.1  2.07 12.12  5.64 300 1021.9  10.0  10.3 999.0 99.0 99.00
2008 01 01 13 00  86 12.1 14.2  2.05 11.43  5.70 289 1022.1   9.5  10.3 999.0 99.0 99.00
2008 01 01 14 00  88 12.0 15.0  1.87 12.90  5.19 270 1022.3   9.4  10.3 999.0 99.0 99.00
2008 01 01 15 00  90 12.6 15.5  1.80 12.12  5.32 289 1022.4   9.1  10.3 999.0 99.0 99.00
2008 01 01 16 00  91 12.2 14.6  1.77 10.81  5.22 286 1022.5   8.8  10.3 999.0 99.0 99.00
2008 01 01 17 00  93 12.7 14.9  1.71 12.12  4.76 292 1022.8   9.0  10.3 999.0 99.0 99.00
2008 01 01 18 00  95 12.1 16.2  1.64 12.90  4.66 282 1023.2   9.4  10.3 999.0 99.0 99.00
2008 01 01 19 00  96 11.8 13.7  1.51  4.17  4.48  69 1023.2  10.0  10.3 999.0 99.0 99.00
2008 01 01 20 00  95 10.6 14.0  1.36 12.90  4.50 285 1022.7  10.5  10.4 999.0 99.0 99.00
2008 01 01 21 00  93  8.8 12.6  1.31  4.17  4.13  80 1022.0  10.9  10.4 999.0 99.0 99.00
2008 01 01 22 00  93  9.3 11.1  1.19 12.90  4.22 272 1021.1  11.2  10.4 999.0 99.0 99.00
2008 01 01 23 00  93  8.9 11.0  1.07 12.12  4.06 284 1020.9  11.4  10.4 999.0 99.0 99.00
2008 01 02 00 00  94  8.1  9.6  0.94 12.12  4.04 273 1020.7  11.6  10.4 999.0 99.0 99.00
2008 01 02 01 00  98  8.7 10.2  0.86 12.90  3.93 281 1020.1  11.5  10.4 999.0 99.0 99.00
2008 01 02 02 00  97  8.1  9.5  0.84 12.90  3.99 267 1020.2  11.5  10.4 999.0 99.0 99.00
2008 01 02 03 00  98  9.1 10.6  0.80 13.79  3.95 233 1019.7  11.5  10.4 999.0 99.0 99.00
2008 01 02 04 00 100  8.7 10.8  0.79 12.12  3.77 285 1019.8  11.5  10.4 999.0 99.0 99.00
2008 01 02 05 00 106  8.3  9.7  0.78 19.05  3.85 280 1019.6  11.5  10.4 999.0 99.0 99.00
2008 01 02 06 00  96  8.5 10.3  0.78 19.05  3.80 270 1019.9  11.8  10.4 999.0 99.0 99.00
2008 01 02 07 00  97  9.6 11.9  0.79 19.05  3.87 315 1019.5  11.5  10.4 999.0 99.0 99.00
2008 01 02 08 00  98  8.9 10.9  0.79 13.79  3.57 231 1019.5  11.0  10.4 999.0 99.0 99.00
2008 01 02 09 00 100  8.9 11.0  0.81 19.05  3.86 292 1019.2  10.6  10.4 999.0 99.0 99.00
2008 01 02 10 00  97  9.0 10.5  0.86 17.39  4.01 273 1019.1  10.7  10.4 999.0 99.0 99.00
2008 01 02 11 00 100  9.1 10.4  0.88 17.39  4.08 268 1018.9  10.7  10.4 999.0 99.0 99.00
2008 01 02 12 00  99  9.3 10.8  0.90 17.39  4.15 311 1018.2  10.2  10.4 999.0 99.0 99.00
2008 01 02 13 00 106  9.1 10.7  1.00 17.39  4.13 285 1017.9  10.0  10.4 999.0 99.0 99.00
2008 01 02 14 00 104  9.5 11.3  1.16 17.39  4.85 277 1017.6   9.9  10.4 999.0 99.0 99.00
