#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2010 12 31 23 50  77  6.2  8.5  1.50 10.81  6.83 283 1018.0   9.0  11.2 999.0 99.0 99.00
2011 01 01 00 50 102  6.3  7.7  1.42 10.81  6.82 309 1017.3   9.5  11.2 999.0 99.0 99.00
2011 01 01 01 50 132  4.8  6.2  1.39 11.43  7.23 286 1017.2   9.8  11.2 999.0 99.0 99.00
2011 01 01 02 50 153  4.9  5.8  1.40 12.12  7.58 289 1017.5  10.2  11.3 999.0 99.0 99.00
2011 01 01 03 50 149  5.8  7.4  1.44 11.43  7.31 285 1017.4  10.4  11.3 999.0 99.0 99.00
2011 01 01 04 50 150  7.8  9.3  1.31 11.43  6.32 297 1016.7  10.5  11.3 999.0 99.0 99.00
2011 01 01 05 50 134  8.5 10.1  1.35 11.43  5.56 296 1016.4  10.4  11.3 999.0 99.0 99.00
2011 01 01 06 50 134  9.7 11.5  1.34 12.12  4.73 297 1016.1  10.4  11.3 999.0 99.0 99.00
2011 01 01 07 50 139 10.5 12.9 99.00 99.00 99.00 999 1015.9  10.4  11.3 999.0 99.0 99.00
2011 01 01 08 50 139 10.7 13.3  1.58 11.43  4.67 296 1015.2  10.2  11.3 999.0 99.0 99.00
2011 01 01 09 50 148 11.7 14.8  1.68  5.00  4.72 167 1014.6  10.5  11.3 999.0 99.0 99.00
2011 01 01 10 50 148 13.0 15.5  2.19  5.56  5.11 167 1014.1   9.6  11.3 999.0 99.0 99.00
2011 01 01 11 50 164 10.4 12.5  2.39  6.25  5.42 174 1015.0   9.7  11.3 999.0 99.0 99.00
2011 01 01 12 50 153 11.4 14.2  2.67  6.67  5.74 169 1014.6   9.6  11.3 999.0 99.0 99.00
2011 01 01 13 50 167 10.0 13.0  2.66  6.67  5.75 175 1015.0  10.3  11.2 999.0 99.0 99.00
2011 01 01 14 50 200  5.3  6.5  2.54  7.14  5.89 173 1016.0  11.1  11.2 999.0 99.0 99.00
2011 01 01 15 50  47  8.5 10.8  2.58  7.14  5.92 179 1017.0   8.8  11.2 999.0 99.0 99.00
2011 01 01 16 50  76  5.5  8.6  2.30  7.14  5.67 177 1017.9   9.6  11.2 999.0 99.0 99.00
2011 01 01 17 50  64  8.8 10.6  2.04  6.25  5.47 191 1018.4   8.8  11.2 999.0 99.0 99.00
2011 01 01 18 50  58  9.1 10.6  1.86  6.67  5.41 193 1018.5   8.5  11.2 999.0 99.0 99.00
2011 01 01 19 50  69  8.5 11.3 99.00 99.00 99.00 999 1018.1   8.8  11.2 999.0 99.0 99.00
2011 01 01 20 50  86  6.6  9.0  1.96  7.14  5.42 170 1017.6   9.0  11.1 999.0 99.0 99.00
2011 01 01 21 50  85  6.4  8.5  1.96  7.14  5.30 172 1017.3   9.5  11.2 999.0 99.0 99.00
2011 01 01 22 50  53  6.7  8.5  1.89  7.69  5.22 202 1017.3   9.1  11.1 999.0 99.0 99.00
2011 01 01 23 50  55  8.2 10.0  2.03  7.14  5.42 165 1017.2   8.6  11.1 999.0 99.0 99.00
2011 01 02 00 50  56  9.1 11.4  2.24  7.69  5.50 203 1016.7   8.5  11.0 999.0 99.0 99.00
2011 01 02 01 50  66  8.8 11.6  2.37 17.39  5.64 106 1016.3   8.9  11.0 999.0 99.0 99.00
2011 01 02 02 50  67  8.3 10.7  2.91 17.39  6.42 286 1016.0   9.5  11.0 999.0 99.0 99.00
2011 01 02 03 50  70  8.9 11.5  2.93 16.00  6.74 289 1015.4   9.3  11.0 999.0 99.0 99.00
2011 01 02 04 50  73  8.8 11.2 99.00 99.00 99.00 999 1014.9  10.0  11.0 999.0 99.0 99.00
2011 01 02 05 50  72  8.8 11.9  4.18 16.00  8.49 304 1014.7  10.2  11.1 999.0 99.0 99.00
2011 01 02 06 50  68 10.3 13.0  4.02 16.00  8.24 289 1014.0   9.8  11.1 999.0 99.0 99.00
2011 01 02 07 50  62 10.9 13.6  4.32 16.00  8.71 285 1013.0   9.8  11.2 999.0 99.0 99.00
2011 01 02 08 50  64 10.0 14.0  3.76 16.00  7.85 290 1012.5   9.6  11.2 999.0 99.0 99.00
2011 01 02 09 50  60 10.5 13.9  4.46 16.00  8.33 288 1012.4  10.2  11.2 999.0 99.0 99.00
2011 01 02 10 50  69  8.5 12.1  3.83 13.79  7.81 288 1012.6  10.0  11.2 999.0 99.0 99.00
2011 01 02 11 50  59 10.6 13.2  3.92 14.81  7.56 286 1011.8   9.4  11.2 999.0 99.0 99.00
2011 01 02 12 50  66 10.9 14.4 99.00 99.00 99.00 999 1011.5   9.9  11.2 999.0 99.0 99.00
2011 01 02 13 50  62 11.1 13.2  3.49 16.00  8.03 273 1011.7  10.0  11.2 999.0 99.0 99.00
2011 01 02 14 50  54  9.6 11.7  3.25 16.00  7.37 288 1012.2   9.1  11.2 999.0 99.0 99.00
2011 01 02 15 50  68 10.5 12.5  2.95 16.00  7.26 290 1012.3   9.8  11.2 999.0 99.0 99.00
2011 01 02 16 50  67  8.5 11.9 99.00 99.00 99.00 999 1013.3   9.9  11.2 999.0 99.0 99.00
2011 01 02 17 50  62  7.5  9.7  2.92 14.81  7.68 288 1014.0   9.9  11.2 999.0 99.0 99.00
2011 01 02 18 50  52  8.0 10.3  2.86 13.79  7.99 291 1014.4   9.8  11.2 999.0 99.0 99.00
2011 01 02 19 50  47  7.6  9.7  2.73 14.81  8.10 279 1014.0   9.9  11.2 999.0 99.0 99.00
2011 01 02 20 50  37  8.7 10.6  2.97 13.79  8.37 287 1013.3   9.6  11.3 999.0 99.0 99.00
2011 01 02 21 50  29  7.1  8.3  2.85 13.79  8.28 284 1013.6   9.7  11.3 999.0 99.0 99.00
2011 01 02 22 50  18  7.2  8.5  2.92 13.79  8.51 287 1013.9   9.5  11.3 999.0 99.0 99.00
2011 01 02 23 50  17  7.7  9.0  2.71 12.12  7.77 277 1014.2   9.6  11.3 999.0 99.0 99.00
2011 01 03 00 50  39  5.9  7.4  2.74 12.90  8.24 280 1014.3   9.6  11.3 999.0 99.0 99.00
2011 01 03 01 50  44  9.4 11.9  2.45 10.81  7.56 288 1014.3   9.7  11.3 999.0 99.0 99.00
2011 01 03 02 50  44  7.8  9.2  3.08 12.90  8.75 291 1014.7   9.7  11.3 999.0 99.0 99.00
2011 01 03 03 50  42  7.3  9.7  2.95 13.79  8.71 290 1015.1   9.8  11.2 999.0 99.0 99.00
2011 01 03 04 50  20  5.7  8.6  2.83 10.81  8.89 300 1015.7  10.0  11.2 999.0 99.0 99.00
2011 01 03 05 50  42  5.5  7.2  2.62 13.79  8.68 297 1015.7  10.3  11.2 999.0 99.0 99.00
2011 01 03 06 50  41  6.4  8.5  2.70 12.90  9.16 291 1015.6  10.1  11.2 999.0 99.0 99.00
2011 01 03 07 50  34  5.7  7.7  2.90 10.81  9.03 296 1016.1  10.0  11.2 999.0 99.0 99.00
2011 01 03 08 50  35  5.1  6.4  2.53 13.79  8.85 291 1016.4   9.9  11.1 999.0 99.0 99.00
2011 01 03 09 50 360  4.3  5.2  2.32 13.79  9.01 282 1016.6  10.2  11.1 999.0 99.0 99.00
2011 01 03 10 50   4  4.5  5.4  2.54 13.79  9.71 301 1016.7  10.4  11.1 999.0 99.0 99.00
2011 01 03 11 50  49  4.0  5.4  2.30 12.12  9.39 296 1016.7  10.2  11.1 999.0 99.0 99.00
2011 01 03 12 50  63  6.3  8.7  2.35 13.79  9.73 302 1016.1   9.8  11.0 999.0 99.0 99.00
2011 01 03 13 50  77  6.0  7.6  2.11 12.90  9.11 300 1016.2   9.9  11.1 999.0 99.0 99.00
2011 01 03 14 50  50  3.7  5.1  2.22 13.79  9.03 299 1017.5   9.8  11.1 999.0 99.0 99.00
2011 01 03 15 50  84  3.9  5.5 99.00 99.00 99.00 999 1017.8   9.6  11.0 999.0 99.0 99.00
2011 01 03 16 50   8  3.6  4.5  2.24 12.90  9.20 291 1018.4  10.0  11.0 999.0 99.0 99.00
2011 01 03 17 50  53  3.0  5.0  2.16 12.12  9.28 304 1019.1  10.0  11.1 999.0 99.0 99.00
2011 01 03 18 50  34  5.2  6.3  2.50 12.90  9.23 293 1019.4  10.2  11.3 999.0 99.0 99.00
2011 01 03 19 50  58  3.8  4.7  2.48 12.12  9.17 290 1019.2  10.2  11.4 999.0 99.0 99.00
2011 01 03 20 50  46  3.5  4.4 99.00 99.00 99.00 999 1018.8  10.8  11.5 999.0 99.0 99.00
2011 01 03 21 50  60  5.8  7.3  2.01 12.90  8.27 280 1018.5  10.7  11.6 999.0 99.0 99.00
2011 01 03 22 50  51  7.1  8.3  2.15 11.43  8.18 279 1018.5  11.1  11.6 999.0 99.0 99.00
2011 01 03 23 50  46  6.2  7.7  2.04 12.12  7.96 272 1019.0  11.3  11.5 999.0 99.0 99.00
2011 01 04 00 50  45  5.9  7.1  1.92 13.79  7.91 268 1019.4  11.1  11.4 999.0 99.0 99.00
2011 01 04 01 50  49  5.5  6.5  1.83 12.12  7.91 287 1020.0  10.7  11.3 999.0 99.0 99.00
2011 01 04 02 50  39  5.0  5.8  1.85 12.90  7.98 286 1020.6  10.4  11.3 999.0 99.0 99.00
2011 01 04 03 50  44  5.2  6.4  1.81 13.79  8.17 294 1020.9  10.6  11.3 999.0 99.0 99.00
2011 01 04 04 50  46  4.2  5.2  1.90 13.79  8.46 294 1021.0  10.5  11.2 999.0 99.0 99.00
2011 01 04 05 50  21  3.2  3.8  1.85 13.79  9.33 295 1021.3  10.2  11.3 999.0 99.0 99.00
2011 01 04 06 50   6  2.8  3.5  1.62 12.90  8.84 310 1022.3  10.3  11.2 999.0 99.0 99.00
2011 01 04 07 50  21  2.7  3.5  1.64 12.90  8.96 298 1022.5  10.5  11.2 999.0 99.0 99.00
2011 01 04 08 50  48  5.3  6.6  1.72 19.05  9.71 296 1022.3  10.1  11.2 999.0 99.0 99.00
2011 01 04 09 50  47  6.7  8.2  1.93 12.90  8.67 310 1022.5   9.6  11.2 999.0 99.0 99.00
2011 01 04 10 50  41  6.6  8.6  2.06 17.39  8.76 275 1022.9   9.7  11.2 999.0 99.0 99.00
2011 01 04 11 50  46  5.5  6.9  2.22 16.00  9.50 273 1022.9   9.6  11.2 999.0 99.0 99.00
2011 01 04 12 50  62  6.2  7.6  1.93 16.00  9.30 290 1022.6   9.5  11.2 999.0 99.0 99.00
2011 01 04 13 50  51  6.5  8.4  2.27 16.00  9.86 279 1023.2   9.3  11.1 999.0 99.0 99.00
2011 01 04 14 50  53  6.5  8.2  2.59 16.00 10.64 285 1023.8   8.9  11.1 999.0 99.0 99.00
2011 01 04 15 50  57  6.5  8.2  2.64 16.00  9.81 283 1023.8   8.8  11.1 999.0 99.0 99.00
2011 01 04 16 50  56  6.4  8.1  2.34 14.81  9.31 274 1024.7   9.0  11.1 999.0 99.0 99.00
2011 01 04 17 50  53  6.5  8.1  2.63 16.00 10.03 276 1025.6   9.4  11.2 999.0 99.0 99.00
2011 01 04 18 50  49  6.8  8.3  2.42 16.00  9.23 260 1026.0   9.5  11.3 999.0 99.0 99.00
2011 01 04 19 50  59  7.1  8.8  2.47 17.39  9.32 273 1025.3   9.6  11.3 999.0 99.0 99.00
2011 01 04 20 50  57  7.1  8.8  2.43 17.39  9.08 255 1024.7  10.0  11.4 999.0 99.0 99.00
2011 01 04 21 50  55  6.5  7.8 99.00 99.00 99.00 999 1024.0  10.6  11.4 999.0 99.0 99.00
2011 01 04 22 50  42  5.8  7.3  2.36 17.39  9.11 263 1023.7  11.0  11.5 999.0 99.0 99.00
2011 01 04 23 50  36  5.1  6.6  2.52 16.00 10.00 290 1023.9  11.4  11.5 999.0 99.0 99.00
2011 01 05 00 50  36  4.2  5.2  2.59 16.00 10.56 279 1024.2  11.4  11.5 999.0 99.0 99.00
2011 01 05 01 50 334  2.7  4.2  2.48 16.00 11.22 273 1024.6  11.1  11.4 999.0 99.0 99.00
2011 01 05 02 50 329  3.2  3.9  2.63 16.00 11.27 279 1025.2  10.9  11.4 999.0 99.0 99.00
2011 01 05 03 50   9  2.1  2.6  2.62 14.81 11.13 296 1025.5  11.0  11.3 999.0 99.0 99.00
2011 01 05 04 50  67  1.8  3.1  2.64 12.90 11.10 300 1025.6  10.9  11.3 999.0 99.0 99.00
2011 01 05 05 50  55  4.0  5.6  2.54 14.81 11.70 299 1025.4  10.9  11.3 999.0 99.0 99.00
2011 01 05 06 50  61  5.7  7.5  2.67 14.81 10.84 292 1025.3  10.3  11.3 999.0 99.0 99.00
2011 01 05 07 50  38  6.2  7.5  2.64 13.79 11.00 292 1025.5  10.1  11.2 999.0 99.0 99.00
2011 01 05 08 50  38  5.1  6.2  2.42 14.81 10.18 284 1025.7  10.5  11.2 999.0 99.0 99.00
2011 01 05 09 50  58  7.1  8.9  2.41 14.81  9.78 272 1025.5  10.0  11.2 999.0 99.0 99.00
2011 01 05 10 50  44  7.3  9.0  2.43 13.79  9.49 287 1025.8   9.9  11.2 999.0 99.0 99.00
2011 01 05 11 50  47  7.3  9.0  2.09 16.00  8.37 284 1025.8  10.2  11.2 999.0 99.0 99.00
2011 01 05 12 50  56  8.0  9.8 99.00 99.00 99.00 999 1025.4   9.5  11.2 999.0 99.0 99.00
2011 01 05 13 50  51  9.0 10.6  2.04 12.12  7.43 289 1025.6   9.4  11.2 999.0 99.0 99.00
2011 01 05 14 50  49  9.0 10.5  2.03 14.81  7.72 278 1026.2   9.1  11.1 999.0 99.0 99.00
2011 01 05 15 50  50  8.6 10.7  2.07 13.79  7.79 266 1026.4   9.6  11.1 999.0 99.0 99.00
2011 01 05 16 50  48  9.2 11.2  1.98 14.81  7.16 267 1027.0   9.4  11.1 999.0 99.0 99.00
2011 01 05 17 50  54 10.4 12.3  2.13 16.00  7.51 296 1027.2   9.2  11.2 999.0 99.0 99.00
2011 01 05 18 50  50  9.9 12.0  2.01 14.81  7.00 291 1027.2   9.2  11.2 999.0 99.0 99.00
2011 01 05 19 50  56  9.0 11.2  2.03 14.81  7.52 313 1026.3   9.8  11.3 999.0 99.0 99.00
2011 01 05 20 50  48  8.2  9.8  1.86 14.81  7.63 273 1025.4  10.4  11.3 999.0 99.0 99.00
2011 01 05 21 50  50  5.2  6.7  2.23 14.81  8.96 290 1025.4  11.1  11.3 999.0 99.0 99.00
2011 01 05 22 50 327  1.3  2.0  2.26 14.81  9.85 286 1025.7  11.5  11.4 999.0 99.0 99.00
2011 01 05 23 50  62  4.4  5.6  1.87 13.79  9.89 283 1025.3  11.8  11.6 999.0 99.0 99.00
2011 01 06 00 50  52  7.4  8.7  1.86 13.79  8.55 278 1024.6  11.4  11.5 999.0 99.0 99.00
2011 01 06 01 50  56  6.3  7.9  2.18 13.79  9.25 278 1024.5  11.3  11.4 999.0 99.0 99.00
2011 01 06 02 50  60  5.2  6.5  1.98 14.81  9.93 283 1025.0  11.2  11.3 999.0 99.0 99.00
2011 01 06 03 50  36  2.5  4.4  1.88 12.90  9.94 280 1025.3  11.3  11.2 999.0 99.0 99.00
2011 01 06 04 50 343  2.9  3.5  2.34 13.79 10.62 278 1025.4  10.6  11.2 999.0 99.0 99.00
2011 01 06 05 50 351  1.3  1.7  1.95 12.90 10.72 295 1025.7  10.6  11.2 999.0 99.0 99.00
2011 01 06 06 50  54  4.9  7.2  2.04 12.90 10.40 291 1025.8  10.9  11.1 999.0 99.0 99.00
2011 01 06 07 50  20  6.0  7.1  2.02 13.79  9.49 279 1025.4  10.7  11.1 999.0 99.0 99.00
2011 01 06 08 50  49  7.3  9.2  1.81 13.79  8.15 288 1024.7  10.8  11.1 999.0 99.0 99.00
2011 01 06 09 50  62  4.6  6.3  2.14 14.81  9.36 288 1024.8  10.5  11.0 999.0 99.0 99.00
2011 01 06 10 50  38  5.2  6.7  2.12 14.81  8.45 283 1024.7  11.0  11.0 999.0 99.0 99.00
2011 01 06 11 50  44  7.8  9.8  1.91 12.12  8.48 289 1024.4  10.7  11.0 999.0 99.0 99.00
2011 01 06 12 50  36  1.6  3.4  1.86 14.81  8.84 279 1024.5  10.5  10.9 999.0 99.0 99.00
2011 01 06 13 50  59  0.8  1.9  1.88 14.81  9.01 281 1024.2  10.3  10.9 999.0 99.0 99.00
2011 01 06 14 50  49  5.0  6.0  2.10 13.79  9.14 283 1024.1   9.7  10.9 999.0 99.0 99.00
2011 01 06 15 50  64  6.0  7.7  2.07 13.79  8.57 287 1024.2   9.6  10.9 999.0 99.0 99.00
2011 01 06 16 50  41  6.5  8.0  2.11 13.79  8.31 273 1024.4   9.3  10.9 999.0 99.0 99.00
2011 01 06 17 50  25  1.5  2.5  2.07 19.05  8.80 285 1024.6  10.2  11.0 999.0 99.0 99.00
2011 01 06 18 50  46  1.9  3.8  2.20 19.05  9.90 285 1024.2  10.5  11.1 999.0 99.0 99.00
2011 01 06 19 50  68  2.7  4.1  2.76 19.05 10.99 289 1023.3  10.0  11.2 999.0 99.0 99.00
2011 01 06 20 50  67  5.3  6.7  2.58 19.05 10.23 270 1022.4   9.1  11.3 999.0 99.0 99.00
2011 01 06 21 50  66  4.5  6.3  2.56 19.05  9.60 290 1021.8   8.9  11.3 999.0 99.0 99.00
2011 01 06 22 50  59  3.9  5.3  2.54 19.05 10.72 275 1022.0  10.3  11.4 999.0 99.0 99.00
2011 01 06 23 50  49  2.0  2.9  2.45 17.39 10.55 286 1021.8  10.5  11.4 999.0 99.0 99.00
2011 01 07 00 50  11  0.9  1.5  2.50 17.39 11.32 274 1021.4  10.6  11.4 999.0 99.0 99.00
2011 01 07 01 50   2  1.3  2.0  2.35 17.39 10.76 277 1021.1  10.3  11.1 999.0 99.0 99.00
2011 01 07 02 50 334  4.9  6.0  2.66 17.39 11.13 264 1021.2  10.3  11.0 999.0 99.0 99.00
2011 01 07 03 50 324  4.2  5.3  3.01 17.39 11.26 289 1021.3  10.2  11.2 999.0 99.0 99.00
2011 01 07 04 50 347  2.9  3.6  2.62 17.39 10.76 280 1021.3  10.0  11.2 999.0 99.0 99.00
2011 01 07 05 50  50  1.9  3.3  2.59 16.00 10.77 277 1021.2   9.5  11.2 999.0 99.0 99.00
2011 01 07 06 50  52  1.5  2.5  2.51 16.00 10.60 302 1021.0   9.0  11.1 999.0 99.0 99.00
2011 01 07 07 50  69  1.2  3.0  2.99 16.00 11.37 298 1020.8   9.0  11.1 999.0 99.0 99.00
2011 01 07 08 50 348  1.5  3.1  3.03 16.00 11.21 291 1020.5   8.8  10.9 999.0 99.0 99.00
2011 01 07 09 50 326  1.8  2.9  2.71 16.00 10.51 289 1020.2   8.2  10.5 999.0 99.0 99.00
2011 01 07 10 50  63  2.2  4.6  2.65 16.00 10.55 294 1020.2   7.9  10.4 999.0 99.0 99.00
2011 01 07 11 50  71  2.2  3.3  2.93 16.00  9.90 282 1019.9   7.6  10.5 999.0 99.0 99.00
2011 01 07 12 50  94  0.4  1.6  3.08 16.00 10.43 298 1019.8   7.5  10.5 999.0 99.0 99.00
2011 01 07 13 50 272  1.3  3.0  2.52 16.00  9.55 296 1019.9   7.7  10.5 999.0 99.0 99.00
2011 01 07 14 50 306  0.8  1.6  2.81 16.00 10.58 290 1020.3   7.3  10.5 999.0 99.0 99.00
2011 01 07 15 50 317  3.3  5.0  2.68 16.00 10.00 289 1020.6   6.6  10.5 999.0 99.0 99.00
2011 01 07 16 50  54  3.6  5.4  2.54 14.81  9.83 291 1020.9   7.2  10.5 999.0 99.0 99.00
2011 01 07 17 50  50  4.2  5.6  2.50 16.00  9.56 289 1021.1   6.5  10.8 999.0 99.0 99.00
2011 01 07 18 50  57  3.4  5.2  2.51 16.00  9.37 289 1021.3   6.6  10.9 999.0 99.0 99.00
2011 01 07 19 50  37  1.7  3.0  2.43 16.00  9.55 289 1020.4   7.2  11.0 999.0 99.0 99.00
2011 01 07 20 50 324  2.3  3.3  2.62 14.81  9.85 280 1019.7   7.9  11.2 999.0 99.0 99.00
2011 01 07 21 50 331  6.4  7.8  2.55 16.00  9.65 274 1019.1   8.8  11.2 999.0 99.0 99.00
2011 01 07 22 50 322  4.9  6.1  2.55 14.81  9.49 289 1019.2   9.0  11.2 999.0 99.0 99.00
2011 01 07 23 50 322  4.1  5.4  2.39 14.81  9.17 288 1019.0   9.2  11.3 999.0 99.0 99.00
2011 01 08 00 50 320  3.8  5.3  2.77 16.00  9.78 272 1018.9   9.3  11.2 999.0 99.0 99.00
2011 01 08 01 50 321  4.5  5.6  2.19 14.81  8.07 266 1018.7   9.8  11.2 999.0 99.0 99.00
2011 01 08 02 50 328  5.2  7.4  2.44 14.81  7.09 264 1018.5  10.2  11.2 999.0 99.0 99.00
2011 01 08 03 50 314  7.1  8.4  2.61 14.81  7.27 289 1018.2  10.5  11.2 999.0 99.0 99.00
2011 01 08 04 50  28  2.1  3.3  2.43 12.90  7.15 286 1018.0   9.9  11.2 999.0 99.0 99.00
2011 01 08 05 50  67  3.9  5.1  2.43 13.79  7.99 291 1017.9   8.6  11.2 999.0 99.0 99.00
2011 01 08 06 50  68  4.3  5.9  2.69 14.81  8.69 286 1017.9   8.3  11.1 999.0 99.0 99.00
2011 01 08 07 50  64  4.7  6.5  2.31 13.79  8.28 298 1018.2   7.6  11.1 999.0 99.0 99.00
2011 01 08 08 50  58  4.0  5.1  2.30 16.00  8.49 290 1018.1   7.6  11.0 999.0 99.0 99.00
2011 01 08 09 50  61  3.1  4.1  2.49 14.81  8.66 288 1018.3   7.7  11.0 999.0 99.0 99.00
2011 01 08 10 50  58  3.0  4.2  2.34 12.12  8.61 307 1018.7   7.7  11.0 999.0 99.0 99.00
2011 01 08 11 50  83  1.9  3.3  2.04 14.81  8.39 293 1018.5   7.9  10.6 999.0 99.0 99.00
2011 01 08 12 50  29  3.4  5.1  2.25 13.79  8.52 302 1018.2   8.1  10.4 999.0 99.0 99.00
2011 01 08 13 50  52  4.6  6.3  2.30 12.12  8.28 301 1018.3   7.6  10.4 999.0 99.0 99.00
2011 01 08 14 50  55  4.7  6.4  2.19 14.81  7.83 306 1018.4   7.3  10.5 999.0 99.0 99.00
2011 01 08 15 50  65  5.1  6.9  2.12 14.81  7.42 310 1018.4   7.3  10.5 999.0 99.0 99.00
