#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi    ft
2007 01 01 00 00 290  3.1  4.5  2.42 13.79 10.12 999 1025.5  10.9  11.8 999.0 99.0 99.00
2007 01 01 01 00 334  3.5  5.6  2.63 12.90 10.45 999 1025.7  10.8  11.8 999.0 99.0 99.00
2007 01 01 02 00 302  3.8  5.5  2.30 12.12  9.64 999 1025.9  10.8  11.8 999.0 99.0 99.00
2007 01 01 03 00 316  3.9  6.5  2.50 12.90  9.95 999 1026.0  10.7  11.8 999.0 99.0 99.00
2007 01 01 04 00 317  4.7  5.8  2.38 12.90  9.59 999 1026.0  10.6  11.8 999.0 99.0 99.00
2007 01 01 05 00 325  4.3  5.5  2.73 12.12 10.03 999 1026.0  10.7  11.7 999.0 99.0 99.00
2007 01 01 06 00 335  4.1  5.5  2.55 12.90  9.85 999 1026.0  10.7  11.7 999.0 99.0 99.00
2007 01 01 07 00 327  4.2  5.5  2.57 12.12  9.69 999 1026.0  10.7  11.6 999.0 99.0 99.00
2007 01 01 08 00 345  4.0  5.1  2.48 12.12  9.46 999 1025.9  10.6  11.6 999.0 99.0 99.00
2007 01 01 09 00 339  3.8  4.6  2.36 11.43  9.21 999 1025.9  10.5  11.4 999.0 99.0 99.00
2007 01 01 10 00 341  3.9  5.2  2.33 12.12  9.20 999 1026.2  10.6  11.2 999.0 99.0 99.00
2007 01 01 11 00 332  4.4  5.5  2.21 12.12  8.88 999 1026.2  10.4  11.1 999.0 99.0 99.00
2007 01 01 12 00 333  5.4  6.6  1.92 12.90  8.13 999 1026.0  10.6  11.2 999.0 99.0 99.00
2007 01 01 13 00 326  6.6  8.4  2.21 13.79  8.04 999 1025.8  10.9  11.2 999.0 99.0 99.00
2007 01 01 14 00 329  5.3  6.7  1.97 12.90  7.60 999 1025.3  10.6  11.3 999.0 99.0 99.00
2007 01 01 15 00 336  7.0  8.4  1.82 12.90  6.62 999 1025.2  10.6  11.4 999.0 99.0 99.00
2007 01 01 16 00 340  5.3  6.0  1.62 11.43  6.29 999 1025.4  10.4  11.4 999.0 99.0 99.00
2007 01 01 17 00 333  6.4  7.4  1.76 12.90  6.50 999 1025.8  10.3  11.4 999.0 99.0 99.00
2007 01 01 18 00 347  6.1  7.5  1.62 10.81  5.86 999 1025.6  10.2  11.3 999.0 99.0 99.00
2007 01 01 19 00 317  7.2  8.5  1.73 10.00  6.24 999 1025.0  10.9  11.3 999.0 99.0 99.00
2007 01 01 20 00 337  4.8  5.8  1.79 12.12  6.23 999 1024.0  11.1  11.3 999.0 99.0 99.00
2007 01 01 21 00 313  8.0  9.6  1.76 11.43  6.16 999 1022.9  11.4  11.4 999.0 99.0 99.00
2007 01 01 22 00 322  8.9 10.2  1.82 12.90  5.97 999 1022.4  11.6  11.4 999.0 99.0 99.00
2007 01 01 23 00 316  7.9  9.6  1.75 12.12  5.99 999 1022.1  12.0  11.5 999.0 99.0 99.00
2007 01 02 00 00 320  9.2 11.2  1.73 11.43  5.92 999 1022.3  12.0  11.5 999.0 99.0 99.00
2007 01 02 01 00 330  8.6 10.1  1.76 10.81  5.79 999 1022.4  11.9  11.5 999.0 99.0 99.00
2007 01 02 02 00 330  7.7  9.3  2.04 11.43  6.72 999 1022.7  11.9  11.4 999.0 99.0 99.00
2007 01 02 03 00 328  8.7 10.0  1.98 11.43  6.79 999 1022.6  12.1  11.4 999.0 99.0 99.00
2007 01 02 04 00 331  7.5  8.6  1.87 10.81  6.46 999 1022.8  12.0  11.4 999.0 99.0 99.00
2007 01 02 05 00 336  6.6  8.0  1.87 11.43  6.27 999 1022.9  12.1  11.4 999.0 99.0 99.00
2007 01 02 06 00 332  5.0  6.1  1.94 11.43  6.48 999 1022.8  12.2  11.4 999.0 99.0 99.00
2007 01 02 07 00 329  6.5  8.0  1.98 10.81  6.57 999 1022.1  12.3  11.5 999.0 99.0 99.00
2007 01 02 08 00 323  6.9  8.5  1.87 11.43  6.19 999 1021.7  12.3  11.5 999.0 99.0 99.00
2007 01 02 09 00 320  8.3  9.8  2.01 12.90  6.62 999 1022.0  12.0  11.5 999.0 99.0 99.00
2007 01 02 10 00 317  7.3  8.3  2.11 12.12  6.82 999 1021.6  12.0  11.4 999.0 99.0 99.00
2007 01 02 11 00   7  3.4  4.1  1.81 12.90  6.42 999 1021.9  11.9  11.4 999.0 99.0 99.00
