#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2014 12 31 23 50 322  5.5  6.7  0.84 12.90  5.40 262 1020.1  12.6  13.6 999.0 99.0 99.00
2015 01 01 00 50 319  3.1  3.8  0.73 11.43  4.79 247 1019.4  13.0  13.5 999.0 99.0 99.00
2015 01 01 01 50 325  2.8  3.6  0.75 12.90  5.37 271 1019.2  13.0  13.4 999.0 99.0 99.00
2015 01 01 02 50 308  3.2  4.1  0.80 12.90  5.89 276 1019.3  12.9  13.3 999.0 99.0 99.00
2015 01 01 03 50 310  2.3  2.9  0.79 12.90  5.49 272 1019.1  12.7  13.3 999.0 99.0 99.00
2015 01 01 04 50 274  1.6  2.4  0.82 12.12  5.53 276 1018.7  12.7  13.3 999.0 99.0 99.00
2015 01 01 05 50  45  0.6  1.0  0.84 12.90  5.63 275 1018.7  12.7  13.3 999.0 99.0 99.00
2015 01 01 06 50 104  1.2  1.7  0.99 12.90  5.71 277 1018.6  12.5  13.3 999.0 99.0 99.00
2015 01 01 07 50 193  1.5  2.1  1.07 12.90  5.99 293 1018.5  12.5  13.3 999.0 99.0 99.00
2015 01 01 08 50 142  0.7  1.4  1.03 12.90  5.91 308 1018.5  12.7  13.3 999.0 99.0 99.00
2015 01 01 09 50  97  4.0  5.2  1.04 12.90  5.92 294 1018.7  12.6  13.3 999.0 99.0 99.00
2015 01 01 10 50 101  4.9  5.8  1.12 12.90  6.04 298 1018.7  11.5  13.3 999.0 99.0 99.00
2015 01 01 11 50  92  5.8  6.7  1.18  8.33  5.94 311 1018.5  10.8  13.3 999.0 99.0 99.00
2015 01 01 12 50 109  6.0  7.0  1.18  9.09  5.56 315 1018.2  10.9  13.3 999.0 99.0 99.00
2015 01 01 13 50  92  7.3  8.6  1.16  9.09  5.40 291 1018.4  10.0  13.3 999.0 99.0 99.00
2015 01 01 14 50  98  7.9  9.2  1.17  9.09  5.23 299 1018.8   9.8  13.2 999.0 99.0 99.00
2015 01 01 15 50  89  8.2  9.4  1.24 12.12  5.14 288 1019.5   9.3  13.2 999.0 99.0 99.00
2015 01 01 16 50  85  7.8  9.1  1.17 11.43  5.02 296 1020.2   9.4  13.2 999.0 99.0 99.00
2015 01 01 17 50  92  8.0  9.2  1.34 11.43  5.24 290 1021.0   9.6  13.1 999.0 99.0 99.00
2015 01 01 18 50  92  7.5  8.7  1.19 11.43  5.31 304 1021.3   9.9  13.1 999.0 99.0 99.00
2015 01 01 19 50  92  6.8  7.9  1.15 10.81  5.35 308 1020.5  10.2  13.1 999.0 99.0 99.00
2015 01 01 20 50  88  6.6  7.7  1.02  7.69  5.41 306 1019.9  10.5  13.0 999.0 99.0 99.00
2015 01 01 21 50  90  6.7  7.8  1.05 11.43  5.31 285 1019.4  11.0  13.0 999.0 99.0 99.00
2015 01 01 22 50  78  6.1  7.1  0.98 10.81  5.38 293 1019.8  11.5  13.1 999.0 99.0 99.00
2015 01 01 23 50  86  4.9  5.7  1.02  9.09  5.89 300 1020.6  11.7  13.1 999.0 99.0 99.00
2015 01 02 00 50  93  3.9  4.9  0.96 10.81  5.97 282 1020.7  11.8  13.1 999.0 99.0 99.00
