#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2009 12 31 23 50 319  2.6  3.7  1.48  7.14  5.83 158 1019.2   8.7  12.1 999.0 99.0 99.00
2010 01 01 00 50 286  1.5  2.7  1.62  7.14  6.15 144 1018.6   8.7  12.1 999.0 99.0 99.00
2010 01 01 01 50   8  1.1  1.8  1.47  7.14  6.01 147 1017.5   8.9  12.1 999.0 99.0 99.00
2010 01 01 02 50  74  0.7  2.1  1.52  7.69  6.27 153 1017.0   8.9  12.1 999.0 99.0 99.00
2010 01 01 03 50  86  1.2  1.9  1.64  8.33  6.32 140 1016.8   9.3  12.1 999.0 99.0 99.00
2010 01 01 04 50 305  1.6  2.1  1.79  8.33  6.40 148 1016.8   9.6  12.2 999.0 99.0 99.00
2010 01 01 05 50 348  1.8  2.5  1.64  7.14  6.41 149 1015.9   9.6  12.1 999.0 99.0 99.00
2010 01 01 06 50  36  1.2  1.6  1.30  8.33  6.12 159 1015.3   9.8  12.2 999.0 99.0 99.00
2010 01 01 07 50 349  2.1  2.8  1.25  8.33  6.44 149 1014.8  10.0  12.1 999.0 99.0 99.00
2010 01 01 08 50 349  6.0  7.3  1.21  9.09  6.57 143 1014.2   9.5  12.2 999.0 99.0 99.00
2010 01 01 09 50 351  5.7  7.3  1.20  8.33  6.09 154 1013.6   9.4  12.2 999.0 99.0 99.00
2010 01 01 10 50 343  6.9  8.5  1.36  7.69  5.83 156 1013.8   9.1  12.2 999.0 99.0 99.00
2010 01 01 11 50 343  6.8  8.6  1.22  8.33  5.26 155 1013.6   8.9  12.3 999.0 99.0 99.00
2010 01 01 12 50 341  8.2  9.4  1.16  8.33  5.04 144 1013.7   8.7  12.2 999.0 99.0 99.00
2010 01 01 13 50 342  7.6  9.3  1.30  8.33  5.14 141 1013.4   8.5  12.3 999.0 99.0 99.00
2010 01 01 14 50 347  8.4 10.2  1.38  9.09  4.89 129 1013.9   8.4  12.3 999.0 99.0 99.00
2010 01 01 15 50 347  8.7 10.1  1.29  7.69  4.64 155 1013.7   8.1  12.3 999.0 99.0 99.00
2010 01 01 16 50 346  8.8 10.7  1.28  8.33  4.52 142 1012.5   7.8  12.3 999.0 99.0 99.00
2010 01 01 17 50 342  9.2 11.2  1.47  4.35  4.53 344 1012.0   7.2  12.3 999.0 99.0 99.00
2010 01 01 18 50 351  8.5 10.2  1.46  4.35  4.74 354 1011.3   7.2  12.2 999.0 99.0 99.00
2010 01 01 19 50 342  9.0 10.9  1.35  4.55  4.43 351 1011.3   7.7  12.2 999.0 99.0 99.00
2010 01 01 20 50 348 10.4 12.8  1.41  4.55  4.38 352 1010.9   7.9  12.2 999.0 99.0 99.00
2010 01 01 21 50 348 10.3 12.7  1.62  5.26  4.50 352 1010.8   7.8  12.2 999.0 99.0 99.00
2010 01 01 22 50 346 11.1 13.0  1.59  5.26  4.44 359 1010.8   8.0  12.2 999.0 99.0 99.00
2010 01 01 23 50 343 12.0 14.2  1.74  5.26  4.58   1 1010.7   7.9  12.3 999.0 99.0 99.00
2010 01 02 00 50 338 11.7 14.7  1.84  5.56  4.75 354 1010.5   7.9  12.3 999.0 99.0 99.00
2010 01 02 01 50 337 11.6 14.0  1.78  5.88  4.57   4 1010.4   7.7  12.3 999.0 99.0 99.00
2010 01 02 02 50 333 11.5 14.3  1.99  5.88  4.88   2 1009.9   7.1  12.1 999.0 99.0 99.00
2010 01 02 03 50 333 12.2 14.6  1.94  6.25  4.76   7 1009.6   6.9  12.0 999.0 99.0 99.00
2010 01 02 05 50 334 13.3 15.7  1.87  6.25  4.64   7 1009.0   5.7  12.2 999.0 99.0 99.00
2010 01 02 06 50 331 14.1 17.3  2.30  6.25  4.91   5 1009.6   4.2  12.5 999.0 99.0 99.00
