YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2001 01 01 00 263  9.5 12.2  1.42  5.26  4.77 300 1018.1   4.4  15.2  -2.9 99.0 99.00
2001 01 01 01 264 10.6 13.5  1.52  5.00  4.75 300 1018.2   4.4  15.2  -4.2 99.0 99.00
2001 01 01 02 270 11.2 14.9  1.66  5.56  4.71 307 1018.7   4.4  15.2  -4.9 99.0 99.00
2001 01 01 03 268 11.9 16.7  2.01  5.26  4.90 279 1018.8   4.5  15.2  -4.5 99.0 99.00
2001 01 01 04 272 11.6 14.5  2.05  5.88  5.03 287 1019.3   4.8  15.2  -2.8 99.0 99.00
2001 01 01 05 285 11.5 15.1  2.02  5.88  4.88 281 1019.5   4.1  15.2  -3.8 99.0 99.00
2001 01 01 06 306 10.0 14.1  2.02  5.88  4.95 273 1019.7   3.4  15.2  -3.1 99.0 99.00
2001 01 01 07 309 10.0 14.0  1.74  5.88  4.74 260 1020.3   2.8  15.2  -5.4 99.0 99.00
2001 01 01 08 309  8.4 12.4  1.74  5.56  4.68 284 1020.8   2.7  15.2  -5.3 99.0 99.00
2001 01 01 09 304  8.9 11.5  1.71  5.00  4.73 296 1021.1   2.3  15.2  -5.1 99.0 99.00
2001 01 01 10 304  8.7 12.6  1.72  5.56  4.89 313 1021.7   2.1  15.2  -6.0 99.0 99.00
2001 01 01 11 308  8.0 10.9  2.07  6.67  5.29 345 1022.5   2.1  15.2  -6.2 99.0 99.00
2001 01 01 12 301  7.7 11.0  1.75  6.25  4.99 347 1023.1   2.1  15.2  -6.6 99.0 99.00
2001 01 01 13 303  8.2 10.7  1.72  6.25  5.06 351 1023.4   2.3  15.2  -4.6 99.0 99.00
2001 01 01 14 305  8.0 10.8  1.74  6.25  5.04   6 1023.8   2.3  15.2  -4.6 99.0 99.00
2001 01 01 15 298  7.5  9.8  1.57  6.25  4.89  11 1024.3   2.3  15.2  -5.2 99.0 99.00
2001 01 01 16 292  7.4 10.3  1.58  6.25  4.97  10 1024.3   2.3  15.3  -5.3 99.0 99.00
2001 01 01 17 298  6.3  9.3  1.50  6.25  5.05  17 1023.6   2.2  15.3  -5.7 99.0 99.00
2001 01 01 18 290  6.0  8.3  1.48  6.25  5.08  18 1022.6   2.3  15.3  -5.2 99.0 99.00
2001 01 01 19 291  6.0  8.9  1.34  5.88  4.93  12 1022.1   2.4  15.2  -5.9 99.0 99.00
2001 01 01 20 278  5.6  8.1  1.26  5.56  4.77  11 1022.1   2.4  15.2  -5.3 99.0 99.00
2001 01 01 21 296  5.8  8.2  1.24  6.25  4.75  26 1022.2   2.4  15.2  -4.7 99.0 99.00
2001 01 01 22 293  6.7  9.7  1.13  5.88  4.58  27 1022.4   2.4  15.2  -3.4 99.0 99.00
2001 01 01 23 291  7.3 10.0  1.07  6.25  4.61  34 1022.7   2.3  15.2  -4.1 99.0 99.00
2001 01 02 00 299  7.5  9.8  1.12  6.25  4.38  28 1023.1   2.5  15.2  -4.1 99.0 99.00
2001 01 02 01 304  7.1 10.0  1.17  5.56  4.53  19 1023.4   2.8  15.2  -3.8 99.0 99.00
2001 01 02 02 298  7.5  9.9  1.19  5.88  4.64  32 1023.0   2.8  15.2  -4.0 99.0 99.00
2001 01 02 03 301  7.2 10.6  1.19  5.56  4.47  25 1022.8   2.8  15.2  -5.2 99.0 99.00
2001 01 02 04 315  6.7 10.0  1.12  5.56  4.51  25 1022.7   2.9  15.2  -3.5 99.0 99.00
2001 01 02 05 314  6.6  9.1  1.05  5.26  4.39  14 1022.2   3.2  15.2  -3.9 99.0 99.00
2001 01 02 06 309  6.8  9.8  1.10  5.26  4.39  21 1022.0   3.2  15.2  -4.0 99.0 99.00
2001 01 02 07 303  7.6  9.9  1.04  5.26  4.31  30 1022.0   3.4  15.2  -2.8 99.0 99.00
2001 01 02 08 315  8.8 10.5  1.01  4.76  4.20   8 1022.1   3.6  15.2  -2.9 99.0 99.00
2001 01 02 09 313  9.0 11.6  1.09  4.76  4.20  12 1022.1   3.5  14.9  -2.8 99.0 99.00
2001 01 02 10 312  9.3 12.0  1.13  4.76  4.19   8 1022.2   3.6  14.9  -3.6 99.0 99.00
2001 01 02 11 318 10.9 13.7  1.36  5.26  4.31  10 1022.7   3.6  14.9  -1.3 99.0 99.00
2001 01 02 12 325 10.9 13.8  1.35  5.26  4.31  10 1023.5   3.6  14.9  -3.8 99.0 99.00
2001 01 02 13 332 10.4 13.8  1.66  5.26  4.60   5 1024.2   3.4  14.9  -3.5 99.0 99.00
2001 01 02 14 322 10.7 13.2  1.84  5.88  4.90  18 1024.9   3.2  14.9  -3.6 99.0 99.00
2001 01 02 15 322  9.8 14.1  1.84  6.25  4.95  18 1025.5   2.9  14.9  -3.2 99.0 99.00
2001 01 02 16 316 11.4 14.0  2.16  6.67  5.36  21 1025.4   2.8  14.9  -2.6 99.0 99.00
2001 01 02 17 310 11.1 14.5  2.43  7.14  5.62  27 1025.1   2.6  14.9  -2.6 99.0 99.00
2001 01 02 18 307 11.6 15.0  2.54  7.14  5.54  26 1024.4   2.4  14.9  -4.7 99.0 99.00
2001 01 02 19 308 11.8 14.1  2.41  7.14  5.53  25 1024.3   2.1  14.9  -3.5 99.0 99.00
2001 01 02 20 306 11.7 14.4  2.43  7.69  5.45  37 1024.5   1.7  14.9  -3.9 99.0 99.00
2001 01 02 21 298 11.5 15.4  2.50  7.14  5.44  26 1024.9   2.0  14.8  -4.4 99.0 99.00
2001 01 02 22 307 12.2 15.7  2.40  7.14  5.39  24 1025.2   1.9  14.8  -4.8 99.0 99.00
2001 01 02 23 304 12.4 15.6  2.60  5.88  5.40 331 1025.6   1.9  14.8  -4.8 99.0 99.00
2001 01 03 00 302 12.1 14.5  2.48  7.14  5.41  20 1025.9   1.9  14.5  -4.6 99.0 99.00
2001 01 03 01 306 12.0 15.8  2.47  6.67  5.34   4 1026.3   2.1  14.5  -5.2 99.0 99.00
2001 01 03 02 307 10.6 14.7  2.45  6.67  5.38 357 1026.6   2.1  14.8  -4.5 99.0 99.00
2001 01 03 03 325 11.6 14.7  2.37  6.67  5.44   6 1026.5   2.1  14.8  -3.9 99.0 99.00
2001 01 03 04 327 11.4 14.9  2.66  6.67  5.57 360 1026.7   1.5  14.5  -4.9 99.0 99.00
2001 01 03 05 336 12.4 15.2  2.60  7.14  5.58  15 1026.4   1.4  14.5  -4.3 99.0 99.00
2001 01 03 06 341 11.4 14.5  2.72  7.14  5.62  16 1026.2   1.3  14.5  -5.1 99.0 99.00
2001 01 03 07 332 11.0 13.7  2.71  7.14  5.59   9 1026.4   1.4  14.4  -3.7 99.0 99.00
2001 01 03 08 335  9.6 11.5  2.54  7.14  5.68   8 1026.5   1.3  14.4  -4.6 99.0 99.00
2001 01 03 09 329  9.7 12.3  2.31  7.14  5.47   5 1026.3   0.9  14.4  -4.1 99.0 99.00
2001 01 03 10 333  8.7 12.5  2.11  7.69  5.32  12 1026.4   0.5  14.4  -5.1 99.0 99.00
2001 01 03 11 333  8.6 11.9  2.05  7.69  5.45   9 1026.6   0.3  14.4  -5.4 99.0 99.00
2001 01 03 12 329  7.6 10.3  1.96  6.25  5.23   5 1026.8   0.4  13.7  -5.1 99.0 99.00
2001 01 03 13 323  7.7  9.9  1.87  7.14  5.10   6 1026.9   0.5  13.4  -5.0 99.0 99.00
2001 01 03 14 317  6.7 10.0  1.80  7.69  5.29  14 1026.9   0.2  12.9  -5.2 99.0 99.00
