#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2010 12 31 23 50 999 99.0 99.0  0.55  8.33  5.59  98 1025.8   9.1   9.2 999.0 99.0 99.00
2011 01 01 00 50 999 99.0 99.0  0.54  9.09  5.23  83 1025.9   9.4   9.6 999.0 99.0 99.00
2011 01 01 01 50 999 99.0 99.0  0.54  9.09  5.11  97 1026.2   9.4   9.5 999.0 99.0 99.00
2011 01 01 02 50 999 99.0 99.0  0.49  7.14  4.67  88 1025.8   9.4   9.4 999.0 99.0 99.00
2011 01 01 03 50 999 99.0 99.0  0.49  8.33  4.81  93 1025.7   9.4   9.7 999.0 99.0 99.00
2011 01 01 04 50 999 99.0 99.0  0.47  8.33  4.97  96 1025.2   9.4   9.5 999.0 99.0 99.00
2011 01 01 05 50 999 99.0 99.0  0.46  8.33  4.19 105 1024.6   9.5   9.5 999.0 99.0 99.00
2011 01 01 06 50 999 99.0 99.0  0.48 12.90  4.16  87 1024.8   9.6   9.5 999.0 99.0 99.00
2011 01 01 07 50 999 99.0 99.0  0.49  7.69  4.17  84 1024.9   9.6   9.6 999.0 99.0 99.00
2011 01 01 08 50 999 99.0 99.0  0.50  8.33  4.34  81 1024.5   9.6   9.6 999.0 99.0 99.00
2011 01 01 09 50 999 99.0 99.0  0.50 10.00  4.31  88 1024.5   9.7   9.7 999.0 99.0 99.00
2011 01 01 10 50 999 99.0 99.0  0.47 10.00  4.54  91 1024.5   9.7   9.8 999.0 99.0 99.00
2011 01 01 11 50 999 99.0 99.0  0.48  8.33  4.74 102 1024.7   9.5  10.0 999.0 99.0 99.00
2011 01 01 12 50 999 99.0 99.0  0.46  9.09  4.65 104 1025.1   9.8   9.7 999.0 99.0 99.00
2011 01 01 13 50 999 99.0 99.0  0.42 10.00  4.85 103 1025.6  10.0   9.7 999.0 99.0 99.00
2011 01 01 14 50 999 99.0 99.0  0.43 10.00  4.84  98 1025.9  10.4   9.9 999.0 99.0 99.00
2011 01 01 15 50 999 99.0 99.0  0.43  7.69  5.23 110 1025.3  10.7   9.8 999.0 99.0 99.00
2011 01 01 16 50 999 99.0 99.0  0.44  8.33  5.11 103 1024.4  10.6  10.1 999.0 99.0 99.00
2011 01 01 17 50 999 99.0 99.0  0.40  8.33  4.56 105 1023.6  11.4  10.3 999.0 99.0 99.00
2011 01 01 18 50 999 99.0 99.0  0.42  8.33  4.83 107 1022.7  11.1  10.4 999.0 99.0 99.00
2011 01 01 19 50 999 99.0 99.0  0.42  7.69  4.48 113 1022.7  11.7  10.6 999.0 99.0 99.00
2011 01 01 20 50 999 99.0 99.0  0.43  9.09  4.71 112 1022.2  12.0  10.8 999.0 99.0 99.00
2011 01 01 21 50 999 99.0 99.0  0.48  7.69  3.75 111 1022.3  12.2  10.8 999.0 99.0 99.00
2011 01 01 22 50 999 99.0 99.0  0.47 10.00  3.56  88 1022.2  12.3  10.5 999.0 99.0 99.00
2011 01 01 23 50 999 99.0 99.0  0.48  8.33  3.58 130 1022.5  12.7  10.6 999.0 99.0 99.00
2011 01 02 00 50 999 99.0 99.0  0.54  3.33  3.55 155 1022.6  12.4  10.5 999.0 99.0 99.00
2011 01 02 01 50 999 99.0 99.0  0.58  2.94  3.46 180 1022.3  12.3  10.2 999.0 99.0 99.00
