YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
97 01 01 00 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
97 01 01 01  13 11.4 13.3  1.31  4.00  3.75   5 1021.2   9.1   9.7 999.0 99.0
97 01 01 02  14 13.6 16.1  1.77  4.55  4.13  18 1021.8   8.4   9.7 999.0 99.0
97 01 01 03  20 13.7 16.3  2.31  5.88  4.78  22 1022.7   8.4   9.8 999.0 99.0
97 01 01 04  23 12.8 15.0  2.24  6.25  4.88  18 1023.6   7.5   9.9 999.0 99.0
97 01 01 05  25 13.5 15.8  2.62  6.67  5.18  24 1023.9   6.8   9.9 999.0 99.0
97 01 01 06  25 13.0 15.8  2.85  7.14  5.44  16 1024.2   6.3  10.0 999.0 99.0
97 01 01 07  33 12.6 14.9  2.71  7.14  5.43  17 1024.6   6.1   9.9 999.0 99.0
97 01 01 08  42 10.0 12.6  2.54  7.69  5.22  23 1025.5   6.0   9.8 999.0 99.0
97 01 01 09  34  9.7 11.8  2.32  7.14  5.29  17 1025.4   6.1   9.9 999.0 99.0
97 01 01 10  41  8.2 10.3  2.30  7.14  5.18  23 1025.6   5.9  10.0 999.0 99.0
97 01 01 11  44  9.1 11.5  2.10  7.69  5.14  23 1025.7   5.8  10.1 999.0 99.0
97 01 01 12  37  8.9 10.4  2.07  7.69  5.24  26 1026.4   5.9  10.2 999.0 99.0
97 01 01 13  42  8.6 10.2  1.99  8.33  5.26  31 1026.7   5.8  10.3 999.0 99.0
97 01 01 14  49  7.8  9.4  2.01  8.33  5.17  31 1027.1   5.7  10.5 999.0 99.0
97 01 01 15  41  8.3  9.4  2.00  8.33  5.23  42 1027.1   5.3  10.4 999.0 99.0
97 01 01 16  62  6.2  7.8  2.08  8.33  5.57  42 1026.8   5.4  10.4 999.0 99.0
97 01 01 17  70  4.6  6.2  2.06  8.33  5.49  49 1026.5   5.4  10.4 999.0 99.0
97 01 01 18  68  6.3  7.6  1.93  8.33  5.58  54 1024.6   5.7  10.4 999.0 99.0
97 01 01 19  36  5.9  7.2  1.80  9.09  5.44  52 1023.6   6.0  10.4 999.0 99.0
97 01 01 20  35  6.6  7.8  1.66  8.33  5.46  50 1023.0   6.2  10.3 999.0 99.0
97 01 01 21  44  7.1  8.6  1.86  8.33  5.57  57 1022.3   6.5  10.3 999.0 99.0
97 01 01 22  55  6.5  8.0  1.96  8.33  5.67  56 1022.0   7.0  10.4 999.0 99.0
97 01 01 23  79  7.2  8.7  1.86  9.09  5.63  73 1021.3   7.6  10.3 999.0 99.0
97 01 02 00  86  7.4  8.7  1.96  8.33  5.93  61 1020.5   8.0  10.2 999.0 99.0
97 01 02 01  80  6.9  8.8  1.87  9.09  5.67  69 1020.1   8.4  10.1 999.0 99.0
97 01 02 02  88  5.0  6.3  1.54  8.33  5.18  52 1019.6   8.2  10.1 999.0 99.0
97 01 02 03  97  5.0  5.8  1.60  9.09  5.78  68 1018.8   8.8  10.1 999.0 99.0
97 01 02 04 111  3.1  3.9  1.58  8.33  5.96  58 1018.2   9.3  10.1 999.0 99.0
97 01 02 05  99  3.2  4.2  1.44  9.09  5.81  76 1016.8   9.9  10.1 999.0 99.0
97 01 02 06  77  1.9  2.5  1.32  8.33  5.74  67 1016.0  10.1  10.1 999.0 99.0
97 01 02 07  67  2.2  2.7  1.22  8.33  5.72  73 1014.6  10.0  10.1 999.0 99.0
97 01 02 08 329  4.7  7.8  1.37  9.09  6.17  87 1014.6  10.2  10.2 999.0 99.0
97 01 02 09 330  6.3  7.2  1.24 10.00  6.13  74 1014.3   9.5  10.2 999.0 99.0
97 01 02 10 328  6.1  7.2  1.26 10.00  5.87  86 1014.5   9.1  10.2 999.0 99.0
97 01 02 11 308  4.6  5.4  1.18 10.00  5.93 105 1014.4   8.3  10.1 999.0 99.0
97 01 02 12 284  4.4  5.7  1.18  9.09  5.76  72 1014.6   8.1  10.0 999.0 99.0
97 01 02 13 265  4.6  5.7  1.19 10.00  5.99  89 1015.0   8.3  10.0 999.0 99.0
97 01 02 14 241  4.6  5.9  1.21  9.09  6.15 108 1014.8   8.5  10.0 999.0 99.0
97 01 02 15 252  6.2  7.7  1.26  9.09  5.59  93 1014.8   8.5  10.0 999.0 99.0
97 01 02 16 237  6.8  8.2  1.27 10.00  5.42  87 1013.7   8.3  10.0 999.0 99.0
97 01 02 17 249  7.1  8.5  1.35 10.00  5.03  99 1012.9   8.2   9.9 999.0 99.0
97 01 02 18 257  6.8  8.3  1.29  9.09  5.02  98 1011.8   8.6   9.9 999.0 99.0
97 01 02 19 269  7.6  9.2  1.30 10.00  4.90  95 1011.5   8.5   9.9 999.0 99.0
97 01 02 20 268  5.9  7.0  1.27 10.00  4.63  90 1011.8   8.3   9.9 999.0 99.0
97 01 02 21 245  5.2  6.7  1.28  9.09  4.87 100 1011.8   8.2   9.9 999.0 99.0
