YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
88 01 01 01 216 11.0 15.0 02.60 06.70 05.20 999 1022.3  04.6  05.2 999.0 99.0
88 01 01 02 214 10.4 13.1 02.60 06.70 05.40 999 1021.2  05.5  05.2 999.0 99.0
88 01 01 03 221 10.4 13.5 02.80 06.70 05.60 999 1020.5  06.0  05.2 999.0 99.0
88 01 01 04 221 10.7 13.2 02.70 07.10 05.60 999 1020.1  05.9  05.2 999.0 99.0
88 01 01 05 226 10.3 13.5 02.60 07.10 05.40 999 1019.6  06.1  05.2 999.0 99.0
88 01 01 06 235 10.4 12.9 02.70 07.10 05.50 999 1019.3  06.3  05.2 999.0 99.0
88 01 01 07 238 09.0 11.9 02.50 07.10 05.40 999 1019.1  06.1  05.2 999.0 99.0
88 01 01 08 235 09.3 11.5 02.50 07.10 05.40 999 1018.7  06.1  05.3 999.0 99.0
88 01 01 09 231 08.8 11.0 02.10 06.70 05.00 999 1018.3  06.1  05.3 999.0 99.0
88 01 01 10 229 09.1 11.2 02.10 06.70 05.10 999 1018.1  06.1  05.3 999.0 99.0
88 01 01 11 229 09.6 12.0 02.40 06.70 05.50 999 1018.6  06.1  05.3 999.0 99.0
88 01 01 12 227 08.6 10.9 02.40 06.70 05.60 999 1018.5  05.7  05.3 999.0 99.0
88 01 01 13 209 07.2 09.2 02.40 06.70 05.50 999 1018.4  05.5  05.3 999.0 99.0
88 01 01 14 202 08.7 10.9 02.30 06.70 05.50 999 1018.0  05.6  05.3 999.0 99.0
88 01 01 15 214 09.2 12.5 02.40 07.10 05.50 999 1018.5  05.7  05.3 999.0 99.0
88 01 01 16 226 08.9 11.0 02.60 07.70 05.90 999 1018.5  05.9  05.3 999.0 99.0
88 01 01 17 229 10.2 13.2 02.50 08.30 05.60 999 1017.9  06.0  05.3 999.0 99.0
88 01 01 18 233 08.6 10.7 02.50 08.30 05.90 999 1017.2  05.9  05.3 999.0 99.0
88 01 01 19 233 07.8 10.0 02.40 10.00 05.70 999 1017.0  05.9  05.3 999.0 99.0
88 01 01 20 231 08.0 10.1 02.30 06.70 05.60 999 1017.2  06.0  05.3 999.0 99.0
88 01 01 21 229 06.8 08.7 02.00 06.20 05.20 999 1017.4  06.0  05.3 999.0 99.0
88 01 01 22 234 06.3 07.7 01.90 06.70 05.20 999 1017.2  06.2  05.3 999.0 99.0
88 01 01 23 232 07.0 08.8 02.00 06.20 05.50 999 1016.9  06.2  05.3 999.0 99.0
88 01 02 00 238 06.7 08.8 02.00 06.20 05.50 999 1017.2  06.2  05.3 999.0 99.0
88 01 02 01 246 08.1 10.0 01.90 06.20 05.10 999 1017.2  06.2  05.3 999.0 99.0
88 01 02 02 264 09.3 12.4 02.00 05.90 05.30 999 1017.3  06.1  05.3 999.0 99.0
88 01 02 03 272 11.4 14.2 02.10 06.20 05.20 999 1017.8  05.8  05.3 999.0 99.0
88 01 02 04 273 13.0 16.8 02.50 05.90 05.30 999 1018.7  04.8  05.3 999.0 99.0
88 01 02 05 269 12.3 15.9 02.80 06.20 05.60 999 1019.5  03.9  05.3 999.0 99.0
88 01 02 06 279 12.4 15.8 03.20 06.70 05.80 999 1020.1  03.4  05.5 999.0 99.0
88 01 02 07 274 13.1 16.4 03.40 07.70 06.20 999 1020.5  03.0  05.4 999.0 99.0
88 01 02 08 277 12.4 16.1 03.90 08.30 06.50 999 1021.4  02.6  05.3 999.0 99.0
88 01 02 09 277 11.7 15.4 03.50 07.70 06.30 999 1022.3  02.2  05.3 999.0 99.0
88 01 02 10 292 11.7 15.0 03.40 07.70 06.30 999 1023.1  01.6  05.3 999.0 99.0
88 01 02 11 293 10.7 13.6 03.20 08.30 06.30 999 1023.8  01.4  05.4 999.0 99.0
88 01 02 12 293 10.1 12.4 03.20 07.70 06.30 999 1025.0  01.0  05.4 999.0 99.0
88 01 02 13 295 10.1 13.5 03.10 08.30 06.30 999 1025.7  00.5  05.4 999.0 99.0
88 01 02 14 306 09.2 12.4 02.70 07.70 06.00 999 1027.4  00.2  05.3 999.0 99.0
88 01 02 15 296 08.2 11.6 02.60 07.70 05.80 999 1028.3  00.2  05.3 999.0 99.0
88 01 02 16 299 08.0 10.5 02.50 07.10 05.70 999 1028.6 -00.1  05.3 999.0 99.0
88 01 02 17 302 07.4 10.5 02.80 07.10 05.90 999 1028.1 -00.4  05.3 999.0 99.0
88 01 02 18 293 08.0 11.0 02.50 07.70 05.60 999 1028.4 -00.4  05.3 999.0 99.0
88 01 02 19 308 06.7 09.5 02.30 06.70 05.30 999 1028.6 -00.5  05.4 999.0 99.0
88 01 02 20 288 05.5 07.8 02.10 07.10 05.40 999 1029.2 -00.8  05.4 999.0 99.0
88 01 02 21 278 05.2 07.7 01.90 07.10 05.30 999 1030.1 -00.9  05.4 999.0 99.0
88 01 02 22 288 04.4 07.0 01.70 06.70 05.20 999 1030.7 -00.8  05.3 999.0 99.0
88 01 02 23 286 04.9 07.3 01.40 06.20 05.00 999 1031.0 -00.7  05.3 999.0 99.0
88 01 03 00 285 04.4 06.8 01.30 06.20 04.90 999 1031.7 -00.5  05.3 999.0 99.0
88 01 03 01 295 03.8 05.5 01.20 05.60 04.80 999 1031.9 -00.5  05.3 999.0 99.0
88 01 03 02 283 03.9 06.5 01.20 05.60 04.80 999 1031.8 -00.5  05.4 999.0 99.0
88 01 03 03 256 03.6 06.2 01.20 05.60 04.90 999 1032.0 -00.4  05.1 999.0 99.0
88 01 03 04 268 04.3 06.7 01.10 05.30 04.80 999 1032.3 -00.2  05.1 999.0 99.0
88 01 03 05 255 04.6 06.9 01.10 08.30 04.80 999 1032.3  00.1  05.1 999.0 99.0
