YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2003 02 05 14 320  4.7  5.8  0.00  0.00  0.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2003 02 05 15 326  4.6  5.7  0.00  0.00  0.00 999 1018.4 999.0 999.0 999.0 99.0 99.00
2003 02 05 16 333  5.5  7.0 99.00 99.00 99.00 999 1018.8 999.0 999.0 999.0 99.0 99.00
2003 02 05 17 325  5.2  6.9 99.00 99.00 99.00 999 1018.8 999.0 999.0 999.0 99.0 99.00
2003 02 05 18 306  5.5  7.5 99.00 99.00 99.00 999 1018.1 999.0 999.0 999.0 99.0 99.00
2003 02 05 19 327  4.7  6.8  0.00  0.00  0.00 999 1018.0 999.0 999.0 999.0 99.0 99.00
2003 02 05 20 358  4.7  6.3  0.00  0.00  0.00 999 1018.1 999.0 999.0 999.0 99.0 99.00
2003 02 05 21 339  6.6  7.8  0.00  0.00  0.00 999 1019.0 999.0 999.0 999.0 99.0 99.00
2003 02 05 22 339  4.4  5.8  0.00  0.00  0.00 999 1019.7 999.0 999.0 999.0 99.0 99.00
2003 02 05 23 336  2.7  3.7  0.00  0.00  0.00 999 1021.0 999.0 999.0 999.0 99.0 99.00
2003 02 06 00 346  1.7  2.3  0.00  0.00  0.00 999 1022.1 999.0 999.0 999.0 99.0 99.00
2003 02 06 01 350  3.2  4.1  0.00  0.00  0.00 999 1022.9 999.0 999.0 999.0 99.0 99.00
2003 02 06 02  35  3.3  4.5  0.00  0.00  0.00 999 1022.9 999.0 999.0 999.0 99.0 99.00
2003 02 06 03  37  2.9  3.7  0.00  0.00  0.00 999 1023.9 999.0 999.0 999.0 99.0 99.00
2003 02 06 04  29  2.6  4.1  0.00  0.00  0.00 999 1024.8 999.0 999.0 999.0 99.0 99.00
2003 02 06 05  31  2.2  3.6  0.00  0.00  0.00 999 1024.2 999.0 999.0 999.0 99.0 99.00
2003 02 06 06  40  3.7  5.0  0.00  0.00  0.00 999 1025.1 999.0 999.0 999.0 99.0 99.00
2003 02 06 07  42  3.8  5.0  0.00  0.00  0.00 999 1024.3 999.0 999.0 999.0 99.0 99.00
2003 02 06 08  39  3.2  4.7  0.00  0.00  0.00 999 1024.3 999.0 999.0 999.0 99.0 99.00
2003 02 06 09  31  3.7  5.0  0.00  0.00  0.00 999 1024.3 999.0 999.0 999.0 99.0 99.00
2003 02 06 10  20  3.9  4.7  0.00  0.00  0.00 999 1025.2 999.0 999.0 999.0 99.0 99.00
2003 02 06 11  37  4.0  5.4  0.00  0.00  0.00 999 1025.3 999.0 999.0 999.0 99.0 99.00
2003 02 06 12  29  4.8  5.8  0.00  0.00  0.00 999 1025.7 999.0 999.0 999.0 99.0 99.00
2003 02 06 13  18  5.4  6.6  0.00  0.00  0.00 999 1025.9 999.0 999.0 999.0 99.0 99.00
2003 02 06 14  26  6.8  8.1  0.00  0.00  0.00 999 1026.6 999.0 999.0 999.0 99.0 99.00
2003 02 06 15  34  7.6 10.9  0.00  0.00  0.00 999 1026.5 999.0 999.0 999.0 99.0 99.00
2003 02 06 16  40  8.8 11.7  0.00  0.00  0.00 999 1026.7 999.0 999.0 999.0 99.0 99.00
2003 02 06 17 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2003 02 06 18 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2003 02 06 19 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2003 02 06 20 288  0.2  0.7 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2003 02 06 21 224  0.2  1.3 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2003 02 06 22 213  0.1  0.6 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2003 02 06 23 999 99.0  0.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2003 02 07 00   0  0.0  0.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2003 02 07 01   0  0.0  0.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2003 02 07 02 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2003 02 07 03 999 99.0  0.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2003 02 07 04 999 99.0  0.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2003 02 07 05 999 99.0  0.1 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2003 02 07 06 999 99.0  0.2 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2003 02 07 07 999  0.0  0.2 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2003 02 07 08 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
