#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2008 01 03 02 00 348 11.5 14.4  2.64  6.67  5.47 999 1014.8  -4.2   5.9  -8.4 99.0 99.00
2008 01 03 03 00 358 11.8 14.6  2.83  7.14  5.73 999 1016.1  -5.5   5.9  -9.3 99.0 99.00
2008 01 03 04 00 348 12.1 15.3  3.04  7.14  5.86 999 1017.6  -6.3   5.9  -9.4 99.0 99.00
2008 01 03 05 00 335 11.7 14.3  3.31  7.69  5.99 999 1018.6  -7.1   5.9  -9.5 99.0 99.00
2008 01 03 06 00 340 11.5 15.0  3.54  7.69  6.16 999 1019.3  -7.4   5.9  -9.6 99.0 99.00
2008 01 03 07 00 343 11.8 15.4  3.69  7.69  6.40 999 1020.0  -7.5   5.9 -10.2 99.0 99.00
2008 01 03 08 00 339 11.8 14.5  3.48  7.69  6.22 999 1020.8  -7.7   5.9 -10.5 99.0 99.00
2008 01 03 09 00 346 12.4 15.9  3.41  7.69  6.31 999 1021.1  -7.8   5.9 -10.1 99.0 99.00
2008 01 03 10 00 335 12.5 15.1  3.50  7.69  6.18 999 1022.4  -8.3   5.9 -10.7 99.0 99.00
2008 01 03 11 00 340 12.5 15.9  3.12  7.69  6.01 999 1023.6  -8.0   5.9 -10.5 99.0 99.00
2008 01 03 12 00 346 13.0 17.0  3.62  7.69  6.29 999 1024.6  -8.0   5.9 -11.1 99.0 99.00
2008 01 03 13 00 339 12.0 15.1  3.15  7.69  5.99 999 1025.7  -8.6   5.9 -10.8 99.0 99.00
2008 01 03 14 00 342 12.0 15.9  3.32  8.33  6.07 999 1026.8  -8.7   5.8 -11.2 99.0 99.00
2008 01 03 15 00 341 11.4 14.1  3.53  7.69  6.30 999 1027.8  -9.1   5.8 -11.6 99.0 99.00
2008 01 03 16 00 337 11.1 14.2  3.28  7.69  6.17 999 1028.2  -9.5   5.8 -11.7 99.0 99.00
