YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
89 01 01 00 301 10.5 13.9 02.80 06.70 05.40 999 1017.1  03.6  06.2 999.0 99.0
89 01 01 01 322 09.4 13.0 02.70 06.70 05.30 999 1018.2  03.0  06.2 999.0 99.0
89 01 01 02 317 08.9 13.1 02.80 06.70 05.50 999 1019.8  02.5  06.2 999.0 99.0
89 01 01 03 334 08.4 11.7 02.60 07.10 05.30 999 1021.4  01.6  06.2 999.0 99.0
89 01 01 04 329 08.7 11.9 02.60 07.10 05.40 999 1021.8  01.0  06.1 999.0 99.0
89 01 01 05 344 08.4 11.7 02.80 07.10 05.70 999 1022.1  00.3  06.1 999.0 99.0
89 01 01 06 337 08.2 11.3 02.60 07.10 05.60 999 1023.1 -00.6  06.1 999.0 99.0
89 01 01 07 354 08.3 11.7 02.30 06.70 05.30 999 1024.1 -01.4  06.1 999.0 99.0
89 01 01 08 355 07.6 11.1 02.20 07.10 05.40 999 1025.0 -02.2  06.1 999.0 99.0
89 01 01 09 354 04.4 07.3 02.10 06.70 05.30 999 1025.6 -02.9  06.1 999.0 99.0
89 01 01 10 005 04.6 07.5 01.90 06.20 05.10 999 1026.7 -03.1  06.1 999.0 99.0
89 01 01 11 020 04.6 07.5 01.80 06.70 05.20 999 1027.8 -03.5  06.1 999.0 99.0
89 01 01 12 023 03.6 06.7 01.80 06.20 04.90 999 1029.1 -03.7  06.1 999.0 99.0
89 01 01 13 026 05.1 08.3 01.80 05.90 05.00 999 1029.2 -03.8  06.1 999.0 99.0
89 01 01 14 040 05.8 08.7 01.50 05.90 04.60 999 1029.3 -04.0  06.1 999.0 99.0
89 01 01 15 054 04.7 07.0 01.50 05.90 04.60 999 1030.1 -04.0  06.1 999.0 99.0
89 01 01 16 048 04.7 07.5 01.40 05.90 04.60 999 1029.2 -03.9  06.1 999.0 99.0
89 01 01 17 061 04.9 07.3 01.20 05.90 04.50 999 1028.0 -03.6  06.1 999.0 99.0
89 01 01 18 066 03.7 06.6 01.10 05.90 04.40 999 1027.5 -03.1  06.1 999.0 99.0
89 01 01 19 099 02.8 04.7 01.00 05.30 04.50 999 1027.4 -02.7  06.1 999.0 99.0
89 01 01 20 144 01.9 03.9 01.00 05.30 04.60 999 1027.6 -02.6  06.1 999.0 99.0
89 01 01 21 115 01.1 02.9 01.00 05.90 04.60 999 1028.0 -02.6  06.1 999.0 99.0
89 01 01 22 105 01.3 02.2 00.80 05.30 04.50 999 1027.8 -02.5  06.1 999.0 99.0
89 01 01 23 107 01.8 03.0 00.80 06.20 04.40 999 1027.5 -02.2  06.1 999.0 99.0
89 01 02 00 116 02.7 04.4 00.70 05.30 04.40 999 1027.3 -02.2  06.0 999.0 99.0
89 01 02 01 107 03.2 05.3 00.70 05.60 04.40 999 1027.0 -02.1  06.0 999.0 99.0
89 01 02 02 097 02.9 04.3 00.70 05.60 04.30 999 1026.8 -01.7  06.0 999.0 99.0
89 01 02 03 114 03.7 05.6 00.60 05.00 04.30 999 1026.5 -01.1  06.1 999.0 99.0
89 01 02 04 128 04.1 06.7 00.60 04.80 04.20 999 1025.9 -00.7  06.1 999.0 99.0
89 01 02 05 114 05.1 07.3 00.60 05.00 03.90 999 1024.7 -00.8  06.1 999.0 99.0
89 01 02 06 114 05.5 07.5 00.70 03.10 03.50 999 1023.8 -00.9  06.1 999.0 99.0
89 01 02 07 115 06.0 08.4 00.80 03.40 03.60 999 1023.5 -00.7  06.1 999.0 99.0
89 01 02 08 113 06.4 08.5 00.80 03.80 03.70 999 1022.5 -00.4  06.1 999.0 99.0
89 01 02 09 111 06.0 07.2 00.90 04.20 03.80 999 1021.7  00.0  06.0 999.0 99.0
89 01 02 10 104 06.7 08.5 01.00 04.30 03.80 999 1020.7  00.5  06.0 999.0 99.0
89 01 02 11 106 06.7 08.6 01.20 04.50 04.20 999 1019.8  01.0  06.1 999.0 99.0
89 01 02 12 114 07.0 09.0 01.40 04.80 04.30 999 1019.1  01.6  06.1 999.0 99.0
89 01 02 13 121 06.7 08.9 01.50 05.00 04.40 999 1018.2  02.2  06.0 999.0 99.0
89 01 02 14 125 07.2 09.3 01.50 05.60 04.60 999 1017.7  02.6  06.1 999.0 99.0
89 01 02 15 124 06.4 07.8 01.50 05.90 04.60 999 1017.5  03.1  06.1 999.0 99.0
89 01 02 16 118 05.6 07.5 01.70 05.90 04.90 999 1015.9  03.6  06.1 999.0 99.0
89 01 02 17 109 03.0 04.3 01.70 06.20 05.00 999 1014.4  04.1  06.2 999.0 99.0
89 01 02 18 172 06.7 07.9 01.50 06.20 05.00 999 1012.1  04.0  06.2 999.0 99.0
89 01 02 19 142 04.9 06.0 01.50 06.70 05.20 999 1011.9  03.4  06.2 999.0 99.0
89 01 02 20 129 05.4 06.7 01.60 06.70 05.20 999 1011.2  03.5  06.1 999.0 99.0
89 01 02 21 128 06.2 07.7 01.60 06.70 05.00 999 1010.5  03.4  06.1 999.0 99.0
89 01 02 22 138 05.4 07.1 01.70 06.70 05.10 999 1010.3  03.3  06.1 999.0 99.0
89 01 02 23 132 06.2 07.9 01.90 07.10 05.30 999 1009.5  03.4  06.1 999.0 99.0
89 01 03 00 147 05.1 06.3 02.00 07.10 05.50 999 1009.0  03.6  06.0 999.0 99.0
89 01 03 01 152 05.0 06.2 01.90 07.10 05.50 999 1008.3  03.7  06.0 999.0 99.0
89 01 03 02 154 05.1 06.0 01.90 07.10 05.70 999 1007.5  03.8  06.0 999.0 99.0
89 01 03 03 227 02.3 04.0 02.20 07.10 06.00 999 1007.2  04.0  06.0 999.0 99.0
89 01 03 04 281 06.9 09.0 01.80 07.10 05.90 999 1006.1  04.9  06.1 999.0 99.0
89 01 03 05 282 06.8 09.5 02.00 07.70 05.00 999 1005.2  04.7  06.1 999.0 99.0
89 01 03 06 281 07.3 10.1 02.10 07.70 05.20 999 1004.8  04.6  06.1 999.0 99.0
89 01 03 07 281 07.5 09.9 02.00 05.00 05.00 999 1004.8  04.7  06.1 999.0 99.0
89 01 03 08 294 07.9 10.5 02.00 08.30 05.10 999 1004.3  04.5  06.1 999.0 99.0
89 01 03 09 310 08.3 11.4 02.10 08.30 05.10 999 1003.8  04.2  06.0 999.0 99.0
89 01 03 10 327 06.6 09.5 02.10 07.70 05.30 999 1003.8  02.4  06.1 999.0 99.0
89 01 03 11 340 07.0 09.3 02.10 05.30 05.30 999 1003.6  02.3  06.0 999.0 99.0
89 01 03 12 327 05.3 07.5 02.30 09.10 05.80 999 1003.4  03.1  06.0 999.0 99.0
89 01 03 13 335 06.7 09.5 02.40 06.20 05.80 999 1003.6  02.2  06.0 999.0 99.0
89 01 03 14 315 08.2 12.1 02.30 06.70 05.20 999 1004.2  03.3  06.0 999.0 99.0
89 01 03 15 321 09.0 12.1 02.50 06.70 05.50 999 1004.6  03.7  06.0 999.0 99.0
89 01 03 16 348 09.1 12.1 02.40 06.70 05.40 999 1003.9  02.4  06.1 999.0 99.0
89 01 03 17 338 08.4 11.7 02.70 06.70 05.90 999 1003.7  02.8  06.1 999.0 99.0
89 01 03 18 331 07.7 10.4 02.40 06.70 05.60 999 1003.4  02.4  06.1 999.0 99.0
89 01 03 19 319 07.3 09.9 02.40 06.70 05.60 999 1003.6  02.0  06.1 999.0 99.0
89 01 03 20 311 06.5 09.5 02.40 07.10 05.60 999 1003.6  01.8  06.1 999.0 99.0
89 01 03 21 329 04.7 06.9 02.30 10.00 05.70 999 1003.7  01.5  06.1 999.0 99.0
89 01 03 22 329 04.5 06.5 02.30 05.90 05.70 999 1003.4  01.4  06.0 999.0 99.0
89 01 03 23 349 04.5 06.9 02.00 10.00 05.70 999 1003.2  01.0  06.0 999.0 99.0
89 01 04 00 359 03.8 06.3 02.10 09.10 05.90 999 1002.2  00.8  06.0 999.0 99.0
89 01 04 01 014 04.3 06.7 02.00 09.10 05.80 999 1002.0  00.5  06.2 999.0 99.0
89 01 04 02 021 03.7 06.2 02.20 10.00 06.20 999 1001.3  00.3  06.2 999.0 99.0
89 01 04 03 015 03.7 05.8 02.10 10.00 06.30 999 1000.8  00.0  06.2 999.0 99.0
89 01 04 04 016 03.3 05.9 02.00 10.00 06.50 999 1000.7  00.3  06.2 999.0 99.0
89 01 04 05 012 07.7 10.7 01.90 10.00 06.00 999 0999.4 -00.4  06.1 999.0 99.0
89 01 04 06 016 08.3 11.3 02.00 10.00 05.30 999 1000.1 -01.8  06.0 999.0 99.0
89 01 04 07 016 08.4 11.7 02.10 10.00 05.30 999 1000.4 -02.1  06.0 999.0 99.0
89 01 04 08 011 09.5 12.6 02.20 11.10 05.40 999 0999.4 -02.2  06.1 999.0 99.0
89 01 04 09 018 11.0 14.7 02.40 05.90 05.30 999 0998.3 -02.5  06.1 999.0 99.0
89 01 04 10 010 11.5 15.2 02.60 06.20 05.50 999 0998.1 -03.2  06.1 999.0 99.0
89 01 04 11 020 10.8 14.5 02.80 06.70 05.50 999 0999.7 -04.0  06.1 999.0 99.0
89 01 04 12 017 11.2 14.9 03.30 07.10 06.00 999 1000.7 -05.0  06.1 999.0 99.0
89 01 04 13 355 11.6 16.3 03.30 07.70 05.90 999 1001.1 -05.7  06.0 999.0 99.0
89 01 04 14 348 11.8 16.5 03.30 07.10 05.90 999 1001.1 -06.7  06.0 999.0 99.0
89 01 04 15 343 11.7 16.3 03.60 07.70 06.10 999 1001.6 -07.5  06.0 999.0 99.0
89 01 04 16 000 12.2 16.3 03.50 07.70 06.00 999 1001.0 -07.9  06.0 999.0 99.0
89 01 04 17 344 12.5 17.6 04.50 07.70 06.50 999 1000.6 -07.5  06.0 999.0 99.0
89 01 04 18 337 13.0 18.4 04.40 08.30 06.50 999 1000.2 -08.0  06.0 999.0 99.0
