YYYY MM DD hh  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2004 01 01 00 232  9.1 12.2  1.41  5.26  4.44 999 1014.1   5.7   6.8  -0.6 99.0 99.00
2004 01 01 01 215  9.8 12.6  1.56  5.56  4.45 999 1012.7   6.1   6.9   0.4 99.0 99.00
2004 01 01 02 212 10.9 99.0 99.00 99.00 99.00 999 1011.8   6.3   6.9   0.6 99.0 99.00
2004 01 01 03 230 13.6 17.5  1.92  5.56  4.61 999 1010.2   6.3   6.8  -0.1 99.0 99.00
2004 01 01 04 252 15.4 19.4  2.30  5.56  4.72 999 1009.0   6.3   6.9   0.9 99.0 99.00
2004 01 01 05 248 15.3 19.6  2.78  6.67  5.31 999 1007.9   6.5   6.9   0.6 99.0 99.00
2004 01 01 06 252 15.8 18.9  2.85  6.67  5.36 999 1008.5   6.4   6.9   0.4 99.0 99.00
2004 01 01 07 256 14.1 17.5  3.09  7.14  5.80 999 1009.7   6.3   6.9   0.1 99.0 99.00
2004 01 01 09 293 12.6 15.4  2.67  7.14  5.41 999 1011.3   5.1   6.9  -2.1 99.0 99.00
2004 01 01 10 289 14.1 17.1  2.38  7.14  5.16 999 1012.4   4.7   6.9  -2.5 99.0 99.00
2004 01 01 11 289 12.9 15.8  2.44  7.14  5.14 999 1014.2   4.4   6.8  -2.7 99.0 99.00
2004 01 01 12 283 12.2 15.5  2.61  5.88  5.29 999 1015.4   4.1   6.8  -3.0 99.0 99.00
2004 01 01 13 292 12.7 15.3  2.41  6.67  5.17 999 1016.9   4.1   6.8  -2.9 99.0 99.00
2004 01 01 14 287 11.3 13.6  2.23  6.25  5.02 999 1018.3   4.4   6.8  -3.1 99.0 99.00
2004 01 01 15 286 10.8 13.8  1.95  5.56  4.87 999 1019.4   4.4   6.8  -3.5 99.0 99.00
2004 01 01 16 287 10.8 13.4  1.96  5.88  4.84 999 1018.9   4.4   6.8  -3.0 99.0 99.00
2004 01 01 17 294 10.0 13.3  1.79  5.88  4.61 999 1018.6   4.4   6.8  -3.3 99.0 99.00
2004 01 01 18 300  9.7 11.7  1.74  5.88  4.60 999 1018.7   4.5   6.7  -2.7 99.0 99.00
2004 01 01 19 304  9.0 11.7  1.55  5.56  4.49 999 1019.5   4.7   6.8  -3.9 99.0 99.00
2004 01 01 20 304  8.1 10.1  1.39  5.00  4.32 999 1020.3   4.8   6.7  -3.9 99.0 99.00
2004 01 01 21 304  9.0 10.9  1.38  4.76  4.45 999 1020.4   4.7   6.7  -3.5 99.0 99.00
2004 01 01 22 321  9.7 11.4  1.60  4.76  4.42 999 1021.0   4.7   6.7  -3.7 99.0 99.00
2004 01 01 23 322  9.7 12.5  1.73  5.26  4.51 999 1021.6   4.4   6.7  -4.5 99.0 99.00
2004 01 02 00 335  8.5 10.4  1.73  5.56  4.57 999 1022.4   3.6   6.7  -2.5 99.0 99.00
2004 01 02 01 329  9.2 11.1  1.68  5.26  4.45 999 1023.4   2.9   6.8  -3.4 99.0 99.00
2004 01 02 02 320  9.3 11.5  1.70  5.26  4.55 999 1024.0   2.6   6.7  -4.3 99.0 99.00
2004 01 02 03 335 10.1 12.0  1.81  5.26  4.59 999 1023.9   2.1   6.7  -3.7 99.0 99.00
2004 01 02 04 331  8.6 10.8  1.57  5.26  4.41 999 1024.0   1.9   6.7  -5.1 99.0 99.00
2004 01 02 05 346  7.2  9.1 99.00 99.00 99.00 999 1023.8   1.4   6.7  -4.6 99.0 99.00
2004 01 02 06 343  7.7  9.4  1.39  4.76  4.24 999 1024.2   1.1   6.7  -4.6 99.0 99.00
