YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
97 01 01 00 341 12.8 16.4 99.00 99.00 99.00 999 1022.0  -6.1   5.8 999.0 99.0
97 01 01 01 345 14.0 17.2 99.00 99.00 99.00 999 1022.3  -6.1   5.8 999.0 99.0
97 01 01 02 343 14.7 18.9 99.00 99.00 99.00 999 1023.4  -7.0   5.8 999.0 99.0
97 01 01 03 353 14.6 18.0 99.00 99.00 99.00 999 1023.7  -6.9   5.9 999.0 99.0
97 01 01 04 347 15.2 18.8 99.00 99.00 99.00 999 1023.8  -7.4   5.9 999.0 99.0
97 01 01 05 345 13.2 16.4 99.00 99.00 99.00 999 1023.6  -7.0   5.9 999.0 99.0
97 01 01 06 337 14.0 17.8 99.00 99.00 99.00 999 1023.9 999.0   5.8 999.0 99.0
97 01 01 07 336 14.9 18.9 99.00 99.00 99.00 999 1024.2 999.0   5.9 999.0 99.0
97 01 01 08 339 14.1 17.5 99.00 99.00 99.00 999 1024.2 999.0   5.9 999.0 99.0
97 01 01 09 344 14.1 16.7 99.00 99.00 99.00 999 1024.2 999.0   5.9 999.0 99.0
97 01 01 10 346 13.4 15.8 99.00 99.00 99.00 999 1024.6 999.0   5.8 999.0 99.0
97 01 01 11 338 14.1 18.1 99.00 99.00 99.00 999 1024.9 999.0   5.8 999.0 99.0
97 01 01 12 344 13.1 17.1 99.00 99.00 99.00 999 1025.8 999.0   5.8 999.0 99.0
97 01 01 13 342 12.1 15.1 99.00 99.00 99.00 999 1026.6 999.0   5.8 999.0 99.0
97 01 01 14 329 11.2 15.5 99.00 99.00 99.00 999 1026.9 999.0   5.8 999.0 99.0
97 01 01 15 329 10.7 14.4 99.00 99.00 99.00 999 1026.8 999.0   5.8 999.0 99.0
97 01 01 16 329  9.0 13.3 99.00 99.00 99.00 999 1026.7 999.0   5.8 999.0 99.0
97 01 01 17 322  7.4  9.8 99.00 99.00 99.00 999 1025.2 999.0   5.8 999.0 99.0
97 01 01 18 324  7.7  9.6 99.00 99.00 99.00 999 1024.4 999.0   5.6 999.0 99.0
97 01 01 19 326  7.1  9.2 99.00 99.00 99.00 999 1023.6 999.0   5.6 999.0 99.0
97 01 01 20 319  8.4  9.9 99.00 99.00 99.00 999 1023.5 999.0   5.6 999.0 99.0
97 01 01 21 307  6.8  9.1 99.00 99.00 99.00 999 1023.5 999.0   5.6 999.0 99.0
97 01 01 22 269  5.1  7.2 99.00 99.00 99.00 999 1023.4 999.0   5.6 999.0 99.0
97 01 01 23 253  5.4  7.5 99.00 99.00 99.00 999 1023.4 999.0   5.6 999.0 99.0
97 01 02 00 262  6.8 10.0 99.00 99.00 99.00 999 1022.7 999.0   5.6 999.0 99.0
97 01 02 01 256  7.6 10.3 99.00 99.00 99.00 999 1022.5 999.0   5.6 999.0 99.0
97 01 02 02 238  7.0  8.8 99.00 99.00 99.00 999 1021.1 999.0   5.6 999.0 99.0
97 01 02 03 234  8.4 10.1 99.00 99.00 99.00 999 1019.6 999.0   5.6 999.0 99.0
97 01 02 04 235  7.1  9.5 99.00 99.00 99.00 999 1018.9 999.0   5.6 999.0 99.0
97 01 02 05 228  9.0 12.0 99.00 99.00 99.00 999 1018.3 999.0   5.6 999.0 99.0
97 01 02 06 214  9.5 11.5 99.00 99.00 99.00 999 1017.2 999.0   5.6 999.0 99.0
97 01 02 07 213  9.1 10.9 99.00 99.00 99.00 999 1015.7 999.0   5.6 999.0 99.0
97 01 02 08 207  9.9 11.9 99.00 99.00 99.00 999 1014.5 999.0   5.6 999.0 99.0
97 01 02 09 202 10.0 11.8 99.00 99.00 99.00 999 1013.3 999.0   5.6 999.0 99.0
97 01 02 10 198 10.7 12.7 99.00 99.00 99.00 999 1011.9 999.0   5.6 999.0 99.0
97 01 02 11 212  9.6 11.5 99.00 99.00 99.00 999 1011.1 999.0   5.6 999.0 99.0
97 01 02 12 206  9.5 11.4 99.00 99.00 99.00 999 1010.3 999.0   5.6 999.0 99.0
97 01 02 13 213  8.3 10.3 99.00 99.00 99.00 999 1009.6 999.0   5.8 999.0 99.0
97 01 02 14 227 10.1 11.9 99.00 99.00 99.00 999 1008.8 999.0   5.6 999.0 99.0
97 01 02 15 230  9.6 12.2 99.00 99.00 99.00 999 1007.9 999.0   5.8 999.0 99.0
97 01 02 16 234  8.7 10.7 99.00 99.00 99.00 999 1007.0 999.0   5.8 999.0 99.0
97 01 02 17 246  8.2  9.8 99.00 99.00 99.00 999 1005.6 999.0   5.8 999.0 99.0
97 01 02 18 261  7.5  9.7 99.00 99.00 99.00 999 1004.9 999.0   5.8 999.0 99.0
97 01 02 19 278  5.9  7.1 99.00 99.00 99.00 999 1004.8 999.0   5.8 999.0 99.0
97 01 02 20 292  5.8  7.1 99.00 99.00 99.00 999 1004.6 999.0   5.8 999.0 99.0
97 01 02 21 305  6.2  7.6 99.00 99.00 99.00 999 1004.8 999.0   5.8 999.0 99.0
97 01 02 22 321  6.2  7.6 99.00 99.00 99.00 999 1005.4 999.0   5.8 999.0 99.0
97 01 02 23 329  5.7  6.9 99.00 99.00 99.00 999 1005.6 999.0   5.8 999.0 99.0
97 01 03 00 347  5.0  6.3 99.00 99.00 99.00 999 1005.6 999.0   5.8 999.0 99.0
97 01 03 01 354  4.0  4.9 99.00 99.00 99.00 999 1005.9 999.0   5.8 999.0 99.0
97 01 03 02 353  4.8  6.3 99.00 99.00 99.00 999 1006.3 999.0   5.8 999.0 99.0
97 01 03 03  25  6.0  7.4 99.00 99.00 99.00 999 1006.3 999.0   5.8 999.0 99.0
97 01 03 04  43  2.7  3.8 99.00 99.00 99.00 999 1006.4 999.0   5.8 999.0 99.0
97 01 03 05  38  3.2  4.4 99.00 99.00 99.00 999 1005.7 999.0   5.8 999.0 99.0
97 01 03 06  61  3.9  5.1 99.00 99.00 99.00 999 1005.5 999.0   5.8 999.0 99.0
97 01 03 07  89  4.1  5.5 99.00 99.00 99.00 999 1005.1 999.0   5.8 999.0 99.0
97 01 03 08 101  2.9  4.4 99.00 99.00 99.00 999 1005.4 999.0   5.8 999.0 99.0
97 01 03 09 120  4.3  5.4 99.00 99.00 99.00 999 1004.1 999.0   5.8 999.0 99.0
97 01 03 10 146  4.3  5.4 99.00 99.00 99.00 999 1003.3 999.0   5.8 999.0 99.0
97 01 03 11 165  5.0  5.8 99.00 99.00 99.00 999 1002.9 999.0   5.9 999.0 99.0
97 01 03 12 168  5.2  6.9 99.00 99.00 99.00 999 1002.3 999.0   5.9 999.0 99.0
97 01 03 13 172  3.7  5.0 99.00 99.00 99.00 999 1002.8 999.0   5.9 999.0 99.0
97 01 03 14 143  4.2  5.1 99.00 99.00 99.00 999 1002.3 999.0   5.9 999.0 99.0
97 01 03 15 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
97 01 03 16 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
97 01 03 17  96  5.8  6.6 99.00 99.00 99.00 999 1000.0 999.0   5.8 999.0 99.0
97 01 03 18  59  6.0  6.9 99.00 99.00 99.00 999 1000.0 999.0   5.8 999.0 99.0
97 01 03 19  52  6.2  7.1 99.00 99.00 99.00 999 1000.6 999.0   5.8 999.0 99.0
97 01 03 20  60  7.5  9.0 99.00 99.00 99.00 999 1001.0 999.0   5.9 999.0 99.0
97 01 03 21  69  6.5  7.8 99.00 99.00 99.00 999 1002.0 999.0   5.9 999.0 99.0
97 01 03 22  40  5.0  5.9 99.00 99.00 99.00 999 1003.6 999.0   5.9 999.0 99.0
97 01 03 23  47  6.1  7.2 99.00 99.00 99.00 999 1003.9 999.0   5.9 999.0 99.0
97 01 04 00  50  4.7  5.8 99.00 99.00 99.00 999 1005.5 999.0   5.9 999.0 99.0
97 01 04 01  53  4.5  5.3 99.00 99.00 99.00 999 1006.4 999.0   5.9 999.0 99.0
97 01 04 02  49  3.3  4.1 99.00 99.00 99.00 999 1007.4 999.0   5.9 999.0 99.0
97 01 04 03  56  3.1  4.1 99.00 99.00 99.00 999 1007.9 999.0   5.8 999.0 99.0
97 01 04 04  54  3.0  3.9 99.00 99.00 99.00 999 1008.7 999.0   5.8 999.0 99.0
97 01 04 05  55  2.9  4.0 99.00 99.00 99.00 999 1009.1 999.0   5.8 999.0 99.0
97 01 04 06  32  2.4  3.4 99.00 99.00 99.00 999 1009.5 999.0   5.8 999.0 99.0
97 01 04 07  23  1.3  2.4 99.00 99.00 99.00 999 1010.3 999.0   5.8 999.0 99.0
97 01 04 08  35  2.4  3.3 99.00 99.00 99.00 999 1011.0 999.0   5.6 999.0 99.0
97 01 04 09  73   .8  1.8 99.00 99.00 99.00 999 1011.7 999.0   5.8 999.0 99.0
97 01 04 10  11   .9  1.5 99.00 99.00 99.00 999 1011.8 999.0   5.8 999.0 99.0
97 01 04 11  14   .4  1.4 99.00 99.00 99.00 999 1012.7 999.0   5.8 999.0 99.0
97 01 04 12 301  1.0  1.5 99.00 99.00 99.00 999 1013.5 999.0   5.8 999.0 99.0
97 01 04 13 356  4.3  5.1 99.00 99.00 99.00 999 1014.2 999.0   5.8 999.0 99.0
97 01 04 14 360  4.5  5.6 99.00 99.00 99.00 999 1014.5 999.0   5.8 999.0 99.0
97 01 04 15 356  3.8  4.4 99.00 99.00 99.00 999 1015.7 999.0   5.8 999.0 99.0
97 01 04 16 330  1.8  2.6 99.00 99.00 99.00 999 1016.3 999.0   5.6 999.0 99.0
97 01 04 17 320  3.2  3.9 99.00 99.00 99.00 999 1015.8 999.0   5.6 999.0 99.0
97 01 04 18 345  3.8  4.6 99.00 99.00 99.00 999 1015.8 999.0   5.6 999.0 99.0
97 01 04 19 352  4.8  5.8 99.00 99.00 99.00 999 1015.8 999.0   5.8 999.0 99.0
97 01 04 20  13  3.7  4.9 99.00 99.00 99.00 999 1015.7 999.0   5.8 999.0 99.0
97 01 04 21  15  3.1  3.8 99.00 99.00 99.00 999 1016.5 999.0   5.8 999.0 99.0
97 01 04 22  42  3.1  4.3 99.00 99.00 99.00 999 1016.5 999.0   5.8 999.0 99.0
97 01 04 23  65  2.5  3.5 99.00 99.00 99.00 999 1017.2 999.0   5.8 999.0 99.0
97 01 05 00  72  3.0  3.9 99.00 99.00 99.00 999 1017.3 999.0   5.6 999.0 99.0
97 01 05 01  86  3.0  4.0 99.00 99.00 99.00 999 1017.5 999.0   5.8 999.0 99.0
97 01 05 02 101  2.9  4.1 99.00 99.00 99.00 999 1017.3 999.0   5.8 999.0 99.0
97 01 05 03  97  4.2  5.1 99.00 99.00 99.00 999 1017.2 999.0   5.8 999.0 99.0
97 01 05 04 109  4.8  5.8 99.00 99.00 99.00 999 1016.6 999.0   5.8 999.0 99.0
97 01 05 05 116  5.6  6.7 99.00 99.00 99.00 999 1015.8 999.0   5.6 999.0 99.0
97 01 05 06 123  5.7  6.8 99.00 99.00 99.00 999 1015.6 999.0   5.6 999.0 99.0
97 01 05 07 119  6.5  7.5 99.00 99.00 99.00 999 1015.0 999.0   5.8 999.0 99.0
97 01 05 08 112  7.1  8.3 99.00 99.00 99.00 999 1014.2 999.0   5.8 999.0 99.0
97 01 05 09 120  9.1 10.7 99.00 99.00 99.00 999 1012.7 999.0   5.8 999.0 99.0
97 01 05 10 118  9.2 10.8 99.00 99.00 99.00 999 1011.9 999.0   5.6 999.0 99.0
97 01 05 11 127  9.4 10.8 99.00 99.00 99.00 999 1011.4 999.0   5.8 999.0 99.0
97 01 05 12 117  7.5  9.6 99.00 99.00 99.00 999 1010.7 999.0   5.8 999.0 99.0
97 01 05 13 121  6.5  7.6 99.00 99.00 99.00 999 1010.2 999.0   5.6 999.0 99.0
97 01 05 14 128  7.4  8.8 99.00 99.00 99.00 999 1009.4 999.0   5.6 999.0 99.0
97 01 05 15 123  8.0  9.4 99.00 99.00 99.00 999 1008.5 999.0   5.6 999.0 99.0
97 01 05 16 128  8.6 10.1 99.00 99.00 99.00 999 1006.6 999.0   5.6 999.0 99.0
97 01 05 17 130  9.4 11.2 99.00 99.00 99.00 999 1004.9 999.0   5.6 999.0 99.0
97 01 05 18 145  7.7  9.2 99.00 99.00 99.00 999 1003.4 999.0   5.6 999.0 99.0
97 01 05 19 144  5.1  6.4 99.00 99.00 99.00 999 1002.4 999.0   5.8 999.0 99.0
97 01 05 20 174  6.2  8.2 99.00 99.00 99.00 999 1000.9 999.0   5.8 999.0 99.0
97 01 05 21 166  9.3 11.1 99.00 99.00 99.00 999  998.6 999.0   5.8 999.0 99.0
97 01 05 22 174  9.2 10.4 99.00 99.00 99.00 999  997.6 999.0   5.8 999.0 99.0
97 01 05 23 172 10.1 11.5 99.00 99.00 99.00 999  996.1 999.0   5.8 999.0 99.0
97 01 06 00 194  9.8 11.5 99.00 99.00 99.00 999  995.9 999.0   5.9 999.0 99.0
97 01 06 01 206 10.0 12.3 99.00 99.00 99.00 999  995.1 999.0   5.8 999.0 99.0
97 01 06 02 217  8.9 10.7 99.00 99.00 99.00 999  994.4 999.0   5.8 999.0 99.0
97 01 06 03 224  8.8 10.1 99.00 99.00 99.00 999  994.3 999.0   5.8 999.0 99.0
97 01 06 04 236  6.4  7.1 99.00 99.00 99.00 999  994.4 999.0   5.8 999.0 99.0
97 01 06 05 264  5.3  6.4 99.00 99.00 99.00 999  994.4 999.0   5.8 999.0 99.0
