#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2009 12 31 23 50  66  1.8  2.5  0.92  4.17  4.07 999 9999.0   2.0   7.4 999.0 99.0 99.00
2010 01 01 00 50  78  2.5  3.2  0.90  4.35  4.21 999 9999.0   2.5   7.4 999.0 99.0 99.00
2010 01 01 01 50  88  2.8  3.9  0.82  4.76  4.23 999 9999.0   3.2   7.4 999.0 99.0 99.00
2010 01 01 02 50 105  1.6  2.3  0.94  4.76  4.45 999 9999.0   4.0   7.4 999.0 99.0 99.00
2010 01 01 03 50 146  1.6  5.0  0.99  4.76  4.52 999 9999.0   4.7   7.4 999.0 99.0 99.00
2010 01 01 04 50 194  4.9  6.4  1.12  4.76  4.20 999 9999.0   5.6   7.4 999.0 99.0 99.00
2010 01 01 05 50 295  2.0  2.9  1.09  5.00  4.36 999 9999.0   4.8   7.4 999.0 99.0 99.00
2010 01 01 06 50 281  2.7  3.5  1.21  5.00  4.48 999 9999.0   4.6   7.4 999.0 99.0 99.00
2010 01 01 07 50 273  2.2  3.0  1.34  5.56  4.76 999 9999.0   4.7   7.4 999.0 99.0 99.00
2010 01 01 08 50 167  1.2  5.1  1.57  6.25  4.79 999 9999.0   5.0   7.4 999.0 99.0 99.00
2010 01 01 09 50 196  1.9  4.1  1.69  6.25  4.79 999 9999.0   5.2   7.4 999.0 99.0 99.00
2010 01 01 10 50 292  4.4  5.4  2.01  6.67  5.14 999 9999.0   4.3   7.4 999.0 99.0 99.00
2010 01 01 11 50 311  4.9  6.0  1.96  6.67  5.37 999 9999.0   4.2   7.4 999.0 99.0 99.00
2010 01 01 12 50 313  4.8  5.8  2.01  7.14  5.47 999 9999.0   4.1   7.4 999.0 99.0 99.00
2010 01 01 13 50  96  2.5  4.1  2.25  7.14  5.63 999 9999.0   4.8   7.4 999.0 99.0 99.00
2010 01 01 14 50  97  7.1  8.5  2.33  7.69  5.85 999 9999.0   4.5   7.4 999.0 99.0 99.00
2010 01 01 15 50  85  8.4  9.8  2.33  7.69  5.59 999 9999.0   4.0   7.4 999.0 99.0 99.00
2010 01 01 16 50  78  8.7 10.4  2.47  8.33  5.67 999 9999.0   3.3   7.4 999.0 99.0 99.00
2010 01 01 17 50  72  7.8  9.9  2.48  8.33  5.74 999 9999.0   3.4   7.4 999.0 99.0 99.00
2010 01 01 18 50  80  7.9 10.4  2.53  8.33  5.80 999 9999.0   3.2   7.4 999.0 99.0 99.00
2010 01 01 19 50  74  8.6 10.4  2.53  8.33  6.03 999 9999.0   3.3   7.4 999.0 99.0 99.00
2010 01 01 20 50  78  8.7 10.3  2.59  8.33  5.92 999 9999.0   2.9   7.4 999.0 99.0 99.00
2010 01 01 21 50  85  8.6 10.0  2.32  8.33  5.60 999 9999.0   2.8   7.4 999.0 99.0 99.00
2010 01 01 22 50  72  8.1  9.9  2.37  7.69  5.57 999 9999.0   3.2   7.4 999.0 99.0 99.00
2010 01 01 23 50  66  8.0  9.5  2.63  8.33  5.85 999 9999.0   3.1   7.4 999.0 99.0 99.00
2010 01 02 00 50  56  8.7 10.8  2.29  8.33  5.78 999 9999.0   2.8   7.4 999.0 99.0 99.00
2010 01 02 01 50  60  9.7 11.8  2.28  9.09  5.53 999 9999.0   2.7   7.4 999.0 99.0 99.00
2010 01 02 02 50  46  9.5 11.7  2.44  7.69  5.63 999 9999.0   2.5   7.4 999.0 99.0 99.00
2010 01 02 03 50  56  9.1 11.6  2.68  9.09  5.75 999 9999.0   2.4   7.4 999.0 99.0 99.00
2010 01 02 04 50  37  9.7 13.3  2.40  7.14  5.25 999 9999.0   2.1   7.4 999.0 99.0 99.00
2010 01 02 05 50  30 11.9 14.5  2.79  9.09  5.63 999 9999.0   1.5   7.4 999.0 99.0 99.00
