YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
78 12 16 12 267 11.2 99.0 01.70 99.00 04.30 999 1017.5  07.2 999.0 999.0 99.0
78 12 16 13 278 09.0 99.0 99.00 99.00 99.00 999 1018.0  07.1 999.0 999.0 99.0
78 12 16 14 276 08.9 99.0 99.00 99.00 99.00 999 1018.9  07.0 999.0 999.0 99.0
78 12 16 15 273 07.7 99.0 01.50 99.00 05.50 999 1019.9  06.8 999.0 999.0 99.0
78 12 16 16 268 08.3 99.0 99.00 99.00 99.00 999 1020.0  06.9 999.0 999.0 99.0
78 12 16 17 263 08.2 99.0 99.00 99.00 99.00 999 1019.8  06.7 999.0 999.0 99.0
78 12 16 18 266 07.0 99.0 01.40 99.00 05.50 999 1019.8  06.7 999.0 999.0 99.0
78 12 16 19 262 06.9 99.0 99.00 99.00 99.00 999 1019.9  06.5 999.0 999.0 99.0
78 12 16 20 255 06.7 99.0 99.00 99.00 99.00 999 1020.4  06.5 999.0 999.0 99.0
78 12 16 21 248 05.7 99.0 01.60 99.00 06.00 999 1020.8  06.5 999.0 999.0 99.0
78 12 16 22 264 05.2 99.0 99.00 99.00 99.00 999 1020.6  06.3 999.0 999.0 99.0
78 12 16 23 253 04.7 99.0 99.00 99.00 99.00 999 1020.7  06.2 999.0 999.0 99.0
78 12 17 00 237 04.5 99.0 01.20 99.00 05.90 999 1021.2  06.2 999.0 999.0 99.0
78 12 17 01 218 04.2 99.0 99.00 99.00 99.00 999 1020.8  06.0 999.0 999.0 99.0
78 12 17 02 206 04.7 99.0 99.00 99.00 99.00 999 1020.2  06.3 999.0 999.0 99.0
78 12 17 03 184 04.7 99.0 01.00 99.00 06.00 999 1019.0  06.6 999.0 999.0 99.0
78 12 17 04 168 05.2 99.0 99.00 99.00 99.00 999 1018.3  06.8 999.0 999.0 99.0
78 12 17 05 167 06.9 99.0 99.00 99.00 99.00 999 1017.2  06.9 999.0 999.0 99.0
78 12 17 06 164 07.1 99.0 00.90 99.00 05.90 999 1015.7  07.1 999.0 999.0 99.0
78 12 17 07 156 07.7 99.0 99.00 99.00 99.00 999 1014.3  07.3 999.0 999.0 99.0
78 12 17 08 162 08.5 99.0 99.00 99.00 99.00 999 1013.1  07.6 999.0 999.0 99.0
78 12 17 09 159 09.2 99.0 01.10 99.00 05.20 999 1011.2  07.7 999.0 999.0 99.0
78 12 17 10 143 10.5 99.0 99.00 99.00 99.00 999 1008.0  07.8 999.0 999.0 99.0
78 12 17 11 146 10.8 99.0 99.00 99.00 99.00 999 1005.5  08.2 999.0 999.0 99.0
78 12 17 12 154 10.8 99.0 01.40 99.00 04.80 999 1002.7  08.1 999.0 999.0 99.0
78 12 17 13 171 12.2 99.0 99.00 99.00 99.00 999 1001.2  08.4 999.0 999.0 99.0
78 12 17 14 182 12.0 99.0 99.00 99.00 99.00 999 0999.3  08.0 999.0 999.0 99.0
78 12 17 15 179 10.5 99.0 01.70 99.00 05.00 999 0996.8  07.9 999.0 999.0 99.0
78 12 17 16 195 07.2 99.0 99.00 99.00 99.00 999 0993.7  07.8 999.0 999.0 99.0
78 12 17 17 271 13.2 99.0 99.00 99.00 99.00 999 0992.5  06.5 999.0 999.0 99.0
78 12 17 18 276 14.9 99.0 01.60 99.00 04.70 999 0992.1  06.4 999.0 999.0 99.0
78 12 17 19 274 15.4 99.0 99.00 99.00 99.00 999 0991.9  06.3 999.0 999.0 99.0
78 12 17 20 273 15.4 99.0 99.00 99.00 99.00 999 0992.3  06.4 999.0 999.0 99.0
78 12 17 21 265 17.1 99.0 03.00 99.00 06.20 999 0992.4  06.2 999.0 999.0 99.0
78 12 17 22 270 17.0 99.0 99.00 99.00 99.00 999 0992.7  05.6 999.0 999.0 99.0
78 12 17 23 275 16.2 99.0 99.00 99.00 99.00 999 0992.6  05.5 999.0 999.0 99.0
78 12 18 00 285 16.8 99.0 03.70 99.00 06.90 999 0992.6  05.3 999.0 999.0 99.0
78 12 18 01 277 17.6 99.0 99.00 99.00 99.00 999 0992.5  04.8 999.0 999.0 99.0
78 12 18 02 274 18.2 99.0 99.00 99.00 99.00 999 0992.1  04.1 999.0 999.0 99.0
78 12 18 03 272 18.1 99.0 03.90 99.00 07.10 999 0992.6  03.5 999.0 999.0 99.0
78 12 18 04 271 19.3 99.0 99.00 99.00 99.00 999 0992.9  02.7 999.0 999.0 99.0
78 12 18 05 281 18.7 99.0 99.00 99.00 99.00 999 0992.3  01.8 999.0 999.0 99.0
