#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2014 12 31 23 50 282  7.5 12.5  1.38  5.56  4.21 999 1021.8  -2.2   8.4 999.0 99.0 99.00
2015 01 01 00 50 284  7.9 10.3  1.24  5.26  4.32 999 1021.4  -2.0   8.4 999.0 99.0 99.00
2015 01 01 01 50 276  8.4 11.5  1.18  5.26  4.16 999 1021.0  -1.8   8.4 999.0 99.0 99.00
2015 01 01 02 50 253  5.8 99.0 99.00 99.00 99.00 999 1020.6  -2.0 999.0 999.0 99.0 99.00
2015 01 01 03 50 249  9.0 12.8  0.96  5.00  3.84 999 1019.9  -1.7   8.4 999.0 99.0 99.00
2015 01 01 04 50 261  9.0 12.3  1.10  4.76  3.80 999 1018.9  -1.4   8.3 999.0 99.0 99.00
2015 01 01 05 50 247  9.2 12.1  1.25  4.76  4.04 999 1018.1  -1.8   8.3 999.0 99.0 99.00
2015 01 01 06 50 244  8.2 12.3  1.23  5.00  4.11 999 1016.8  -1.2   8.3 999.0 99.0 99.00
2015 01 01 07 50 236 10.1 13.4  1.26  5.00  4.13 999 1015.8  -1.7   8.3 999.0 99.0 99.00
2015 01 01 08 50 251  8.3 11.0  1.27  5.00  4.06 999 1015.1  -2.1   8.4 999.0 99.0 99.00
2015 01 01 09 50 250 10.9 14.0  1.45  5.26  4.26 999 1014.2  -1.2   8.4 999.0 99.0 99.00
2015 01 01 10 50 267 10.4 12.7  1.74  5.56  4.49 999 1014.0  -1.1   8.4 999.0 99.0 99.00
2015 01 01 11 50 268 12.2 16.0  1.89  5.56  4.66 999 1014.2  -0.8   8.4 999.0 99.0 99.00
2015 01 01 12 50 273 12.3 15.2  2.04  5.56  4.82 999 1014.8  -1.1   8.4 999.0 99.0 99.00
2015 01 01 13 50 277 11.0 13.6 99.00 99.00 99.00 999 1015.2  -1.2   8.4 999.0 99.0 99.00
2015 01 01 14 50 261 12.2 15.7  2.13  6.25  4.99 999 1015.7  -0.9   8.4 999.0 99.0 99.00
2015 01 01 15 50 265 11.0 14.0  2.11  6.67  4.97 999 1014.3  -0.6   8.4 999.0 99.0 99.00
2015 01 01 16 50 258 10.2 12.7  2.12  5.88  5.04 999 1013.4  -0.8   8.4 999.0 99.0 99.00
2015 01 01 17 50 253 11.3 14.3  2.00  7.14  4.93 999 1013.5  -0.3   8.4 999.0 99.0 99.00
2015 01 01 18 50 252 10.3 12.6 99.00 99.00 99.00 999 1013.3  -0.2   8.4 999.0 99.0 99.00
2015 01 01 19 50 241 10.9 14.3  1.85  7.14  4.86 999 1012.9   0.3   8.4 999.0 99.0 99.00
2015 01 01 20 50 228 10.1 13.4  1.70  6.67  4.61 999 1012.2   0.8   8.3 999.0 99.0 99.00
2015 01 01 21 50 227  9.7 13.0  1.99  6.67  4.97 999 1011.8   1.3   8.4 999.0 99.0 99.00
2015 01 01 22 50 217  9.4 12.4  1.81  6.67  4.93 999 1011.5   1.6   8.4 999.0 99.0 99.00
2015 01 01 23 50 221 12.0 14.9 99.00 99.00 99.00 999 1010.8   2.4   8.4 999.0 99.0 99.00
