YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
1999 01 01 00 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
1999 01 01 01 256  3.6  5.5  1.24  5.00  4.78 999 1017.4  -4.3   5.6 999.0 99.0
1999 01 01 02 243  2.6  5.1  1.15 10.00  5.35 999 1016.7  -4.0   5.6 999.0 99.0
1999 01 01 03 242  2.5  4.2  1.23 11.11  5.78 999 1015.9  -4.0   5.6 999.0 99.0
1999 01 01 04 193  2.5  3.9  1.24 11.11  6.10 999 1015.6  -3.5   5.7 999.0 99.0
1999 01 01 05 197  3.0  6.1  1.28  9.09  6.34 999 1015.1  -3.3   5.8 999.0 99.0
1999 01 01 06 215  4.4  7.2  1.30 11.11  6.27 999 1014.8  -4.1   5.8 999.0 99.0
1999 01 01 07 225  3.7  6.0  1.29 12.50  6.39 999 1014.8  -3.4   5.8 999.0 99.0
1999 01 01 08 191  7.2  9.2  1.23 11.11  6.01 999 1014.2  -2.6   5.8 999.0 99.0
1999 01 01 09 193  5.6  7.8  1.26 12.50  5.41 999 1013.5  -2.9   5.8 999.0 99.0
1999 01 01 10 228  9.7 11.7 99.00 99.00 99.00 999 1013.0  -2.8   5.8 999.0 99.0
1999 01 01 11 229  9.7 12.3 99.00 99.00 99.00 999 1012.5  -1.6   5.8 999.0 99.0
1999 01 01 12 247 10.0 12.9  1.54  4.35  4.49 999 1011.9  -1.8   5.8 999.0 99.0
1999 01 01 13 247  9.7 12.1  1.63  4.76  4.55 999 1011.8  -1.6   5.8 999.0 99.0
1999 01 01 14 237 10.7 14.9  1.84  5.00  4.99 999 1011.7  -1.5   5.8 999.0 99.0
1999 01 01 15 258 11.2 13.5  2.05  5.56  4.89 999 1012.0  -1.9   5.8 999.0 99.0
1999 01 01 16 249 13.1 17.0  2.18  5.56  5.01 999 1011.7  -1.9   5.8 999.0 99.0
1999 01 01 17 259 13.3 17.7  2.34  6.25  5.11 999 1011.7  -2.3   5.8 999.0 99.0
1999 01 01 18 258 13.6 16.5  2.53  6.67  5.28 999 1012.0  -2.6   5.8 999.0 99.0
1999 01 01 19 261 13.4 16.9  2.49  7.14  5.35 999 1012.7  -2.2   5.9 999.0 99.0
1999 01 01 20 272 15.9 19.3  2.75  7.69  5.32 999 1013.3  -1.8   5.9 999.0 99.0
1999 01 01 21 275 16.6 20.4  2.87  7.69  5.46 999 1015.0  -3.0   5.8 999.0 99.0
1999 01 01 22 274 17.4 22.1 99.00 99.00 99.00 999 1016.8  -3.8   5.8 999.0 99.0
1999 01 01 23 283 15.7 19.8  3.39  7.69  5.79 999 1018.8  -5.0   5.8 999.0 99.0
1999 01 02 00 283 17.0 22.4  4.01  8.33  6.36 999 1020.7  -6.4   5.8 999.0 99.0
1999 01 02 01 292 15.7 20.4  3.59  8.33  6.22 999 1022.1  -7.9   5.8 999.0 99.0
1999 01 02 02 287 14.4 17.9  3.71  8.33  6.24 999 1024.1  -9.2   5.8 999.0 99.0
1999 01 02 03 303 14.9 18.9 99.00 99.00 99.00 999 1025.2 -10.0   5.8 999.0 99.0
1999 01 02 04 301 14.2 19.2  3.27  7.69  5.87 999 1026.8 -11.0   5.8 999.0 99.0
1999 01 02 05 295 13.3 17.2  3.15  7.69  5.67 999 1028.1 -11.3   5.8 999.0 99.0
1999 01 02 06 308 12.5 15.6  2.79  7.14  5.33 999 1028.4 -11.4   5.6 999.0 99.0
1999 01 02 07 284 10.4 12.7  2.50  7.14  5.15 999 1029.4 -11.6   5.6 999.0 99.0
1999 01 02 08 297 10.1 12.6 99.00 99.00 99.00 999 1030.3 -11.5   5.6 999.0 99.0
1999 01 02 09 287  8.7 11.6  2.16  6.67  5.07 999 1030.4 -11.8   5.6 999.0 99.0
1999 01 02 10 279  8.2 11.1 99.00 99.00 99.00 999 1030.0 -11.3   5.6 999.0 99.0
1999 01 02 11 282  7.4 10.7  1.88  6.25  5.09 999 1030.5 -11.2   5.6 999.0 99.0
1999 01 02 12 268  7.1 10.5 99.00 99.00 99.00 999 1030.2 -11.2   5.6 999.0 99.0
1999 01 02 13 268  6.9  9.7  1.59  5.56  4.93 999 1030.5 -10.6   5.6 999.0 99.0
1999 01 02 14 258  6.1  8.8 99.00 99.00 99.00 999 1031.1 -10.0   5.6 999.0 99.0
1999 01 02 15 262  6.8  8.9  1.44  6.25  4.73 999 1031.3  -9.7   5.6 999.0 99.0
1999 01 02 16 242  6.3  8.2  1.43  6.25  4.65 999 1030.4  -9.4   5.6 999.0 99.0
1999 01 02 17 243  7.5  9.5  1.35  6.25  4.38 999 1029.9  -9.1   5.6 999.0 99.0
1999 01 02 18 249  8.0 10.4 99.00 99.00 99.00 999 1029.7  -8.9   5.7 999.0 99.0
1999 01 02 19 246  7.4  9.8  1.36  5.88  4.27 999 1029.1  -8.2   5.6 999.0 99.0
1999 01 02 20 263  8.3 11.2  1.24  5.26  4.12 999 1029.6  -7.9   5.6 999.0 99.0
1999 01 02 21 259  9.2 11.8 99.00 99.00 99.00 999 1029.9  -6.3   5.6 999.0 99.0
1999 01 02 22 263  8.5 10.9 99.00 99.00 99.00 999 1029.9  -5.5   5.6 999.0 99.0
1999 01 02 23 274  9.3 10.9  1.41  5.56  4.29 999 1030.4  -4.3   5.6 999.0 99.0
1999 01 03 00 259  8.2  9.6  1.44  5.88  4.41 999 1029.8  -3.5   5.6 999.0 99.0
1999 01 03 01 280  6.8  9.2  1.36  5.88  4.36 999 1029.1  -2.8   5.6 999.0 99.0
1999 01 03 02 295  5.6  7.4  1.17  5.88  4.41 999 1029.7  -2.7   5.6 999.0 99.0
1999 01 03 03 315  5.1  7.0  1.23  5.88  4.54 999 1030.4  -2.6   5.6 999.0 99.0
1999 01 03 04 329  4.0  6.1  1.09  5.56  4.40 999 1030.5  -2.7   5.6 999.0 99.0
1999 01 03 05 348  4.0  5.9   .99  5.56  4.24 999 1030.4  -2.7   5.6 999.0 99.0
1999 01 03 06  10  2.3  3.3   .89  5.56  4.22 999 1029.8  -2.6   5.6 999.0 99.0
1999 01 03 07  16   .3  1.2   .83  5.26  4.19 999 1030.3  -2.7   5.6 999.0 99.0
1999 01 03 08  48  2.4  3.9   .73  5.00  4.22 999 1029.6  -2.3   5.6 999.0 99.0
1999 01 03 09  73  3.7  5.6   .76  4.55  4.22 999 1028.4  -1.9   5.6 999.0 99.0
1999 01 03 10  76  5.3  7.6   .65  4.17  4.19 999 1027.7  -1.5   5.6 999.0 99.0
1999 01 03 11 108  6.0  7.5   .58  3.85  4.10 999 1027.9   -.8   5.6 999.0 99.0
1999 01 03 12 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
1999 01 03 13 106  8.8 11.1   .83  2.86  3.20 999 1026.0    .9   5.6 999.0 99.0
1999 01 03 14 118  9.3 11.8  1.03  3.45  3.49 999 1025.9   1.6   5.6 999.0 99.0
1999 01 03 15 121 10.9 12.9  1.32  4.00  3.79 999 1025.3   2.5   5.6 999.0 99.0
1999 01 03 16 124 12.3 14.2  1.59  4.76  4.09 999 1023.0   2.9   5.6 999.0 99.0
1999 01 03 17 114 13.8 16.4  2.00  5.00  4.49 999 1020.1   3.5   5.6 999.0 99.0
1999 01 03 18 101 16.1 19.8  2.55  5.56  4.93 999 1015.4   4.0   5.6 999.0 99.0
1999 01 03 19  99 15.4 20.3  2.50  6.67  5.19 999 1013.7   4.7   5.6 999.0 99.0
1999 01 03 20 100 17.1 20.9  2.87  7.14  5.42 999 1010.9   5.1   5.6 999.0 99.0
1999 01 03 21 106 17.0 22.6  3.11  7.69  5.59 999 1009.0   5.8   5.6 999.0 99.0
1999 01 03 22 110 17.9 21.7  3.39  7.69  5.91 999 1005.9   6.3   5.6 999.0 99.0
1999 01 03 23 112 18.1 22.4  4.17  8.33  6.36 999 1002.2   7.0   5.6 999.0 99.0
1999 01 04 00 114 17.4 21.3  5.19  9.09  7.03 999  999.4   7.8   5.6 999.0 99.0
