#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi    ft
2007 01 03 02 00 269  4.2  6.0  0.00  0.00  0.00 999 1021.2   0.4   5.2 999.0 99.0 99.00
2007 01 03 03 00 271  2.6  3.6  0.00  0.00  0.00 999 1022.1   0.2   5.3  -6.9 99.0 99.00
2007 01 03 04 00 268  2.2  3.2  0.00  0.00  0.00 999 1022.6   0.0   4.7  -7.1 99.0 99.00
2007 01 03 05 00 245  2.3  3.6  0.00  0.00  0.00 999 1022.8   0.1   4.7  -7.2 99.0 99.00
2007 01 03 06 00 236  2.0  2.8  0.00  0.00  0.00 999 1023.5  -0.3   4.7  -6.2 99.0 99.00
2007 01 03 07 00 219  2.7  3.8  0.00  0.00  0.00 999 1024.1  -0.4   4.3  -6.4 99.0 99.00
2007 01 03 08 00 198  1.7  2.5  0.00  0.00  0.00 999 1024.2  -0.6   5.0  -6.6 99.0 99.00
2007 01 03 09 00 237  1.9  3.7  0.00  0.00  0.00 999 1024.2  -0.1   5.2  -5.1 99.0 99.00
2007 01 03 10 00 211  2.4  3.6  0.00  0.00  0.00 999 1024.3   0.0   4.8  -5.5 99.0 99.00
2007 01 03 11 00 208  1.4  2.1  0.00  0.00  0.00 999 1025.0  -0.3   4.7  -5.6 99.0 99.00
2007 01 03 12 00 204  2.3  3.0  0.00  0.00  0.00 999 1024.3  -0.4   5.1  -5.5 99.0 99.00
2007 01 03 13 00 228  3.2  4.6  0.00  0.00  0.00 999 1025.0  -0.1   5.5  -5.0 99.0 99.00
2007 01 03 14 00 224  3.7  5.7  0.00  0.00  0.00 999 1024.3   0.9   5.2  -4.5 99.0 99.00
2007 01 03 15 00 232  5.3  7.6  0.00  0.00  0.00 999 1023.7   2.4   4.7  -4.0 99.0 99.00
2007 01 03 16 00 225  3.6  5.2  0.00  0.00  0.00 999 1022.4   3.5   4.7  -3.6 99.0 99.00
2007 01 03 17 00 215  4.7  7.1  0.00  0.00  0.00 999 1021.1   5.3   4.7  -4.7 99.0 99.00
2007 01 03 18 00 221  4.6  7.2  0.00  0.00  0.00 999 1019.6   6.7   4.8  -4.7 99.0 99.00
2007 01 03 19 00 218  4.8  6.7  0.00  0.00  0.00 999 1018.8   7.9   4.8 999.0 99.0 99.00
2007 01 03 20 00 164  1.7  2.8  0.00  0.00  0.00 999 1018.6   8.4   5.1  -2.7 99.0 99.00
2007 01 03 21 00 200  2.6  3.5  0.00  0.00  0.00 999 1018.1   8.3   5.5 999.0 99.0 99.00
