YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
1999 01 03 10 999 99.0 99.0  2.78  7.14  5.63 999 1016.6   9.6  22.2 999.0 99.0
1999 01 03 11 999 99.0 99.0  2.51  7.14  5.58 999 1017.7   8.8  22.2 999.0 99.0
1999 01 03 12 999 99.0 99.0  2.38  6.67  5.50 999 1019.3   8.4  22.2 999.0 99.0
1999 01 03 13 999 99.0 99.0  2.22  6.67  5.43 999 1020.4   7.9  22.2 999.0 99.0
1999 01 03 14 999 99.0 99.0  1.90  6.25  5.21 999 1021.4   7.6  22.2 999.0 99.0
1999 01 03 15 999 99.0 99.0  1.93  6.25  5.31 999 1022.3   7.5  22.2 999.0 99.0
1999 01 03 16 999 99.0 99.0  1.59  6.25  4.93 999 1023.1   7.2  22.2 999.0 99.0
1999 01 03 17 999 99.0 99.0  1.71  5.88  5.03 999 1023.2   6.8  22.2 999.0 99.0
1999 01 03 18 999 99.0 99.0  1.70  5.88  4.96 999 1023.0   6.7  22.2 999.0 99.0
1999 01 03 19 999 99.0 99.0  1.70  5.56  4.98 999 1022.5   6.8  22.2 999.0 99.0
1999 01 03 20 999 99.0 99.0  1.51  5.56  4.67 999 1022.4   6.5  22.2 999.0 99.0
1999 01 03 21 999 99.0 99.0  1.41  5.00  4.55 999 1022.2   6.9  22.2 999.0 99.0
1999 01 03 22 999 99.0 99.0  1.56  5.26  4.84 999 1022.7   7.3  22.2 999.0 99.0
1999 01 03 23 999 99.0 99.0  1.40  5.00  4.53 999 1023.0   7.7  22.2 999.0 99.0
1999 01 04 00 999 99.0 99.0  1.40  5.00  4.48 999 1023.6   7.9  22.2 999.0 99.0
1999 01 04 01 999 99.0 99.0  1.30  4.76  4.36 999 1024.1   8.7  22.2 999.0 99.0
1999 01 04 02 999 99.0 99.0  1.39  5.00  4.40 999 1024.3   9.2  22.2 999.0 99.0
1999 01 04 03 999 99.0 99.0  1.37  5.00  4.38 999 1025.0   9.0  22.2 999.0 99.0
1999 01 04 04 999 99.0 99.0  1.46  5.26  4.52 999 1025.8   8.6  22.2 999.0 99.0
1999 01 04 05 999 99.0 99.0  1.57  5.26  4.53 999 1027.0   8.0  22.2 999.0 99.0
1999 01 04 06 999 99.0 99.0  1.54  5.56  4.60 999 1027.9   7.4  22.2 999.0 99.0
1999 01 04 07 999 99.0 99.0  1.55  5.56  4.58 999 1028.3   6.8  22.2 999.0 99.0
1999 01 04 08 999 99.0 99.0  1.76  5.56  4.69 999 1027.9   6.3  22.2 999.0 99.0
1999 01 04 09 999 99.0 99.0  1.99  5.56  4.96 999 1028.5   5.3  22.2 999.0 99.0
1999 01 04 10 999 99.0 99.0  2.06  6.25  5.04 999 1029.7   5.1  22.2 999.0 99.0
1999 01 04 11 999 99.0 99.0  2.13  6.25  5.19 999 1029.8   4.8  22.2 999.0 99.0
1999 01 04 12 999 99.0 99.0  2.12  6.67  5.37 999 1030.3   4.6  22.2 999.0 99.0
1999 01 04 13 999 99.0 99.0  1.95  6.67  5.14 999 1031.1   4.5  22.2 999.0 99.0
1999 01 04 14 999 99.0 99.0  1.92  6.25  5.05 999 1032.1   4.0  22.2 999.0 99.0
1999 01 04 15 999 99.0 99.0  1.95  6.25  5.06 999 1032.8   4.0  22.2 999.0 99.0
1999 01 04 16 999 99.0 99.0  1.72  6.25  4.94 999 1032.7   3.7  22.2 999.0 99.0
1999 01 04 17 999 99.0 99.0  1.69  5.88  4.85 999 1033.4   3.5  22.2 999.0 99.0
1999 01 04 18 999 99.0 99.0  1.65  6.25  4.92 999 1032.6   3.7  22.2 999.0 99.0
1999 01 04 19 999 99.0 99.0  1.43  6.25  4.81 999 1031.7   3.9  22.2 999.0 99.0
1999 01 04 20 999 99.0 99.0  1.42  5.88  4.74 999 1031.2   4.2  22.2 999.0 99.0
1999 01 04 21 999 99.0 99.0  1.40  5.56  4.49 999 1030.9   4.6  22.2 999.0 99.0
1999 01 04 22 999 99.0 99.0  1.23  5.26  4.33 999 1031.4   4.8  22.2 999.0 99.0
1999 01 04 23 999 99.0 99.0  1.28  5.26  4.31 999 1031.2   5.8  22.2 999.0 99.0
1999 01 05 00 999 99.0 99.0  1.32  5.26  4.35 999 1031.1   6.3  22.2 999.0 99.0
