#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2010 03 31 16 50 165  1.9  3.1  0.05 99.00  2.60 999 1020.6  17.1  17.9  11.8 99.0 99.00
2010 03 31 17 50 177  2.5  4.0  0.05 99.00  2.47 999 1020.1  17.4  18.6  12.1 99.0 99.00
2010 03 31 18 50 173  3.7  4.3  0.04 99.00  2.72 999 1019.6  17.6  19.5  12.6 99.0 99.00
2010 03 31 19 50 177  4.0  5.2  0.07 99.00  2.27 999 1019.4  17.8  19.4  12.9 99.0 99.00
2010 03 31 20 50 173  4.9  6.0  0.12 99.00  2.22 999 1018.9  17.9  19.9  11.6 99.0 99.00
2010 03 31 21 50 178  5.0  6.1  0.16 99.00  2.38 999 1018.6  18.1  19.5  12.0 99.0 99.00
2010 03 31 22 50 172  7.5  9.1  0.24 99.00  2.26 999 1018.1  18.0  18.9  12.4 99.0 99.00
2010 04 01 16 50 129  3.1  3.7  0.20 99.00  3.50 999 1020.8  18.7  19.1  14.2 99.0 99.00
2010 04 01 17 50 116  2.0  2.5  0.23 99.00  3.85 999 1020.1  18.8  19.7  13.1 99.0 99.00
2010 04 01 18 50 110  3.1  3.6  0.22 99.00  3.93 999 1019.3  18.9  20.5  13.0 99.0 99.00
2010 04 01 19 50  99  3.3  3.9  0.19 99.00  3.49 999 1018.7  19.0  20.8  12.6 99.0 99.00
2010 04 01 20 50 108  3.8  4.6  0.24 99.00  4.78 999 1018.3  19.0  20.8  12.5 99.0 99.00
2010 04 01 21 50 118  5.0  5.7  0.21 99.00  3.98 999 1017.6  19.1  20.1  12.8 99.0 99.00
2010 04 01 22 50 121  5.6  6.3  0.20 99.00  3.61 999 1017.4  19.0  19.7  14.4 99.0 99.00
2010 04 01 23 50 121  5.3  6.0  0.22 99.00  2.95 999 1017.4  18.8  19.6  15.2 99.0 99.00
2010 04 02 00 50 120  6.0  6.6  0.25  2.06  3.02 999 1017.2  18.6  19.2  15.3 99.0 99.00
2010 04 02 01 50 120  6.5  7.5  0.30  2.60  2.73 999 1017.4  18.5  19.2  15.0 99.0 99.00
2010 04 02 02 50 131  6.0  6.7  0.36  2.60  2.74 999 1018.2  18.5  19.2  14.9 99.0 99.00
2010 04 02 03 50 126  6.6  7.3  0.43  2.60  2.77 999 1017.6  18.4  19.0  15.2 99.0 99.00
2010 04 02 04 50 129  6.9  8.2  0.49  3.13  2.97 999 1016.9  18.3  19.2  16.0 99.0 99.00
2010 04 02 05 50 132  6.8  8.5  0.62  3.23  3.24 999 1016.5  18.3  19.0  16.2 99.0 99.00
2010 04 02 06 50 139  6.5  7.6  0.61  3.70  3.43 999 1016.3  18.3  18.9  16.3 99.0 99.00
2010 04 02 07 50 132  6.6  7.6  0.59  4.00  3.57 999 1015.7  18.3  18.9  16.5 99.0 99.00
2010 04 02 08 50 139  6.2  7.3  0.61  4.35  3.70 999 1015.5  18.3  19.0  16.5 99.0 99.00
2010 04 02 09 50 133  6.6  7.7  0.65  4.55  3.88 999 1015.3  18.3  19.4  16.4 99.0 99.00
2010 04 02 10 50 137  7.3  8.9  0.60  4.76  3.95 999 1015.2  18.3  19.1  16.3 99.0 99.00
2010 04 02 11 50 141  8.2  9.5  0.70  4.55  4.13 999 1015.4  18.2  19.0  16.1 99.0 99.00
2010 04 02 12 50 144  7.7  9.0  0.70  5.00  4.18 142 1015.6  18.3  18.9  15.7 99.0 99.00
2010 04 02 13 50 132  8.5 10.4  0.83  5.26  4.23 148 1015.7  18.3  18.8  14.5 99.0 99.00
2010 04 02 14 50 127  8.2  9.5  0.86  5.00  4.16 140 1016.2  18.3  18.8  14.1 99.0 99.00
2010 04 02 15 50 115  8.3  9.4  0.91  5.26  4.12 158 1016.3  18.5  19.0  14.0 99.0 99.00
2010 04 02 16 50 122  7.1  8.2  0.84  5.00  3.98 150 1017.1  18.7  19.2  14.1 99.0 99.00
2010 04 02 17 50 115  6.4  7.5  0.86  5.00  3.96 159 1016.9  18.7  19.3  14.9 99.0 99.00
2010 04 02 18 50 113  6.9  7.9  0.84  5.00  3.94 153 1016.3  19.0  19.6  16.5 99.0 99.00
2010 04 02 19 50 107  7.7  9.0  0.86  5.00  4.01 157 1015.8  19.2  19.7  17.3 99.0 99.00
2010 04 02 20 50 105  6.9  7.9  0.84  5.26  3.94 165 1015.5  19.3  19.8  17.6 99.0 99.00
2010 04 02 21 50 100  7.6  8.8  0.89  5.00  3.89 161 1014.9  19.4  19.9  17.9 99.0 99.00
2010 04 02 22 50 103  6.8  8.1  0.93  5.26  4.05 150 1015.1  19.4  20.1  18.3 99.0 99.00
