#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2008 12 31 23 50 348  8.6 10.5  0.92  4.76  3.69 999 1020.7  16.5  20.1 999.0 99.0 99.00
2009 01 01 00 50 356  9.2 11.0  0.94  4.55  3.68 999 1021.0  17.0  20.3 999.0 99.0 99.00
2009 01 01 01 50  15  8.8 10.9  1.08  4.76  3.84 999 1021.7  16.7  20.3 999.0 99.0 99.00
2009 01 01 02 50  10  9.3 11.9  1.32  5.26  4.22 999 1021.9  16.0  20.4 999.0 99.0 99.00
2009 01 01 03 50  27  9.4 11.6  1.41  5.56  4.37 999 1022.1  15.3  20.6 999.0 99.0 99.00
2009 01 01 04 50  31  9.6 11.4  1.57  5.88  4.58 999 1021.8  14.9  20.8 999.0 99.0 99.00
2009 01 01 05 50  33  9.4 11.4  1.59  5.88  4.63 999 1021.2  14.6  21.2 999.0 99.0 99.00
2009 01 01 06 50  45  9.4 11.6  1.72  5.88  4.74 999 1020.8  14.4  21.5 999.0 99.0 99.00
2009 01 01 07 50  52  8.5 10.7  1.60  5.88  4.78 999 1020.9  14.6  21.8 999.0 99.0 99.00
2009 01 01 08 50  61  8.5 11.0  1.49  6.25  4.74 999 1020.6  14.7  22.1 999.0 99.0 99.00
2009 01 01 09 50  75  8.3 10.1  1.65  5.88  4.90 999 1020.2  15.0  22.1 999.0 99.0 99.00
2009 01 01 10 50  78  7.5 10.4  1.44  6.25  4.69 999 1020.5  15.3  22.3 999.0 99.0 99.00
2009 01 01 11 50  88  7.6  9.8  1.45  6.25  4.67 999 1020.6  15.8  22.4 999.0 99.0 99.00
2009 01 01 12 50 101  8.0 10.3  1.44  6.25  4.65 999 1020.6  16.3  22.3 999.0 99.0 99.00
2009 01 01 13 50 103  7.3  9.2  1.47  6.67  4.87 999 1021.1  16.6  22.3 999.0 99.0 99.00
2009 01 01 14 50 106  7.2  9.1  1.37  6.67  4.86 999 1021.6  17.1  22.3 999.0 99.0 99.00
2009 01 01 15 50 119  7.7  9.8  1.33  6.67  4.64 999 1021.6  17.7  22.4 999.0 99.0 99.00
2009 01 01 16 50 128  8.7 11.1  1.45  6.67  4.86 999 1020.7  18.3  22.5 999.0 99.0 99.00
2009 01 01 17 50 114  7.2  8.6  1.41  6.67  4.71 999 1020.3  18.6  22.5 999.0 99.0 99.00
2009 01 01 18 50 125  6.6  8.3  1.50  6.67  4.91 999 1019.3  19.0  22.5 999.0 99.0 99.00
2009 01 01 19 50 128  6.4  8.0  1.44  6.67  4.84 999 1018.9  19.1  22.5 999.0 99.0 99.00
2009 01 01 20 50 130  6.8  8.5  1.74  6.67  5.26 999 1018.5  19.3  22.6 999.0 99.0 99.00
2009 01 01 21 50 134  6.5  8.4  1.69  6.67  5.19 999 1018.6  19.5  22.6 999.0 99.0 99.00
2009 01 01 22 50 129  6.7  8.3  1.53  6.67  5.10 999 1018.8  19.6  22.6 999.0 99.0 99.00
2009 01 01 23 50 127  6.0  7.2  1.51  7.14  5.09 999 1018.7  19.6  22.6 999.0 99.0 99.00
2009 01 02 00 50 143  6.6  7.8  1.55  6.67  5.10 999 1018.7  19.5  22.6 999.0 99.0 99.00
2009 01 02 01 50 150  7.7  9.2  1.38  6.67  5.07 999 1018.1  19.8  22.5 999.0 99.0 99.00
2009 01 02 02 50 133  7.0  8.2  1.39  6.67  4.89 999 1017.9  20.0  22.6 999.0 99.0 99.00
2009 01 02 03 50 148  8.7 10.4  1.28  7.14  4.60 999 1017.4  20.6  22.5 999.0 99.0 99.00
