#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2014 12 31 23 50  11  8.7 10.4  1.14  5.56  4.46  83 1025.7  15.1  21.9  12.8 99.0 99.00
2015 01 01 00 50  13  8.6 10.4  1.14  5.26  4.45  80 1026.2  14.9  21.8  12.3 99.0 99.00
2015 01 01 01 50  25  8.3 10.1  1.20  5.26  4.31  72 1026.6  14.8  21.8  12.2 99.0 99.00
2015 01 01 02 50  21  9.1 10.7  1.23  5.88  4.52  81 1027.2  14.6  21.7  12.4 99.0 99.00
2015 01 01 03 50  32  8.8 11.3  1.35  6.25  4.60  93 1026.9  14.9  21.7  12.7 99.0 99.00
2015 01 01 04 50  45  8.3  9.9  1.51  6.25  4.71  90 1026.5  15.3  21.7  12.7 99.0 99.00
2015 01 01 05 50  53  7.7  9.5  1.50  5.88  4.93  78 1025.8  15.3  21.6  12.9 99.0 99.00
2015 01 01 06 50  52  7.0  8.6  1.42  4.55  4.77 999 1025.4  15.9  21.7  13.1 99.0 99.00
2015 01 01 07 50  49  6.5  8.0  1.36  6.25  5.00  96 1025.0  16.5  21.7  13.6 99.0 99.00
2015 01 01 08 50  38  6.9  8.2  1.31  6.67  4.86  96 1024.9  16.8  21.7  14.1 99.0 99.00
2015 01 01 09 50  42  7.9  9.4  1.41  5.88  4.99  83 1024.5  16.9  21.7  14.4 99.0 99.00
2015 01 01 10 50  50  8.9 10.4  1.33  6.25  4.66  93 1024.4  17.0  21.7  15.0 99.0 99.00
2015 01 01 11 50  62  8.9 10.7  1.35  6.25  4.79  99 1024.3  17.6  21.7  15.2 99.0 99.00
2015 01 01 12 50  74  9.5 11.0  1.44  5.88  4.80  84 1024.6  18.0  21.7  15.4 99.0 99.00
2015 01 01 13 50  81  9.5 11.7  1.45  5.56  4.66  76 1024.8  18.2  21.8  15.3 99.0 99.00
2015 01 01 14 50  86  8.8 10.3  1.47  5.88  4.73  73 1025.3  18.3  21.8  15.0 99.0 99.00
2015 01 01 15 50  90  8.8 11.1  1.64  5.88  4.98  67 1025.2  18.2  21.8  14.8 99.0 99.00
2015 01 01 16 50  87  8.7 10.1  1.58  5.88  4.94  69 1025.1  18.3  21.8  14.4 99.0 99.00
2015 01 01 17 50  85  8.3  9.8  1.44  5.88  4.74  73 1023.7  18.3  21.8  14.1 99.0 99.00
2015 01 01 18 50  95  8.2  9.7  1.44  5.56  4.86  81 1022.4  18.4  21.9  14.3 99.0 99.00
2015 01 01 19 50  91  8.0  9.9  1.31  5.88  4.77  87 1022.1  18.3  21.9  14.5 99.0 99.00
2015 01 01 20 50  90  7.1  8.6  1.26  6.25  4.70 100 1022.1  18.4  21.9  14.6 99.0 99.00
2015 01 01 21 50  84  7.8  9.7  1.15  5.88  4.56 100 1022.3  18.5  21.9  14.6 99.0 99.00
2015 01 01 22 50  82  7.8  9.2  1.18  5.88  4.70  93 1022.3  18.6  21.8  14.6 99.0 99.00
2015 01 01 23 50  82  8.6  9.9  1.04  5.88  4.44  92 1022.3  18.7  21.8  14.8 99.0 99.00
2015 01 02 00 50  88  8.6  9.9  1.11  5.56  4.46  81 1022.7  18.8  21.8  15.0 99.0 99.00
2015 01 02 01 50  86  8.3 10.0  1.12  5.56  4.46  94 1022.9  19.0  21.8  15.1 99.0 99.00
2015 01 02 02 50  85  8.4  9.6  1.04  5.26  4.36  84 1023.2  19.2  21.8  15.2 99.0 99.00
2015 01 02 03 50  87  9.2 10.7  1.12  5.26  4.34  97 1023.1  19.3  21.8  15.4 99.0 99.00
2015 01 02 04 50  85  8.4  9.9  1.15  4.76  4.36 999 1023.3  19.3  21.8  15.6 99.0 99.00
2015 01 02 05 50  91 10.2 12.2  1.20  5.26  4.44  94 1022.2  19.0  21.7  16.0 99.0 99.00
2015 01 02 06 50 103  9.8 11.6  1.38  5.56  4.47  90 1022.0  19.5  21.8  16.0 99.0 99.00
2015 01 02 07 50  97 10.6 12.3  1.45  5.26  4.55  95 1021.5  19.3  21.8  16.3 99.0 99.00
2015 01 02 08 50 112 10.1 12.2  1.52  5.26  4.69  99 1021.2  19.9  21.8  16.4 99.0 99.00
2015 01 02 09 50 106 10.0 11.8  1.53  5.56  4.65  93 1021.0  20.1  21.8  16.8 99.0 99.00
2015 01 02 10 50 110  9.9 11.5  1.47  5.88  4.70 103 1020.7  20.5  21.8  17.8 99.0 99.00
2015 01 02 11 50 114  9.3 11.3  1.35  5.56  4.61 104 1021.0  20.9  21.8  18.6 99.0 99.00
2015 01 02 12 50 121 10.0 11.7  1.57  5.88  4.75 108 1021.3  21.2  21.9  19.1 99.0 99.00
2015 01 02 13 50 127 10.6 12.5  1.43  5.56  4.68  94 1021.8  21.3  21.9  19.4 99.0 99.00
2015 01 02 14 50 128 10.4 12.3  1.55  5.88  4.85 108 1022.3  21.5  21.9  19.5 99.0 99.00
2015 01 02 15 50 133 10.7 12.3  1.77  5.88  4.95 119 1022.3  21.8  22.0  19.4 99.0 99.00
2015 01 02 16 50 138  9.3 11.2  1.69  5.88  4.96  98 1021.8  22.0  22.0  19.3 99.0 99.00
2015 01 02 17 50 140  9.4 11.0  1.61  5.88  4.76 110 1020.8  21.9  22.1  19.5 99.0 99.00
2015 01 02 18 50 135  8.1  9.6  1.52  5.56  4.85 130 1019.9  22.0  22.0  19.6 99.0 99.00
2015 01 02 19 50 143  8.7 10.1  1.58  5.88  4.97 125 1019.4  21.9  22.0  19.9 99.0 99.00
2015 01 02 20 50 133  7.0  8.3  1.49  5.56  4.92 109 1019.7  22.0  22.0  20.0 99.0 99.00
2015 01 02 21 50 130  6.9  8.1  1.44  5.56  4.82 110 1019.7  21.9  21.9  20.2 99.0 99.00
2015 01 02 22 50 133  6.5  8.1  1.44  5.56  4.94 109 1020.0  21.9  22.0  20.5 99.0 99.00
2015 01 02 23 50 129  6.6  7.7  1.37  5.26  4.92 111 1019.9  21.9  21.8  20.7 99.0 99.00
