YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
97 01 01 00 118  6.3  7.6   .69  4.76  3.98 999 1020.4  22.0  21.9  20.6 99.0
97 01 01 01 119  5.8  6.7   .77  4.35  4.08 999 1021.0  22.2  21.9  20.8 99.0
97 01 01 02 137  7.0  9.4   .75  4.76  4.07 999 1021.0  21.5  21.9  20.4 99.0
97 01 01 03 142  7.1  8.6   .80  5.00  4.03 999 1020.5  21.9  21.6  20.4 99.0
97 01 01 04 167  6.1  7.2   .75  4.76  3.94 999 1020.7  21.9  21.5  20.2 99.0
97 01 01 05 248  4.1  5.5   .71  4.76  4.15 999 1020.7  20.7  21.4  18.0 99.0
97 01 01 06  16   .4  1.1   .68  4.55  4.29 999 1021.1  19.8  19.9  18.7 99.0
97 01 01 07 356   .8  1.3   .66  5.00  4.28 999 1020.7  19.8  19.8  18.9 99.0
97 01 01 08  27  5.2  6.0   .63  5.00  4.29 999 1020.0  19.6  19.8  18.4 99.0
97 01 01 09  83  3.8  4.6   .61  4.76  4.22 999 1020.3  19.6  19.8  18.6 99.0
97 01 01 10 136  3.7  4.4   .56  4.76  4.24 999 1019.2  19.8  19.8  18.3 99.0
97 01 01 11 165  3.6  4.1   .55  4.76  4.26 999 1019.5  20.2  19.8  18.5 99.0
97 01 01 12 128  3.6  4.8   .51  4.55  4.09 999 1019.6  20.6  19.8  19.3 99.0
97 01 01 13 121  4.6  5.9   .55  4.17  3.98 999 1020.5  20.3  19.8  19.2 99.0
97 01 01 14 142  4.6  5.4   .61  4.76  3.87 999 1020.9  20.3  19.9  19.1 99.0
97 01 01 15 155  3.2  4.1   .57  4.35  3.80 999 1021.2  20.6  19.9  19.0 99.0
97 01 01 16 158  4.3  5.1   .59  4.76  3.84 999 1021.2  21.1  20.3  19.1 99.0
97 01 01 17 168  3.9  4.8   .59  4.55  3.92 999 1020.5  20.7  20.3  19.1 99.0
97 01 01 18 188  4.4  5.0   .69  4.17  4.03 999 1019.5  21.2  20.3  19.5 99.0
97 01 01 19 206  3.8  4.4   .75  4.76  4.13 999 1018.8  21.4  20.4  19.7 99.0
97 01 01 20 257  2.8  3.6   .67  4.55  4.14 999 1018.0  20.6  20.4  19.6 99.0
97 01 01 21 284  3.9  4.6   .65  4.55  4.16 999 1018.0  20.4  20.4  19.5 99.0
97 01 01 22 291  3.4  4.2   .59  4.55  4.10 999 1018.1  20.7  20.4  19.6 99.0
97 01 01 23 310  2.1  2.6   .56  4.76  4.24 999 1018.8  20.4  20.4  19.2 99.0
97 01 02 00 296  3.5  4.1   .56  4.55  4.26 999 1019.1  20.4  20.6  19.1 99.0
97 01 02 01 295  2.0  2.3   .53  4.55  4.35 999 1019.0  19.9  20.7  18.7 99.0
97 01 02 02 341  2.0  2.5   .53  4.35  4.43 999 1019.0  19.5  21.4  18.9 99.0
97 01 02 03  14  1.4  1.8   .50  4.17  4.24 999 1019.6  18.8  20.0  18.6 99.0
97 01 02 04 309   .8  1.2   .49  4.35  4.39 999 1020.3  18.3  19.9  18.3 99.0
97 01 02 05 327  1.4  2.2   .49  5.00  4.40 999 1020.0  18.3  19.8  18.3 99.0
97 01 02 06 337  1.9  2.7   .46  5.26  4.40 999 1019.8  17.6  19.8  17.6 99.0
97 01 02 07  83   .2  1.0   .45  5.00  4.45 999 1019.5  17.2  19.8  17.2 99.0
97 01 02 08 180   .0   .1   .42  5.88  4.41 999 1019.0  17.2  19.8  17.2 99.0
97 01 02 09 102   .1   .7   .42  5.00  4.44 999 1018.8  17.4  19.8  17.4 99.0
97 01 02 10 322   .2   .8   .42  5.26  4.47 999 1018.9  17.6  19.8  17.6 99.0
97 01 02 11 315  1.6  2.5   .43  6.67  4.63 999 1019.0  17.3  19.8  17.3 99.0
97 01 02 12 253  2.3  3.2   .43  6.67  4.78 999 1019.5  17.5  19.5  17.5 99.0
97 01 02 13 275  2.9  4.3   .44  6.67  4.87 999 1019.6  18.0  19.8  18.0 99.0
97 01 02 14 273  1.3  2.0   .38  6.67  4.70 999 1020.4  18.1  20.4  18.1 99.0
97 01 02 15 322  2.7  3.5   .39  5.26  4.68 999 1021.1  18.0  20.4  18.0 99.0
97 01 02 16 332  1.7  2.2   .39  4.76  4.68 999 1021.7  17.5  20.7  17.5 99.0
97 01 02 17  19  1.1  1.7   .39  6.67  4.75 999 1020.9  17.5  21.1  17.5 99.0
97 01 02 18  20   .5  1.2   .34  6.25  4.68 999 1019.6  17.6  21.4  17.6 99.0
97 01 02 19 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
97 01 02 20 236   .1   .6   .38  6.25  4.66 999 1018.1  18.8  22.2  18.8 99.0
97 01 02 21 164  1.2  1.8   .35  7.14  4.54 999 1018.1  18.8  22.2  18.8 99.0
97 01 02 22 168  2.2  2.9   .34  7.14  4.70 999 1018.3  19.0  22.3  19.0 99.0
97 01 02 23 176  1.8  2.3   .34  6.67  4.64 999 1018.8  19.5  22.2  19.5 99.0
97 01 03 00 340  1.3  2.1   .38  6.25  4.82 999 1018.9  19.8  22.2  19.7 99.0
97 01 03 01 350  2.6  3.6   .38  6.67  4.88 999 1019.1  19.6  22.2  19.5 99.0
97 01 03 02  49  1.7  2.3   .35  7.14  4.79 999 1019.5  19.1  22.2  19.1 99.0
97 01 03 03  68  1.7  2.5   .36  7.14  5.00 999 1019.1  19.5  22.2  19.5 99.0
97 01 03 04 142  2.5  2.9   .34  6.67  4.85 999 1018.8  19.8  22.2  19.8 99.0
97 01 03 05 196  4.4  5.3   .35  5.88  4.95 999 1018.3  21.1  22.2  19.9 99.0
97 01 03 06 228  4.6  5.7   .33  6.25  4.45 999 1017.9  21.9  22.2  19.8 99.0
97 01 03 07 226  5.4  6.1   .41  6.25  3.57 999 1017.4  21.8  21.9  19.2 99.0
97 01 03 08 224  5.4  6.4   .50  2.94  3.41 999 1017.4  21.9  21.9  19.4 99.0
97 01 03 09 227  4.9  5.9   .51  3.12  3.45 999 1017.4  21.8  22.0  19.4 99.0
97 01 03 10 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
97 01 03 11 244  5.0  6.1   .45  3.12  3.42 999 1017.4  21.8  22.2  19.1 99.0
97 01 03 12 329  2.6  3.6   .45  3.12  3.39 999 1017.9  20.7  22.2  19.5 99.0
97 01 03 13 325  1.4  1.8   .44  3.23  3.57 999 1018.2  20.1  22.2  19.4 99.0
97 01 03 14 336  2.8  3.3   .40  3.33  3.54 999 1019.0  19.2  21.9  18.8 99.0
97 01 03 15 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
97 01 03 16 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
97 01 03 17  47  2.0  2.5   .37  3.33  3.64 999 1019.1  19.6  20.4  19.5 99.0
97 01 03 18  28  2.9  3.3   .37  3.33  3.73 999 1018.1  19.6  20.6  19.5 99.0
97 01 03 19  67  2.1  2.4   .35  3.45  3.62 999 1016.7  19.6  20.4  19.6 99.0
97 01 03 20 213  2.2  2.7   .36  3.12  3.52 999 1015.9  21.2  20.7  20.2 99.0
97 01 03 21 196  3.1  3.8   .34  3.23  3.51 999 1015.8  22.2  21.1  20.1 99.0
97 01 03 22 193  4.0  4.6   .33  3.23  3.52 999 1015.7  22.1  21.1  19.9 99.0
97 01 03 23 190  4.1  5.0   .35  2.94  3.38 999 1015.7  22.0  21.1  19.6 99.0
97 01 04 00 182  4.4  5.4   .35  2.94  3.35 999 1015.8  22.0  21.4  19.7 99.0
97 01 04 01 176  4.6  5.3   .37  2.86  3.31 999 1015.9  22.2  21.9  20.1 99.0
97 01 04 02 185  6.9  7.9   .42  2.86  3.20 999 1016.3  22.4  21.9  20.1 99.0
97 01 04 03 184  8.3  9.8   .67  3.45  3.34 999 1016.2  22.7  22.2  20.5 99.0
97 01 04 04 195  8.2  9.6   .87  4.00  3.66 999 1016.4  22.7  22.2  20.3 99.0
97 01 04 05 201  8.4 10.1  1.10  4.55  3.99 999 1016.3  22.7  22.2  19.8 99.0
97 01 04 06 204  8.7 10.5  1.13  4.55  4.09 999 1015.6  22.6  22.2  19.7 99.0
97 01 04 07 197  8.4 10.0  1.12  4.76  4.09 999 1015.0  22.2  22.2  19.3 99.0
97 01 04 08 193  8.6 10.3  1.24  5.00  4.19 999 1014.8  22.2  22.4  19.1 99.0
97 01 04 09 195  8.5 10.8  1.13  5.00  4.07 999 1014.2  22.2  22.7  19.5 99.0
97 01 04 10 193  7.8  9.4  1.18  5.00  4.21 999 1014.3  22.2  22.6  19.4 99.0
97 01 04 11 197  7.3  8.6  1.27  4.76  4.28 999 1014.3  22.2  22.7  19.6 99.0
97 01 04 12 198  6.8  7.9  1.28  5.00  4.34 999 1014.8  22.2  22.6  19.6 99.0
97 01 04 13 194  6.8  8.1  1.23  5.26  4.33 999 1014.8  22.4  22.2  19.9 99.0
97 01 04 14 188  7.4  8.6  1.07  5.00  4.14 999 1015.0  22.7  22.2  20.4 99.0
97 01 04 15 196  8.8 10.2  1.21  5.00  4.26 999 1016.1  22.7  22.2  20.3 99.0
97 01 04 16 195  8.9 11.1  1.20  5.26  4.25 999 1016.5  23.0  22.2  20.2 99.0
97 01 04 17 198  7.4  8.9  1.23  5.26  4.39 999 1016.5  23.0  22.2  20.4 99.0
97 01 04 18 194  7.8  9.4  1.15  5.26  4.27 999 1015.2  23.0  22.2  20.8 99.0
97 01 04 19 187  8.4 10.7  1.23  5.26  4.30 999 1013.6  23.0  22.2  21.3 99.0
97 01 04 20 188  8.5 10.2  1.16  5.56  4.31 999 1013.2  23.0  22.3  21.2 99.0
